Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);8.15;3.29;61.84;409.87;400.83;3733.69;11.23;46.71;24.49;3.27;20.45;28.41;8.20;75.05;
2 (s);8.15;3.29;61.85;410.69;403.79;3733.92;11.22;46.72;24.50;3.27;20.45;28.43;8.20;75.13;
3 (s);8.16;3.29;61.85;409.62;402.90;3733.90;11.22;46.73;24.50;3.26;20.45;28.45;8.20;75.13;
4 (s);8.16;3.29;61.85;410.71;402.02;3733.78;11.22;46.74;24.50;3.27;20.45;28.45;8.20;75.17;
5 (s);8.16;3.29;61.84;410.20;400.05;3733.94;11.22;46.74;24.50;3.26;20.46;28.47;8.19;75.27;
6 (s);8.17;3.29;61.84;410.34;400.59;3733.88;11.22;46.75;24.50;3.25;20.46;28.49;8.19;75.20;
7 (s);8.17;3.29;62.10;411.65;399.31;3733.97;11.22;46.76;24.51;3.26;20.46;28.50;8.19;75.19;
8 (s);8.17;3.29;62.09;409.34;397.79;3734.10;11.22;46.77;24.51;3.25;20.46;28.52;8.19;75.13;
9 (s);8.17;3.29;62.33;409.27;402.34;3734.00;11.22;46.78;24.52;3.24;20.46;28.53;8.18;75.12;
10 (s);8.17;3.29;62.33;410.50;397.93;3733.97;11.22;46.79;24.52;3.24;20.46;28.54;8.18;75.16;
11 (s);8.17;3.29;62.33;411.06;398.99;3733.89;11.22;46.79;24.52;3.25;20.46;28.54;8.18;75.17;
12 (s);8.17;3.29;62.34;409.88;398.55;3733.82;11.21;46.80;24.52;3.26;20.46;28.55;8.18;75.17;
13 (s);8.18;3.29;62.34;407.84;402.23;3733.95;11.21;46.81;24.53;3.27;20.46;28.56;8.17;75.18;
14 (s);8.18;3.29;62.34;410.03;399.13;3733.88;11.21;46.81;24.53;3.25;20.45;28.57;8.17;75.12;
15 (s);8.18;3.29;62.34;409.77;402.64;3733.90;11.21;46.82;24.53;3.25;20.45;28.58;8.16;75.06;
16 (s);8.18;3.29;62.33;409.20;402.35;3733.92;11.21;46.83;24.53;3.25;20.45;28.59;8.16;75.18;
17 (s);8.18;3.29;62.33;409.58;400.47;3733.95;11.21;46.83;24.53;3.26;20.45;28.59;8.16;75.23;
18 (s);8.18;3.29;62.33;408.01;402.92;3734.08;11.21;46.84;24.54;3.27;20.45;28.60;8.15;75.21;
19 (s);8.18;3.29;62.34;408.14;402.69;3733.93;11.21;46.85;24.54;3.27;20.44;28.60;8.15;75.13;
20 (s);8.18;3.29;62.33;410.24;403.43;3733.83;11.20;46.86;24.55;3.28;20.45;28.61;8.15;75.20;
21 (s);8.18;3.29;62.33;411.01;404.60;3733.89;11.20;46.87;24.55;3.27;20.45;28.62;8.14;75.17;
22 (s);8.18;3.29;62.34;408.97;402.31;3733.85;11.20;46.88;24.56;3.27;20.45;28.63;8.14;75.17;
23 (s);8.18;3.29;62.57;409.09;403.94;3733.98;11.20;46.88;24.56;3.28;20.45;28.63;8.14;75.14;
24 (s);8.18;3.29;62.58;409.00;403.79;3734.00;11.20;46.88;24.56;3.29;20.45;28.64;8.14;75.11;
25 (s);8.18;3.29;62.57;410.31;400.52;3733.96;11.20;46.89;24.56;3.28;20.45;28.65;8.14;75.21;
26 (s);8.18;3.29;62.57;408.36;402.11;3733.87;11.20;46.90;24.57;3.28;20.45;28.66;8.13;75.24;
27 (s);8.19;3.29;62.56;409.44;403.13;3733.87;11.19;46.90;24.57;3.28;20.45;28.67;8.13;75.24;
28 (s);8.19;3.29;62.58;409.01;402.74;3734.09;11.19;46.91;24.57;3.28;20.45;28.68;8.13;75.21;
