Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.99;4.06;52.20;296.54;507.92;3173.25;17.09;57.93;27.25;9.37;23.67;33.49;17.09;74.69;
10 (s);9.99;4.06;51.51;293.00;499.21;3173.18;17.10;57.93;27.25;9.38;23.69;33.49;17.11;74.37;
15 (s);10.00;4.06;51.19;294.25;501.88;3173.23;17.11;57.92;27.23;9.38;23.68;33.50;17.16;74.58;
20 (s);10.01;4.06;51.19;296.43;502.00;3173.55;17.11;57.92;27.21;9.39;23.67;33.51;17.19;74.74;
25 (s);10.01;4.06;51.21;297.51;499.63;3173.37;17.12;57.90;27.21;9.40;23.68;33.51;17.22;74.52;
30 (s);10.02;4.06;51.22;295.10;366.97;3173.74;17.13;57.90;27.21;9.41;23.69;33.52;17.24;74.65;
35 (s);10.02;4.07;51.22;297.65;367.38;3173.53;17.14;57.92;27.21;9.42;23.71;33.53;17.25;74.83;
40 (s);10.02;4.07;51.21;296.72;395.54;3173.50;17.16;57.93;27.22;9.43;23.72;33.54;17.29;74.53;
45 (s);10.03;4.07;51.22;296.93;497.77;3173.47;17.18;57.93;27.19;9.47;23.72;33.55;17.31;74.83;
50 (s);10.03;4.07;50.71;295.14;501.82;3173.47;17.19;57.94;27.19;9.47;23.72;33.55;17.33;74.53;
55 (s);10.04;4.07;50.95;299.85;504.08;3173.48;17.21;57.94;27.18;9.47;23.73;33.56;17.35;74.84;
60 (s);10.04;4.07;50.75;297.28;502.01;3173.46;17.23;57.94;27.19;9.45;23.74;33.57;17.36;74.63;
65 (s);10.05;4.07;51.22;299.50;501.17;3173.59;17.24;57.94;27.20;9.46;23.76;33.57;17.37;74.69;
70 (s);10.06;4.08;51.19;299.74;502.82;3173.61;17.24;57.93;27.18;9.50;23.77;33.58;17.39;74.73;
75 (s);10.06;4.07;50.95;301.43;420.54;3173.64;17.24;57.93;27.18;9.49;23.77;33.59;17.40;74.78;
80 (s);10.07;4.07;51.10;298.55;372.19;3173.89;17.24;57.92;27.19;9.48;23.76;33.60;17.41;74.66;
85 (s);10.07;4.08;51.22;301.73;393.42;3173.74;17.23;57.93;27.20;9.49;23.77;33.61;17.42;74.90;
90 (s);10.07;4.08;50.72;297.99;496.00;3153.58;17.23;57.93;27.19;9.50;23.78;33.63;17.43;74.68;
95 (s);10.08;4.08;51.03;298.08;497.22;3153.77;17.23;57.93;27.19;9.52;23.78;33.64;17.44;74.96;
100 (s);10.08;4.08;50.98;296.22;496.90;3153.49;17.24;57.93;27.18;9.51;23.79;33.65;17.45;74.71;
105 (s);10.09;4.08;50.96;299.79;505.64;3153.23;17.24;57.93;27.18;9.51;23.79;33.66;17.46;74.92;
110 (s);10.10;4.08;51.20;298.45;500.65;3153.53;17.25;57.95;27.17;9.53;23.80;33.67;17.47;74.76;
115 (s);10.10;4.08;51.20;300.96;504.02;3153.47;17.25;57.95;27.17;9.52;23.82;33.68;17.49;74.87;
120 (s);10.10;4.07;51.22;297.47;468.43;3153.30;17.26;57.95;27.17;9.49;23.82;33.68;17.50;74.90;
125 (s);10.11;4.08;51.23;299.73;489.87;3153.56;17.27;57.95;27.18;9.51;23.82;33.70;17.52;74.73;
130 (s);10.11;4.08;51.23;299.95;445.64;3153.60;17.28;57.94;27.17;9.51;23.82;33.71;17.53;75.00;
135 (s);10.12;4.08;51.21;296.85;397.33;3153.73;17.29;57.94;27.16;9.49;23.81;33.71;17.54;74.79;
140 (s);10.12;4.07;51.22;298.28;386.85;3153.45;17.30;57.96;27.17;9.48;23.82;33.72;17.55;74.86;
145 (s);10.13;4.08;51.21;299.37;395.39;3153.69;17.30;57.97;27.17;9.51;23.82;33.73;17.55;75.00;
150 (s);10.13;4.08;51.22;298.00;499.21;3153.54;17.30;57.98;27.16;9.51;23.83;33.74;17.56;74.78;
155 (s);10.13;4.08;51.23;298.34;503.07;3153.53;17.32;57.99;27.15;9.51;23.84;33.75;17.58;75.04;
160 (s);10.14;4.08;51.45;298.10;504.12;3153.39;17.33;57.99;27.16;9.51;23.86;33.76;17.58;74.96;
165 (s);10.14;4.08;51.72;297.96;498.10;3153.41;17.35;58.00;27.15;9.50;23.87;33.76;17.59;74.82;
170 (s);10.15;4.08;51.23;300.48;503.63;3153.28;17.38;58.01;27.14;9.50;23.88;33.77;17.61;74.96;
175 (s);10.15;4.07;51.23;298.78;433.40;3153.60;17.39;58.00;27.14;9.49;23.89;33.78;17.61;74.86;
180 (s);10.15;4.07;51.22;300.88;385.80;3153.30;17.39;58.00;27.14;9.48;23.90;33.79;17.63;74.97;
185 (s);10.16;4.08;51.21;294.88;375.74;3153.36;17.40;58.01;27.13;9.50;23.90;33.80;17.64;75.03;
190 (s);10.16;4.08;51.22;298.88;359.50;3153.64;17.40;58.01;27.11;9.50;23.89;33.81;17.65;74.98;
195 (s);10.17;4.08;51.21;301.09;431.33;3153.58;17.40;58.01;27.11;9.50;23.89;33.81;17.67;74.83;
200 (s);10.17;4.08;51.21;302.16;501.02;3153.42;17.41;58.01;27.13;9.51;23.88;33.82;17.67;75.11;
205 (s);10.17;4.07;51.71;298.44;503.10;3153.39;17.42;58.01;27.12;9.47;23.89;33.83;17.67;75.00;
210 (s);10.17;4.07;51.20;299.90;505.17;3153.17;17.42;58.02;27.11;9.48;23.89;33.84;17.68;74.77;
215 (s);10.18;4.07;51.45;299.64;502.00;3153.35;17.42;58.02;27.11;9.46;23.89;33.84;17.69;74.94;
220 (s);10.18;4.07;51.20;298.85;500.86;3153.34;17.43;58.01;27.11;9.47;23.89;33.85;17.70;74.91;
225 (s);10.19;4.07;51.22;301.83;451.76;3153.46;17.43;58.02;27.11;9.46;23.90;33.85;17.70;74.81;
231 (s);10.19;4.07;51.22;300.67;458.08;3153.47;17.44;58.00;27.10;9.45;23.91;33.86;17.70;75.04;
236 (s);10.19;4.07;51.47;297.40;407.59;3153.32;17.44;57.99;27.10;9.46;23.92;33.86;17.71;74.96;
241 (s);10.20;4.07;51.22;298.90;431.90;3153.46;17.44;57.99;27.10;9.45;23.93;33.86;17.71;74.95;
246 (s);10.20;4.07;51.35;298.88;470.18;3153.32;17.45;58.00;27.07;9.44;23.93;33.87;17.72;75.02;
251 (s);10.20;4.07;51.71;297.07;499.24;3153.19;17.46;57.99;27.07;9.45;23.93;33.87;17.73;75.09;
256 (s);10.21;4.07;51.46;300.06;506.70;3153.24;17.47;58.00;27.07;9.46;23.93;33.88;17.74;74.96;
261 (s);10.21;4.07;51.95;300.04;503.38;3153.51;17.47;58.00;27.08;9.43;23.94;33.89;17.75;74.86;
266 (s);10.21;4.07;51.94;298.51;483.13;3153.52;17.48;58.01;27.07;9.43;23.96;33.89;17.75;75.10;
271 (s);10.21;4.07;51.94;299.19;502.76;3153.44;17.50;58.02;27.07;9.43;23.98;33.90;17.76;75.06;
276 (s);10.22;4.07;51.94;299.78;466.67;3153.49;17.51;58.02;27.06;9.42;24.00;33.90;17.77;75.01;
281 (s);10.22;4.07;51.95;299.45;389.09;3153.37;17.52;58.02;27.05;9.43;24.00;33.90;17.78;74.97;
286 (s);10.22;4.07;51.95;299.96;399.33;3153.36;17.53;58.02;27.05;9.44;24.00;33.91;17.79;75.05;
291 (s);10.23;4.07;51.94;299.24;372.19;3153.40;17.53;58.01;27.04;9.43;23.99;33.91;17.80;75.11;
296 (s);10.23;4.06;51.99;299.98;493.96;3153.24;17.55;58.02;27.05;9.42;23.98;33.91;17.81;75.22;
301 (s);10.24;4.06;52.18;297.78;495.46;3153.53;17.56;58.03;27.04;9.41;23.97;33.92;17.82;75.01;
306 (s);10.23;4.06;52.19;301.35;504.97;3153.29;17.58;58.03;27.01;9.41;23.98;33.92;17.83;74.88;
311 (s);10.24;4.06;52.19;300.30;506.09;3153.60;17.59;58.02;27.01;9.40;23.99;33.92;17.84;75.06;
316 (s);10.24;4.06;52.20;301.98;505.90;3153.73;17.60;58.03;27.02;9.40;24.02;33.92;17.85;75.09;
321 (s);10.25;4.06;52.20;298.77;500.35;3153.84;17.61;58.03;27.02;9.39;24.05;33.92;17.85;75.15;
326 (s);10.25;4.06;52.19;297.60;500.76;3153.41;17.62;58.02;27.01;9.38;24.07;33.92;17.87;75.09;
331 (s);10.25;4.06;52.19;298.37;430.10;3153.43;17.63;58.03;27.00;9.37;24.08;33.93;17.88;74.99;
336 (s);10.26;4.06;52.20;298.32;416.77;3153.52;17.63;58.03;26.99;9.36;24.08;33.93;17.89;74.95;
341 (s);10.26;4.06;52.21;300.10;388.61;3153.58;17.64;58.04;26.98;9.38;24.07;33.94;17.92;75.14;
346 (s);10.26;4.06;52.20;299.44;480.88;3153.30;17.64;58.03;26.98;9.37;24.07;33.95;17.92;75.24;
351 (s);10.27;4.06;52.20;299.03;501.31;3153.56;17.65;58.04;26.99;9.38;24.07;33.95;17.93;75.30;
356 (s);10.27;4.06;52.20;300.19;506.12;3153.35;17.66;58.03;26.99;9.38;24.07;33.96;17.94;75.13;
361 (s);10.27;4.06;52.42;301.10;508.49;3153.58;17.67;58.04;26.96;9.36;24.07;33.96;17.94;74.98;
366 (s);10.27;4.06;52.45;301.11;503.87;3153.58;17.67;58.04;26.95;9.36;24.05;33.96;17.95;75.09;
371 (s);10.28;4.06;52.70;297.57;505.11;3153.41;17.69;58.03;26.95;9.36;24.03;33.97;17.97;75.07;
376 (s);10.28;4.06;52.92;298.50;502.70;3153.32;17.70;58.04;26.95;9.38;24.02;33.97;17.97;75.12;
381 (s);10.28;4.06;52.93;297.89;414.63;3153.62;17.70;58.04;26.95;9.37;24.04;33.97;17.96;74.80;
386 (s);10.28;4.06;53.61;300.52;387.62;3153.47;17.71;58.05;26.96;9.36;24.07;33.97;17.96;74.60;
391 (s);10.28;4.06;53.84;299.47;375.34;3153.46;17.72;58.06;26.96;9.36;24.09;33.97;17.97;74.87;
396 (s);10.29;4.06;54.58;301.08;432.61;3153.46;17.72;58.04;26.96;9.35;24.10;33.98;17.97;74.86;
401 (s);10.29;4.06;55.31;297.58;502.12;3153.28;17.73;58.05;26.94;9.36;24.11;33.98;17.98;74.74;
406 (s);10.29;4.06;57.01;300.19;508.35;3153.27;17.75;58.06;26.95;9.40;24.12;33.99;18.00;75.12;
411 (s);10.29;4.06;57.25;298.05;506.20;3153.49;17.76;58.08;26.94;9.41;24.12;33.99;18.00;75.17;
416 (s);10.29;4.07;57.76;302.34;505.60;3153.25;17.77;58.10;26.96;9.43;24.13;34.00;18.00;74.61;
421 (s);10.29;4.06;58.01;298.60;503.87;3153.45;17.77;58.12;26.96;9.41;24.13;34.00;18.01;74.85;
426 (s);10.30;4.07;57.99;298.16;474.16;3153.06;17.78;58.11;26.96;9.43;24.13;34.01;18.02;74.96;
431 (s);10.30;4.06;58.00;301.89;404.56;3153.70;17.80;58.12;26.94;9.42;24.14;34.02;18.03;75.14;
436 (s);10.30;4.07;58.23;300.74;417.47;3153.59;17.81;58.13;26.94;9.43;24.15;34.03;18.04;75.07;
441 (s);10.30;4.07;58.48;300.85;371.22;3153.75;17.82;58.12;26.95;9.46;24.16;34.03;18.05;75.14;
446 (s);10.30;4.07;58.47;301.63;396.39;3153.44;17.83;58.12;26.95;9.46;24.17;34.04;18.05;75.09;
451 (s);10.30;4.07;58.48;299.80;496.70;3153.64;17.83;58.13;26.96;9.44;24.17;34.04;18.05;75.13;
456 (s);10.30;4.07;58.71;300.14;507.41;3153.54;17.84;58.13;26.95;9.44;24.17;34.05;18.06;75.06;
461 (s);10.30;4.07;58.72;300.35;507.35;3153.53;17.84;58.12;26.94;9.45;24.16;34.06;18.07;75.13;
466 (s);10.30;4.07;58.97;299.33;505.05;3153.58;17.85;58.13;26.95;9.45;24.15;34.06;18.07;75.14;
471 (s);10.29;4.07;58.96;299.16;503.90;3153.41;17.85;58.12;26.96;9.48;24.17;34.07;18.07;75.11;
476 (s);10.30;4.07;58.95;300.75;503.99;3153.51;17.85;58.12;26.96;9.49;24.18;34.07;18.07;75.20;
481 (s);10.29;4.08;58.95;302.38;429.73;3153.62;17.86;58.13;26.94;9.50;24.20;34.07;18.06;75.23;
486 (s);10.30;4.07;58.96;299.52;432.74;3153.44;17.87;58.13;26.95;9.48;24.20;34.07;18.07;75.25;
491 (s);10.30;4.07;58.97;300.05;391.91;3153.59;17.87;58.14;26.94;9.49;24.19;34.07;18.08;75.26;
496 (s);10.29;4.08;59.45;299.37;430.61;3153.43;17.88;58.14;26.94;9.50;24.19;34.07;18.09;75.30;
501 (s);10.29;4.08;59.44;300.60;504.79;3153.34;17.88;58.15;26.94;9.50;24.19;34.08;18.08;75.25;
506 (s);10.29;4.08;59.69;297.31;498.63;3153.36;17.88;58.15;26.94;9.52;24.19;34.08;18.08;75.22;
511 (s);10.30;4.08;59.68;301.46;504.59;3153.65;17.89;58.16;26.92;9.53;24.20;34.08;18.08;75.27;
516 (s);10.30;4.08;59.92;298.45;506.17;3153.58;17.90;58.17;26.92;9.51;24.21;34.08;18.09;75.27;
521 (s);10.30;4.08;60.18;301.21;505.98;3153.51;17.90;58.18;26.92;9.53;24.23;34.09;18.09;75.32;
526 (s);10.30;4.08;59.93;298.93;502.72;3153.40;17.91;58.19;26.92;9.53;24.25;34.10;18.09;75.40;
531 (s);10.30;4.08;60.42;300.77;501.96;3153.27;17.92;58.20;26.93;9.53;24.26;34.10;18.10;75.35;
536 (s);10.30;4.08;60.42;301.30;457.09;3153.52;17.92;58.21;26.92;9.55;24.27;34.10;18.11;75.33;
541 (s);10.30;4.08;60.43;301.87;403.53;3153.46;17.93;58.21;26.92;9.54;24.27;34.11;18.11;75.34;
546 (s);10.30;4.08;60.42;297.95;373.47;3153.72;17.94;58.21;26.92;9.54;24.28;34.11;18.11;75.40;
551 (s);10.30;4.09;60.44;298.52;430.45;3153.52;17.94;58.21;26.92;9.58;24.29;34.11;18.12;75.33;
556 (s);10.30;4.09;60.42;299.31;501.21;3153.45;17.95;58.23;26.91;9.58;24.29;34.12;18.13;75.35;
561 (s);10.30;4.09;60.42;302.66;508.17;3153.38;17.95;58.24;26.92;9.59;24.29;34.12;18.14;75.32;
566 (s);10.30;4.09;60.43;298.30;502.87;3153.30;17.96;58.24;26.92;9.57;24.29;34.12;18.16;75.34;
571 (s);10.30;4.09;60.41;297.53;506.45;3153.43;17.98;58.24;26.92;9.59;24.28;34.13;18.16;75.32;
576 (s);10.30;4.09;60.42;299.36;505.44;3153.49;17.98;58.24;26.91;9.59;24.27;34.13;18.16;75.30;
582 (s);10.30;4.09;60.42;301.03;502.07;3153.65;17.98;58.23;26.91;9.60;24.28;34.14;18.17;75.35;
587 (s);10.30;4.09;60.43;298.21;442.09;3153.54;17.99;58.24;26.91;9.58;24.29;34.15;18.17;75.36;
592 (s);10.30;4.09;60.66;300.36;388.24;3153.46;17.99;58.24;26.91;9.62;24.27;34.15;18.17;75.44;
597 (s);10.31;4.09;61.03;299.39;386.83;3153.72;17.99;58.25;26.91;9.61;24.26;34.15;18.18;74.93;
602 (s);10.30;4.09;61.40;297.29;419.10;3153.61;17.99;58.25;26.90;9.61;24.27;34.15;18.18;75.39;
607 (s);10.30;4.09;61.42;301.07;501.39;3153.60;17.99;58.25;26.90;9.62;24.29;34.16;18.17;75.42;
612 (s);10.30;4.09;61.40;300.99;503.33;3153.48;18.00;58.26;26.92;9.62;24.30;34.16;18.17;75.42;
617 (s);10.30;4.09;61.41;300.77;507.67;3153.57;18.00;58.26;26.92;9.61;24.30;34.16;18.18;75.42;
622 (s);10.30;4.09;61.41;299.91;508.11;3153.49;18.00;58.27;26.91;9.62;24.30;34.17;18.18;75.53;
627 (s);10.30;4.10;61.41;299.44;507.89;3153.43;18.00;58.27;26.93;9.66;24.29;34.17;18.19;75.44;
632 (s);10.30;4.10;61.40;299.14;503.96;3153.56;18.01;58.27;26.93;9.66;24.28;34.18;18.18;75.30;
637 (s);10.30;4.10;61.16;301.20;496.89;3153.28;18.01;58.27;26.92;9.66;24.27;34.19;18.18;75.34;
642 (s);10.31;4.09;61.39;302.02;377.51;3153.58;18.01;58.27;26.92;9.63;24.29;34.19;18.19;75.34;
647 (s);10.30;4.10;61.39;299.28;389.88;3153.63;18.01;58.28;26.94;9.67;24.31;34.20;18.20;75.28;
652 (s);10.31;4.10;61.40;298.16;378.57;3153.61;18.01;58.28;26.93;9.69;24.32;34.20;18.19;75.28;
657 (s);10.31;4.10;61.41;302.59;500.76;3153.58;18.01;58.30;26.92;9.70;24.33;34.20;18.18;75.48;
662 (s);10.31;4.11;61.40;299.20;501.09;3153.27;18.01;58.29;26.93;9.72;24.34;34.21;18.18;75.51;
667 (s);10.31;4.10;61.42;302.93;504.27;3153.40;18.02;58.29;26.93;9.70;24.33;34.21;18.18;75.53;
672 (s);10.31;4.11;61.41;300.25;504.92;3153.53;18.02;58.29;26.94;9.73;24.31;34.22;18.19;75.63;
677 (s);10.31;4.11;61.40;302.61;503.67;3153.44;18.02;58.30;26.94;9.73;24.29;34.22;18.20;75.48;
682 (s);10.31;4.11;61.41;298.29;504.83;3153.51;18.02;58.30;26.93;9.72;24.27;34.23;18.20;75.37;
687 (s);10.30;4.11;61.40;299.69;501.20;3153.77;18.02;58.29;26.94;9.73;24.24;34.23;18.20;75.44;
692 (s);10.30;4.11;61.41;298.62;426.01;3153.55;18.02;58.30;26.94;9.74;24.22;34.24;18.20;75.29;
697 (s);10.30;4.11;61.41;298.41;411.56;3153.41;18.02;58.29;26.94;9.73;24.23;34.24;18.18;75.30;
702 (s);10.30;4.11;61.39;298.13;392.92;3153.22;18.03;58.28;26.93;9.72;24.25;34.24;18.17;75.39;
707 (s);10.30;4.11;61.40;300.70;446.36;3153.57;18.03;58.27;26.94;9.75;24.27;34.24;18.16;75.36;
712 (s);10.30;4.11;61.16;298.97;504.02;3153.59;18.03;58.28;26.94;9.77;24.28;34.24;18.16;75.42;
717 (s);10.30;4.11;61.42;300.18;508.14;3153.51;18.04;58.30;26.94;9.76;24.29;34.23;18.15;75.46;
722 (s);10.30;4.11;61.40;298.16;504.83;3153.42;18.04;58.30;26.95;9.77;24.30;34.24;18.16;75.55;
