Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.00;3.97;53.38;296.65;327.54;3168.46;16.90;58.18;29.59;8.73;23.22;34.64;15.76;74.05;
10 (s);9.99;3.97;53.62;294.42;357.54;3168.63;16.89;58.17;29.58;8.69;23.23;34.52;15.76;73.99;
15 (s);9.98;3.97;53.63;294.17;269.05;3168.65;16.89;58.16;29.60;8.72;23.23;34.43;15.75;74.16;
20 (s);9.98;3.97;53.63;294.97;258.98;3168.75;16.88;58.16;29.59;8.70;23.23;34.36;15.75;74.23;
25 (s);9.97;3.97;53.61;296.66;358.64;3168.87;16.88;58.14;29.62;8.69;23.23;34.29;15.76;73.97;
30 (s);9.97;3.97;53.60;293.79;356.71;3168.63;16.88;58.11;29.61;8.71;23.23;34.23;15.76;73.86;
35 (s);9.96;3.97;53.85;295.59;357.20;3168.84;16.89;58.09;29.56;8.69;23.23;34.16;15.75;74.10;
40 (s);9.96;3.96;54.32;297.72;359.59;3168.39;16.90;58.10;29.59;8.67;23.22;34.11;15.76;73.97;
45 (s);9.96;3.98;54.57;296.28;354.37;3168.59;16.92;58.08;29.59;8.78;23.21;34.07;15.76;73.83;
50 (s);9.95;3.97;54.57;294.49;356.89;3168.77;16.93;58.09;29.59;8.70;23.20;34.03;15.75;74.05;
55 (s);9.94;3.96;54.57;294.69;292.82;3168.61;16.94;58.09;29.59;8.68;23.20;33.99;15.75;74.01;
60 (s);9.94;3.97;54.57;295.90;235.17;3168.68;16.93;58.09;29.57;8.72;23.20;33.95;15.76;73.84;
65 (s);9.93;3.96;54.57;296.55;355.92;3168.74;16.92;58.08;29.56;8.68;23.21;33.90;15.75;74.07;
70 (s);9.93;3.97;54.56;296.13;357.88;3168.46;16.92;58.05;29.52;8.68;23.21;33.86;15.74;73.93;
75 (s);9.93;3.96;54.56;295.27;354.14;3168.87;16.93;58.06;29.51;8.67;23.21;33.82;15.74;73.78;
80 (s);9.92;3.97;54.57;298.64;357.19;3168.67;16.93;58.06;29.50;8.69;23.23;33.79;15.74;74.07;
85 (s);9.92;3.96;54.58;297.92;360.77;3168.71;16.93;58.06;29.49;8.67;23.24;33.76;15.73;73.71;
90 (s);9.92;3.96;54.60;295.34;326.13;3168.90;16.93;58.05;29.47;8.67;23.24;33.72;15.73;73.93;
95 (s);9.92;3.97;54.56;295.20;313.41;3168.82;16.93;58.05;29.43;8.70;23.23;33.69;15.74;73.92;
100 (s);9.92;3.96;54.57;294.07;265.06;3169.06;16.92;58.04;29.42;8.67;23.22;33.67;15.74;73.76;
105 (s);9.91;3.96;54.57;296.80;354.71;3168.85;16.91;58.03;29.42;8.67;23.22;33.65;15.73;73.97;
110 (s);9.91;3.96;54.57;295.69;358.00;3168.80;16.90;58.02;29.39;8.64;23.20;33.63;15.72;73.66;
115 (s);9.91;3.96;54.57;299.52;358.22;3168.95;16.89;58.02;29.38;8.65;23.19;33.61;15.72;73.97;
120 (s);9.91;3.96;54.80;294.94;354.59;3168.89;16.88;58.02;29.35;8.66;23.20;33.59;15.70;73.75;
125 (s);9.91;3.96;54.57;298.71;354.97;3169.01;16.88;58.01;29.33;8.66;23.22;33.58;15.69;73.82;
130 (s);9.90;3.96;54.58;297.40;355.93;3169.01;16.87;58.01;29.31;8.64;23.23;33.56;15.67;73.87;
135 (s);9.91;3.96;54.83;298.60;269.18;3169.01;16.86;57.99;29.27;8.64;23.24;33.55;15.66;73.77;
140 (s);9.91;3.96;55.06;296.43;262.21;3169.12;16.86;57.98;29.24;8.61;23.26;33.54;15.65;73.85;
145 (s);9.90;3.96;55.32;296.72;358.22;3168.85;16.86;57.98;29.21;8.63;23.27;33.52;15.64;73.71;
150 (s);9.90;3.96;55.55;297.82;359.02;3168.99;16.86;57.97;29.19;8.65;23.27;33.51;15.65;74.03;
155 (s);9.90;3.96;56.05;294.34;355.43;3169.01;16.86;57.97;29.19;8.62;23.26;33.51;15.66;73.69;
160 (s);9.90;3.96;56.04;297.79;357.73;3169.12;16.87;57.97;29.17;8.62;23.25;33.50;15.67;73.99;
165 (s);9.90;3.96;56.05;298.63;356.51;3169.40;16.88;57.97;29.14;8.63;23.26;33.49;15.68;73.63;
170 (s);9.90;3.96;56.05;296.99;357.81;3169.38;16.89;57.96;29.14;8.61;23.27;33.49;15.69;73.94;
175 (s);9.90;3.96;56.05;296.07;282.53;3169.51;16.90;57.94;29.10;8.63;23.28;33.48;15.71;73.89;
180 (s);9.90;3.96;56.04;297.35;222.29;3169.35;16.91;57.94;29.07;8.61;23.29;33.47;15.72;73.71;
185 (s);9.90;3.96;56.05;293.73;289.13;3169.34;16.93;57.94;29.06;8.65;23.28;33.46;15.73;73.92;
190 (s);9.90;3.96;56.05;296.22;356.34;3169.05;16.94;57.95;29.02;8.64;23.27;33.45;15.73;73.69;
195 (s);9.90;3.95;56.05;296.82;357.06;3169.09;16.95;57.95;28.99;8.60;23.26;33.45;15.74;73.89;
200 (s);9.89;3.96;56.03;295.69;361.87;3169.19;16.95;57.95;28.99;8.63;23.26;33.45;15.75;73.79;
205 (s);9.89;3.96;56.05;295.36;356.46;3169.09;16.94;57.96;28.97;8.62;23.25;33.44;15.75;73.85;
210 (s);9.90;3.96;56.30;296.61;355.03;3169.54;16.94;57.97;28.94;8.62;23.24;33.43;15.75;73.85;
215 (s);9.89;3.96;56.28;296.50;299.48;3169.45;16.94;57.97;28.91;8.62;23.23;33.42;15.75;73.68;
220 (s);9.89;3.96;56.30;294.62;267.17;3169.43;16.94;57.97;28.89;8.64;23.23;33.42;15.75;73.87;
225 (s);9.89;3.95;56.22;296.85;267.21;3169.28;16.93;57.96;28.85;8.60;23.24;33.41;15.74;73.67;
230 (s);9.89;3.96;56.29;297.17;354.20;3169.11;16.92;57.96;28.83;8.61;23.25;33.41;15.72;73.89;
235 (s);9.88;3.96;56.30;295.00;355.45;3169.40;16.91;57.96;28.80;8.62;23.26;33.41;15.70;73.62;
240 (s);9.89;3.96;56.28;294.53;356.77;3169.46;16.90;57.95;28.78;8.61;23.26;33.40;15.70;73.90;
246 (s);9.88;3.96;56.35;296.31;356.63;3169.56;16.90;57.93;28.76;8.62;23.26;33.40;15.70;73.69;
251 (s);9.88;3.96;56.52;295.97;353.98;3169.23;16.90;57.92;28.75;8.62;23.28;33.39;15.71;73.96;
256 (s);9.88;3.96;56.52;294.21;265.89;3169.25;16.90;57.93;28.72;8.64;23.29;33.39;15.70;73.60;
261 (s);9.88;3.96;56.52;296.72;221.86;3169.52;16.90;57.94;28.70;8.62;23.32;33.38;15.70;73.95;
266 (s);9.88;3.96;56.64;293.48;263.30;3169.19;16.89;57.95;28.68;8.62;23.33;33.38;15.69;73.63;
271 (s);9.89;3.96;56.53;296.84;354.69;3169.65;16.89;57.94;28.66;8.61;23.33;33.37;15.69;73.85;
276 (s);9.89;3.96;56.27;296.14;355.61;3169.50;16.88;57.92;28.64;8.61;23.32;33.37;15.70;73.69;
281 (s);9.88;3.96;56.53;298.12;357.27;3169.60;16.89;57.92;28.61;8.61;23.31;33.37;15.71;73.89;
286 (s);9.88;3.96;56.53;295.66;361.01;3169.47;16.89;57.90;28.59;8.63;23.32;33.37;15.72;73.56;
291 (s);9.89;3.96;56.66;296.84;339.38;3169.46;16.90;57.91;28.56;8.62;23.32;33.36;15.72;73.87;
296 (s);9.88;3.96;56.79;296.43;317.40;3169.42;16.90;57.91;28.54;8.61;23.33;33.35;15.72;73.67;
