Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.69;4.20;61.40;300.17;500.05;3737.41;18.41;59.30;28.24;10.42;25.20;35.59;18.62;87.22;
10 (s);10.70;4.20;61.40;302.93;506.77;3736.80;18.40;59.32;28.23;10.38;25.22;35.62;18.61;87.66;
15 (s);10.71;4.19;61.89;300.10;509.26;3736.83;18.39;59.35;28.24;10.35;25.24;35.65;18.61;87.27;
20 (s);10.71;4.19;61.90;302.63;512.44;3737.12;18.39;59.38;28.25;10.36;25.26;35.67;18.60;87.23;
25 (s);10.72;4.19;62.13;303.46;506.13;3737.12;18.39;59.40;28.25;10.35;25.26;35.69;18.60;87.22;
30 (s);10.72;4.19;62.38;302.58;507.20;3737.44;18.38;59.44;28.26;10.33;25.26;35.72;18.60;87.32;
35 (s);10.73;4.19;62.40;302.92;487.60;3737.51;18.37;59.48;28.26;10.30;25.26;35.74;18.60;87.48;
40 (s);10.73;4.19;62.39;303.05;371.51;3737.00;18.37;59.50;28.26;10.33;25.25;35.76;18.59;87.26;
45 (s);10.73;4.19;62.38;303.24;434.94;3737.44;18.37;59.52;28.26;10.32;25.24;35.77;18.59;87.23;
50 (s);10.74;4.19;62.40;299.97;393.28;3737.69;18.37;59.54;28.26;10.29;25.23;35.78;18.59;87.07;
55 (s);10.74;4.18;62.39;302.74;448.34;3737.68;18.36;59.57;28.26;10.27;25.22;35.80;18.59;87.24;
60 (s);10.75;4.18;62.39;300.39;503.33;3736.97;18.36;59.57;28.27;10.26;25.21;35.81;18.59;87.33;
65 (s);10.75;4.18;62.37;302.50;507.93;3737.28;18.35;59.58;28.27;10.26;25.20;35.81;18.59;87.56;
70 (s);10.75;4.18;62.39;301.97;507.85;3737.66;18.35;59.62;28.27;10.24;25.21;35.83;18.58;87.35;
75 (s);10.75;4.18;62.38;301.56;509.60;3737.88;18.36;59.65;28.28;10.23;25.22;35.84;18.57;87.07;
80 (s);10.76;4.18;62.37;303.56;506.51;3737.49;18.36;59.66;28.27;10.23;25.23;35.84;18.57;87.24;
85 (s);10.76;4.18;62.39;299.65;469.55;3737.63;18.35;59.67;28.28;10.24;25.23;35.85;18.55;87.43;
90 (s);10.76;4.18;62.38;303.15;408.14;3737.48;18.35;59.68;28.27;10.23;25.25;35.86;18.55;87.50;
95 (s);10.77;4.17;62.38;301.92;392.51;3737.67;18.34;59.69;28.27;10.21;25.24;35.87;18.55;87.43;
100 (s);10.77;4.17;62.37;301.15;392.16;3737.40;18.34;59.72;28.27;10.18;25.24;35.88;18.55;86.91;
