Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.27;4.24;41.85;217.78;338.34;2330.96;18.60;48.05;25.21;10.64;22.70;31.68;17.33;50.28;
2 (s);9.27;4.24;41.77;216.40;324.10;2331.00;18.60;48.05;25.21;10.66;22.70;31.69;17.33;50.15;
3 (s);9.27;4.24;42.01;216.61;367.22;2331.02;18.60;48.05;25.21;10.66;22.70;31.69;17.33;50.28;
4 (s);9.27;4.24;42.00;216.82;415.46;2331.06;18.60;48.05;25.22;10.66;22.70;31.69;17.33;50.28;
5 (s);9.27;4.24;42.01;217.25;333.55;2331.02;18.60;48.05;25.22;10.67;22.70;31.69;17.33;50.28;
6 (s);9.27;4.24;41.84;217.15;344.73;2330.99;18.60;48.05;25.23;10.65;22.71;31.69;17.33;50.32;
7 (s);9.27;4.24;41.76;218.35;364.91;2331.13;18.61;48.05;25.23;10.65;22.71;31.69;17.33;50.34;
8 (s);9.27;4.24;41.77;216.14;324.09;2331.21;18.61;48.05;25.22;10.65;22.71;31.69;17.33;50.24;
9 (s);9.27;4.24;41.76;217.03;310.85;2331.18;18.61;48.05;25.20;10.65;22.71;31.69;17.34;50.33;
10 (s);9.27;4.24;41.96;216.55;322.54;2331.04;18.61;48.05;25.20;10.66;22.71;31.69;17.34;50.24;
11 (s);9.27;4.24;42.01;217.48;241.10;2331.14;18.61;48.05;25.20;10.69;22.71;31.69;17.34;50.30;
12 (s);9.27;4.24;41.97;214.53;211.94;2331.17;18.62;48.05;25.20;10.69;22.71;31.69;17.34;50.34;
13 (s);9.27;4.24;42.03;216.06;258.72;2331.16;18.62;48.05;25.21;10.70;22.71;31.69;17.34;50.28;
14 (s);9.27;4.24;41.99;218.31;338.28;2331.06;18.62;48.05;25.22;10.70;22.71;31.69;17.34;50.28;
15 (s);9.27;4.24;42.01;214.79;329.20;2331.04;18.62;48.05;25.22;10.70;22.71;31.69;17.34;50.21;
16 (s);9.27;4.24;41.79;215.93;328.35;2331.08;18.62;48.06;25.22;10.67;22.71;31.69;17.34;50.31;
17 (s);9.27;4.24;41.90;214.79;293.51;2331.10;18.62;48.06;25.22;10.67;22.71;31.69;17.34;50.34;
18 (s);9.27;4.24;41.76;216.91;242.17;2331.02;18.62;48.06;25.22;10.67;22.71;31.69;17.34;50.28;
19 (s);9.27;4.24;41.85;215.68;325.37;2331.02;18.62;48.07;25.22;10.66;22.71;31.70;17.34;50.33;
20 (s);9.27;4.24;41.80;214.85;236.28;2331.17;18.62;48.07;25.23;10.67;22.71;31.70;17.34;50.31;
21 (s);9.27;4.24;41.79;217.41;249.61;2331.11;18.62;48.07;25.23;10.66;22.71;31.70;17.34;50.37;
22 (s);9.27;4.24;41.91;215.69;238.66;2331.20;18.62;48.08;25.24;10.65;22.72;31.70;17.34;50.31;
23 (s);9.27;4.24;41.99;217.03;219.02;2331.21;18.62;48.08;25.24;10.65;22.72;31.70;17.34;50.39;
24 (s);9.27;4.24;41.82;216.29;330.43;2331.07;18.62;48.08;25.24;10.65;22.72;31.70;17.34;50.27;
25 (s);9.27;4.24;41.94;215.06;334.44;2331.25;18.63;48.07;25.24;10.65;22.72;31.70;17.34;50.32;
26 (s);9.27;4.24;41.86;214.38;337.33;2331.02;18.62;48.07;25.24;10.64;22.72;31.70;17.34;50.30;
27 (s);9.27;4.23;42.00;217.30;294.21;2331.20;18.62;48.07;25.24;10.63;22.72;31.70;17.35;50.33;
28 (s);9.27;4.24;41.86;215.72;278.19;2331.20;18.62;48.07;25.23;10.65;22.72;31.70;17.34;50.30;
29 (s);9.27;4.24;42.00;219.77;221.41;2331.12;18.62;48.07;25.23;10.65;22.72;31.70;17.35;50.27;
30 (s);9.27;4.23;41.86;218.27;313.50;2331.26;18.62;48.07;25.23;10.64;22.72;31.70;17.35;50.30;
31 (s);9.27;4.23;41.85;218.29;394.57;2331.03;18.62;48.08;25.21;10.64;22.72;31.70;17.35;50.35;
32 (s);9.27;4.24;41.85;217.19;333.21;2331.18;18.62;48.08;25.22;10.66;22.72;31.70;17.34;50.30;
33 (s);9.27;4.24;41.75;216.21;331.74;2330.99;18.63;48.08;25.22;10.66;22.72;31.70;17.35;50.37;
34 (s);9.27;4.24;41.77;215.66;327.57;2331.01;18.63;48.09;25.22;10.66;22.72;31.70;17.34;50.32;
35 (s);9.27;4.24;41.77;213.97;289.00;2331.14;18.62;48.09;25.23;10.67;22.72;31.70;17.35;50.28;
36 (s);9.27;4.24;41.78;217.51;217.43;2331.12;18.62;48.09;25.23;10.65;22.72;31.70;17.35;50.42;
37 (s);9.27;4.23;41.93;219.14;243.44;2331.06;18.62;48.09;25.24;10.64;22.72;31.70;17.35;50.25;
