Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.98;4.46;71.14;533.91;375.06;3479.37;20.41;58.62;30.34;12.22;28.39;36.47;22.20;86.54;
20 (s);10.99;4.46;71.38;534.21;364.91;3480.00;20.42;58.64;30.33;12.23;28.40;36.50;22.19;87.12;
30 (s);10.99;4.47;71.65;533.48;346.72;3479.74;20.43;58.69;30.33;12.24;28.43;36.52;22.19;86.59;
40 (s);11.00;4.47;71.86;532.14;384.28;3479.56;20.44;58.73;30.32;12.27;28.45;36.54;22.21;85.93;
50 (s);11.00;4.48;71.68;531.74;346.88;3479.65;20.46;58.76;30.32;12.34;28.46;36.57;22.22;84.13;
60 (s);11.00;4.48;71.63;536.32;346.75;3479.92;20.47;58.80;30.31;12.35;28.47;36.58;22.22;85.47;
70 (s);11.01;4.49;71.86;534.97;345.54;3479.88;20.49;58.84;30.31;12.40;28.44;36.61;22.22;87.28;
80 (s);11.01;4.49;71.91;530.17;355.37;3479.67;20.49;58.91;30.32;12.41;28.44;36.63;22.21;84.91;
90 (s);11.01;4.49;71.65;530.80;360.81;3480.10;20.51;58.94;30.31;12.37;28.43;36.65;22.21;84.29;
100 (s);11.01;4.49;71.65;531.97;367.48;3479.99;20.52;58.98;30.33;12.39;28.43;36.65;22.23;84.66;
110 (s);11.01;4.49;71.65;530.05;346.99;3479.95;20.53;59.01;30.33;12.41;28.47;36.67;22.23;85.97;
120 (s);11.02;4.49;71.64;527.75;355.85;3480.11;20.55;59.06;30.33;12.44;28.50;36.68;22.23;87.01;
130 (s);11.02;4.50;71.64;531.43;336.34;3480.15;20.56;59.08;30.34;12.46;28.54;36.70;22.24;86.24;
140 (s);11.03;4.50;71.63;529.41;345.89;3479.85;20.57;59.11;30.34;12.47;28.56;36.72;22.26;84.33;
151 (s);11.03;4.50;71.64;526.84;346.28;3480.32;20.58;59.12;30.35;12.50;28.58;36.75;22.28;87.03;
161 (s);11.04;4.51;71.41;531.01;343.69;3479.96;20.59;59.16;30.35;12.54;28.57;36.77;22.28;84.79;
