Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.68;4.62;141.34;164.51;420.61;3111.44;20.73;37.79;30.97;13.27;24.23;34.35;19.09;66.92;
20 (s);9.71;4.60;69.79;163.79;277.80;3111.61;20.63;37.89;31.72;13.15;24.24;34.48;19.03;67.14;
30 (s);9.74;4.58;49.30;164.72;359.53;3111.61;20.56;38.01;32.15;13.02;24.23;34.58;18.99;67.05;
40 (s);9.77;4.58;82.03;166.01;416.44;3111.65;20.49;38.15;32.46;12.98;24.23;34.67;18.96;67.12;
50 (s);9.80;4.58;73.85;166.06;225.88;3111.74;20.43;38.29;32.68;13.01;24.24;34.77;18.92;67.35;
60 (s);9.84;4.57;60.48;166.44;403.06;3111.81;20.38;38.43;32.85;12.96;24.25;34.86;18.90;67.39;
64 (s);9.85;4.58;99.44;164.66;366.33;3111.97;20.36;38.50;32.87;13.01;24.25;34.90;18.88;67.58;
70 (s);9.87;4.57;40.54;167.71;468.30;3112.19;20.33;38.60;32.93;12.93;24.26;34.96;18.87;67.56;
80 (s);9.90;4.56;45.24;168.50;361.22;3112.08;20.28;38.74;33.01;12.91;24.26;35.06;18.85;67.69;
90 (s);9.93;4.56;86.51;167.32;236.98;3112.02;20.23;38.88;33.05;12.87;24.27;35.15;18.84;67.87;
100 (s);9.96;4.57;84.40;166.82;394.40;3111.84;20.19;39.03;33.06;12.97;24.28;35.25;18.82;67.98;
110 (s);10.00;4.55;42.30;164.90;241.99;3112.03;20.15;39.17;33.05;12.81;24.29;35.33;18.80;68.21;
120 (s);10.02;4.54;94.08;165.75;353.90;3112.11;20.11;39.30;33.03;12.77;24.28;35.42;18.79;68.15;
130 (s);10.05;4.55;42.70;164.86;344.91;3112.32;20.06;39.45;33.00;12.81;24.28;35.51;18.78;68.47;
140 (s);10.08;4.54;69.52;166.92;229.36;3112.33;20.01;39.57;32.94;12.72;24.27;35.60;18.77;68.50;
150 (s);10.11;4.52;72.01;165.31;217.77;3112.56;19.96;39.69;32.89;12.64;24.27;35.69;18.74;68.61;
160 (s);10.14;4.51;54.99;167.18;431.47;3112.46;19.91;39.80;32.90;12.57;24.26;35.78;18.73;68.64;
170 (s);10.17;4.51;53.67;167.75;296.74;3112.73;19.87;39.91;32.75;12.55;24.26;35.86;18.69;68.88;
180 (s);10.19;4.49;55.40;166.01;274.10;3112.62;19.83;40.05;32.65;12.43;24.26;35.94;18.68;68.98;
190 (s);10.22;4.50;53.85;167.21;328.46;3112.73;19.79;40.17;32.63;12.50;24.23;36.01;18.64;69.17;
200 (s);10.24;4.49;52.92;167.72;303.22;3112.58;19.76;40.28;32.62;12.44;24.23;36.08;18.60;69.25;
210 (s);10.27;4.48;53.46;166.42;358.88;3112.53;19.72;40.38;32.81;12.31;24.23;36.16;18.52;69.39;
221 (s);10.29;4.49;53.99;167.61;319.82;3112.75;19.68;40.47;32.98;12.44;24.23;36.23;18.47;69.60;
231 (s);10.30;4.46;53.73;164.62;325.43;3112.71;19.63;40.54;33.03;12.18;24.22;36.28;18.42;69.66;
241 (s);10.33;4.46;53.02;168.20;218.94;3112.91;19.59;40.62;33.02;12.21;24.21;36.35;18.39;69.77;
251 (s);10.34;4.45;52.85;165.62;197.17;3112.90;19.56;40.70;33.02;12.15;24.22;36.41;18.37;69.90;
261 (s);10.36;4.44;52.89;165.15;218.81;3113.16;19.51;40.77;33.04;12.09;24.22;36.47;18.32;69.95;
271 (s);10.37;4.44;52.84;165.39;227.86;3113.05;19.47;40.84;33.00;12.06;24.23;36.52;18.30;70.23;
281 (s);10.39;4.44;52.15;166.62;270.95;3113.12;19.42;40.91;32.93;12.09;24.24;36.58;18.29;70.36;
291 (s);10.40;4.43;52.46;166.49;366.17;3113.16;19.38;40.97;32.86;12.03;24.25;36.65;18.28;70.27;
301 (s);10.42;4.43;51.95;167.47;220.67;3113.25;19.34;41.03;32.79;11.99;24.25;36.69;18.26;70.60;
311 (s);10.43;4.43;51.72;167.70;216.47;3113.50;19.31;41.09;32.74;11.97;24.25;36.75;18.25;70.56;
321 (s);10.45;4.43;51.47;167.43;215.22;3113.41;19.26;41.16;32.69;11.97;24.24;36.79;18.25;70.75;
331 (s);10.46;4.44;50.96;167.09;220.37;3113.53;19.24;41.21;32.62;12.06;24.24;36.84;18.24;70.87;
341 (s);10.47;4.41;50.00;166.34;253.32;3113.48;19.22;41.26;32.62;11.84;24.23;36.88;18.22;70.97;
351 (s);10.48;4.40;49.25;166.94;266.63;3113.42;19.18;41.31;32.56;11.82;24.22;36.93;18.17;71.02;
361 (s);10.49;4.42;48.56;165.31;261.58;3113.52;19.15;41.36;32.52;11.96;24.22;36.97;18.18;71.16;
371 (s);10.50;4.40;47.59;165.04;370.75;3113.46;19.11;41.41;32.48;11.78;24.22;37.00;18.18;71.17;
381 (s);10.51;4.38;47.57;168.16;303.55;3113.45;19.08;41.46;32.44;11.69;24.22;37.04;18.17;71.18;
391 (s);10.52;4.40;47.59;166.70;209.54;3113.80;19.06;41.51;32.40;11.82;24.22;37.06;18.15;71.49;
401 (s);10.52;4.37;46.85;168.32;222.66;3113.80;19.03;41.57;32.36;11.61;24.22;37.10;18.16;71.36;
411 (s);10.53;4.37;46.85;165.66;258.36;3113.73;19.00;41.61;32.34;11.61;24.20;37.13;18.13;71.52;
421 (s);10.54;4.38;46.85;167.16;218.14;3113.86;18.98;41.65;32.35;11.63;24.18;37.15;18.13;71.60;
431 (s);10.55;4.35;46.10;166.62;149.38;3113.76;18.95;41.70;32.33;11.47;24.18;37.18;18.12;71.61;
441 (s);10.55;4.33;46.36;168.14;435.76;3113.85;18.90;41.74;32.29;11.28;24.19;37.20;17.90;71.67;
451 (s);10.56;4.34;46.36;164.33;209.12;3113.90;18.87;41.78;32.28;11.38;24.20;37.23;17.81;71.76;
