Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.03;3.29;51.97;142.77;253.37;3113.93;12.15;50.47;21.74;3.23;19.47;30.59;8.85;67.93;
20 (s);9.10;3.29;51.88;242.27;248.85;3113.97;12.15;50.51;21.78;3.27;19.47;31.03;8.89;67.73;
30 (s);9.10;3.29;51.97;244.18;250.51;3114.12;12.15;50.48;21.78;3.27;19.49;31.20;8.90;67.78;
40 (s);9.10;3.29;51.96;246.57;247.76;3114.05;12.16;50.50;21.77;3.30;19.51;31.19;8.90;67.76;
50 (s);9.11;3.30;52.21;246.98;249.02;3113.98;12.17;50.51;21.78;3.31;19.49;31.20;8.92;68.01;
60 (s);9.11;3.30;52.20;247.24;245.64;3114.07;12.18;50.55;21.80;3.34;19.55;31.24;8.92;68.03;
70 (s);9.12;3.30;52.21;247.88;247.60;3114.03;12.17;50.56;21.78;3.34;19.58;31.25;8.92;67.75;
80 (s);9.13;3.30;52.18;247.52;247.78;3113.99;12.17;50.58;21.81;3.36;19.55;31.29;8.93;67.68;
90 (s);9.14;3.30;52.19;247.71;244.48;3114.07;12.19;50.58;21.81;3.38;19.55;31.32;8.94;68.37;
100 (s);9.14;3.31;52.21;248.36;245.96;3114.07;12.20;50.59;21.82;3.40;19.53;31.35;8.94;68.10;
110 (s);9.14;3.31;52.21;248.55;246.58;3114.09;12.20;50.62;21.83;3.42;19.54;31.37;8.96;68.48;
120 (s);9.14;3.31;52.23;249.74;247.89;3114.16;12.20;50.64;21.84;3.43;19.55;31.38;8.96;67.92;
130 (s);9.15;3.31;52.35;248.38;246.11;3113.95;12.19;50.65;21.84;3.46;19.55;31.40;8.96;67.77;
