Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.44;4.19;38.65;165.13;336.28;2335.65;18.65;39.33;24.88;10.35;22.32;32.71;17.41;48.79;
2 (s);9.44;4.19;38.63;162.12;374.77;2335.71;18.65;39.33;24.87;10.34;22.32;32.71;17.41;48.72;
2 (s);9.44;4.19;38.61;164.15;374.70;2335.67;18.65;39.33;24.87;10.34;22.32;32.71;17.41;48.83;
7 (s);9.44;4.19;38.73;164.20;361.64;2335.64;18.65;39.36;24.88;10.34;22.32;32.71;17.41;48.80;
8 (s);9.44;4.19;38.87;163.04;360.44;2335.83;18.65;39.37;24.88;10.34;22.32;32.71;17.41;48.82;
9 (s);9.44;4.19;38.72;164.24;332.57;2335.58;18.64;39.37;24.88;10.34;22.32;32.71;17.41;48.86;
10 (s);9.44;4.19;38.73;164.88;325.61;2335.72;18.64;39.37;24.88;10.33;22.32;32.71;17.41;48.72;
11 (s);9.44;4.19;38.70;164.76;290.08;2335.61;18.64;39.38;24.89;10.33;22.33;32.71;17.41;48.86;
12 (s);9.44;4.19;38.66;162.41;270.09;2335.63;18.64;39.39;24.89;10.33;22.33;32.71;17.41;48.73;
13 (s);9.44;4.19;38.58;163.57;285.15;2335.67;18.63;39.40;24.89;10.34;22.33;32.72;17.41;48.92;
14 (s);9.44;4.19;38.61;164.11;292.91;2335.71;18.63;39.40;24.89;10.33;22.33;32.72;17.41;48.83;
15 (s);9.44;4.19;38.61;162.81;255.35;2335.73;18.63;39.41;24.89;10.33;22.34;32.72;17.40;48.82;
16 (s);9.44;4.22;38.77;164.23;274.02;2335.65;18.63;39.41;24.89;10.51;22.34;32.72;17.40;48.91;
17 (s);9.44;4.21;38.61;163.36;332.93;2335.76;18.62;39.42;24.88;10.47;22.34;32.72;17.40;48.80;
18 (s);9.44;4.20;38.63;164.74;362.66;2335.82;18.62;39.43;24.88;10.40;22.34;32.72;17.40;48.98;
19 (s);9.44;4.20;38.63;162.69;371.68;2335.69;18.62;39.44;24.87;10.37;22.34;32.72;17.40;48.71;
20 (s);9.44;4.20;38.62;165.32;390.84;2335.61;18.62;39.45;24.87;10.36;22.34;32.72;17.40;48.92;
21 (s);9.44;4.19;38.63;163.12;361.34;2335.72;18.62;39.46;24.88;10.35;22.35;32.72;17.40;48.80;
22 (s);9.44;4.20;38.52;165.62;344.07;2335.69;18.62;39.46;24.88;10.36;22.35;32.72;17.40;48.84;
23 (s);9.44;4.19;38.60;163.90;401.34;2335.74;18.62;39.46;24.89;10.36;22.35;32.72;17.40;48.92;
24 (s);9.44;4.19;38.63;165.46;365.19;2335.71;18.62;39.47;24.88;10.35;22.35;32.72;17.40;48.74;
25 (s);9.44;4.19;38.64;161.99;330.86;2335.63;18.62;39.48;24.88;10.35;22.35;32.72;17.40;48.92;
26 (s);9.44;4.20;38.56;162.79;429.82;2335.63;18.62;39.49;24.88;10.36;22.35;32.72;17.41;48.79;
27 (s);9.44;4.20;38.61;163.04;388.65;2335.68;18.61;39.49;24.88;10.36;22.35;32.72;17.40;48.96;
28 (s);9.44;4.21;38.63;163.82;325.93;2335.85;18.61;39.50;24.88;10.43;22.35;32.72;17.41;48.91;
29 (s);9.44;4.20;38.76;164.78;331.99;2335.62;18.61;39.50;24.87;10.39;22.35;32.72;17.41;48.82;
30 (s);9.44;4.21;38.62;164.59;311.15;2335.76;18.61;39.51;24.88;10.46;22.35;32.73;17.41;48.93;
31 (s);9.44;4.21;38.62;162.73;324.06;2335.55;18.61;39.51;24.88;10.46;22.35;32.73;17.40;48.83;
32 (s);9.44;4.20;38.63;164.97;365.15;2335.61;18.61;39.52;24.87;10.41;22.35;32.73;17.40;48.93;
33 (s);9.44;4.20;38.61;166.14;334.62;2335.77;18.61;39.53;24.88;10.39;22.35;32.73;17.41;48.78;
34 (s);9.44;4.20;38.62;163.09;322.33;2335.73;18.61;39.54;24.88;10.38;22.35;32.73;17.41;48.98;
35 (s);9.44;4.20;38.63;165.18;270.68;2335.62;18.61;39.54;24.88;10.39;22.36;32.73;17.41;48.90;
36 (s);9.44;4.20;38.61;163.02;223.68;2335.77;18.61;39.54;24.87;10.38;22.36;32.73;17.41;48.89;
37 (s);9.44;4.20;38.62;163.83;281.86;2335.67;18.61;39.55;24.88;10.37;22.36;32.73;17.41;49.01;
38 (s);9.44;4.20;38.60;164.60;225.85;2335.86;18.61;39.56;24.87;10.37;22.36;32.73;17.41;48.84;
39 (s);9.44;4.20;38.72;164.66;252.92;2335.69;18.61;39.56;24.87;10.37;22.36;32.73;17.41;49.03;
40 (s);9.45;4.20;38.62;163.17;334.13;2335.59;18.61;39.57;24.88;10.37;22.36;32.73;17.41;48.82;
41 (s);9.45;4.20;38.73;164.32;367.65;2335.66;18.61;39.57;24.89;10.37;22.36;32.73;17.41;48.92;
42 (s);9.45;4.19;38.63;164.52;331.08;2335.73;18.61;39.58;24.89;10.35;22.36;32.73;17.41;48.93;
43 (s);9.45;4.19;38.63;167.69;335.71;2335.63;18.60;39.59;24.88;10.35;22.36;32.74;17.41;48.88;
44 (s);9.45;4.19;38.61;164.19;333.39;2335.63;18.60;39.59;24.88;10.35;22.36;32.74;17.41;48.99;
45 (s);9.45;4.19;38.82;164.34;351.30;2335.72;18.60;39.60;24.89;10.35;22.36;32.74;17.41;48.79;
46 (s);9.45;4.19;38.63;165.54;391.75;2335.60;18.60;39.61;24.90;10.35;22.36;32.74;17.41;48.96;
47 (s);9.45;4.19;38.63;165.00;330.26;2335.63;18.60;39.61;24.90;10.34;22.36;32.74;17.41;48.81;
48 (s);9.45;4.19;38.63;163.90;330.26;2335.74;18.60;39.62;24.90;10.34;22.36;32.74;17.41;48.85;
49 (s);9.45;4.19;38.66;163.67;291.00;2335.74;18.59;39.62;24.90;10.35;22.36;32.74;17.41;48.91;
50 (s);9.45;4.19;38.63;163.43;289.16;2335.60;18.59;39.63;24.90;10.36;22.36;32.74;17.41;48.84;
51 (s);9.45;4.19;38.86;163.68;332.70;2335.70;18.59;39.64;24.90;10.35;22.36;32.75;17.41;48.99;
52 (s);9.45;4.19;38.62;164.08;317.29;2335.71;18.59;39.65;24.89;10.35;22.36;32.75;17.41;48.82;
53 (s);9.45;4.19;38.63;164.44;231.57;2335.66;18.59;39.65;24.89;10.36;22.36;32.75;17.41;49.02;
54 (s);9.45;4.19;38.62;164.43;263.70;2335.73;18.59;39.66;24.88;10.36;22.36;32.75;17.41;48.92;
55 (s);9.45;4.19;38.59;164.32;218.48;2335.73;18.59;39.67;24.87;10.35;22.36;32.75;17.41;49.03;
56 (s);9.45;4.20;38.61;163.56;310.22;2335.74;18.58;39.68;24.87;10.37;22.36;32.74;17.40;48.94;
57 (s);9.45;4.20;38.60;164.32;319.11;2335.69;18.58;39.68;24.88;10.37;22.36;32.74;17.41;48.91;
58 (s);9.45;4.20;38.63;162.96;290.78;2335.72;18.58;39.69;24.89;10.37;22.36;32.75;17.40;48.95;
59 (s);9.45;4.19;38.61;162.84;343.81;2335.67;18.58;39.69;24.89;10.35;22.36;32.75;17.40;48.76;
60 (s);9.45;4.19;38.68;165.81;333.39;2335.68;18.59;39.70;24.89;10.35;22.36;32.75;17.40;49.05;
61 (s);9.45;4.19;38.75;164.15;388.29;2335.66;18.58;39.70;24.89;10.35;22.36;32.75;17.40;48.90;
62 (s);9.45;4.21;38.62;163.42;329.55;2335.75;18.59;39.70;24.88;10.43;22.36;32.75;17.40;49.02;
63 (s);9.45;4.21;38.62;162.33;402.63;2335.63;18.59;39.71;24.88;10.45;22.36;32.75;17.40;49.05;
