Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.23;4.36;68.95;704.04;954.61;3489.46;19.79;46.24;28.56;11.51;26.66;33.23;21.58;87.78;
10 (s);10.24;4.35;68.96;707.81;950.77;3489.55;19.79;46.31;28.55;11.47;26.67;33.24;21.59;87.85;
15 (s);10.24;4.35;68.95;705.31;956.83;3489.33;19.78;46.34;28.55;11.47;26.68;33.25;21.60;87.73;
20 (s);10.25;4.36;68.96;701.61;952.87;3489.36;19.78;46.40;28.55;11.48;26.67;33.26;21.60;87.75;
25 (s);10.25;4.36;68.94;701.69;953.87;3489.44;19.78;46.51;28.56;11.48;26.67;33.27;21.61;87.87;
30 (s);10.26;4.35;68.95;701.62;950.95;3489.54;19.78;46.59;28.55;11.48;26.67;33.28;21.61;88.03;
35 (s);10.26;4.36;68.96;700.07;950.12;3489.51;19.77;46.65;28.55;11.49;26.69;33.29;21.61;87.98;
40 (s);10.26;4.36;68.96;699.95;958.65;3489.50;19.78;46.74;28.55;11.49;26.70;33.30;21.60;87.87;
45 (s);10.27;4.36;68.94;704.64;952.58;3489.63;19.78;46.79;28.55;11.49;26.70;33.31;21.61;88.22;
50 (s);10.27;4.36;68.96;702.38;953.11;3489.83;19.78;46.75;28.56;11.49;26.72;33.31;21.61;87.87;
55 (s);10.27;4.35;68.95;706.29;960.44;3489.76;19.78;46.81;28.56;11.47;26.73;33.32;21.61;88.05;
60 (s);10.28;4.35;68.96;699.34;956.09;3489.35;19.78;46.85;28.56;11.47;26.74;33.33;21.62;88.13;
65 (s);10.28;4.35;68.96;701.71;952.48;3534.84;19.78;46.88;28.56;11.48;26.74;33.34;21.62;88.29;
70 (s);10.29;4.35;68.97;706.07;958.82;3534.52;19.79;47.00;28.56;11.48;26.74;33.35;21.63;88.01;
75 (s);10.29;4.35;68.94;706.12;961.68;3540.96;19.79;47.12;28.57;11.47;26.74;33.35;21.63;88.14;
80 (s);10.29;4.35;68.96;699.88;953.32;3541.07;19.80;47.21;28.55;11.47;26.75;33.36;21.63;88.53;
85 (s);10.29;4.36;68.96;701.58;953.09;3540.48;19.80;47.26;28.56;11.51;26.76;33.38;21.63;88.14;
90 (s);10.30;4.35;69.21;703.46;957.19;3540.59;19.80;47.33;28.58;11.46;26.78;33.39;21.62;88.20;
95 (s);10.30;4.35;69.28;705.99;959.52;3540.83;19.81;47.35;28.58;11.46;26.79;33.40;21.63;88.25;
100 (s);10.30;4.35;69.20;703.82;960.87;3541.12;19.81;47.44;28.57;11.45;26.80;33.41;21.65;88.43;
105 (s);10.31;4.35;69.45;700.69;957.48;3540.60;19.81;47.48;28.58;11.45;26.81;33.42;21.65;87.96;
110 (s);10.31;4.35;69.17;700.65;953.09;3540.75;19.82;47.55;28.58;11.45;26.82;33.44;21.66;88.57;
115 (s);10.31;4.35;69.45;705.67;956.60;3541.07;19.81;47.62;28.58;11.48;26.82;33.45;21.66;88.30;
120 (s);10.32;4.35;69.43;704.62;952.84;3540.91;19.81;47.70;28.58;11.47;26.81;33.45;21.67;88.11;
125 (s);10.32;4.35;69.21;701.65;945.75;3541.21;19.81;47.74;28.58;11.47;26.80;33.46;21.67;88.46;
130 (s);10.32;4.36;69.40;703.22;946.33;3540.37;19.81;47.78;28.58;11.48;26.80;33.47;21.67;88.30;
135 (s);10.32;4.36;69.45;702.41;948.79;3540.64;19.81;47.83;28.57;11.50;26.80;33.48;21.66;88.62;
140 (s);10.32;4.35;69.42;701.97;953.05;3540.91;19.81;47.85;28.58;11.48;26.80;33.48;21.66;88.41;
