Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.88;4.07;51.96;262.24;304.78;2636.22;17.96;56.91;25.53;9.48;23.23;32.77;17.57;60.90;
10 (s);9.88;4.08;51.97;259.33;285.53;2635.94;17.97;56.89;25.52;9.49;23.24;32.77;17.58;61.00;
15 (s);9.88;4.08;51.96;262.66;268.65;2636.29;17.97;56.88;25.52;9.50;23.25;32.77;17.58;61.04;
20 (s);9.88;4.08;51.93;260.60;291.11;2636.19;17.98;56.88;25.48;9.52;23.26;32.77;17.58;60.99;
25 (s);9.88;4.08;51.96;262.99;316.07;2636.16;17.98;56.86;25.48;9.53;23.27;32.77;17.59;61.04;
30 (s);9.88;4.08;51.95;262.83;293.74;2636.10;17.99;56.85;25.50;9.52;23.28;32.77;17.59;60.99;
35 (s);9.88;4.08;51.95;263.73;286.71;2636.17;18.01;56.84;25.49;9.53;23.28;32.78;17.59;61.01;
40 (s);9.88;4.08;52.19;264.50;302.79;2636.13;18.03;56.81;25.50;9.54;23.28;32.78;17.60;61.10;
45 (s);9.88;4.08;52.94;264.17;351.85;2636.11;18.04;56.80;25.48;9.56;23.28;32.77;17.61;61.12;
50 (s);9.88;4.09;52.94;264.14;275.66;2636.07;18.05;56.79;25.51;9.57;23.27;32.77;17.62;61.08;
55 (s);9.88;4.09;52.94;261.56;415.41;2635.86;18.05;56.79;25.49;9.57;23.25;32.77;17.62;60.99;
60 (s);9.88;4.09;52.94;263.89;319.55;2636.08;18.05;56.79;25.47;9.58;23.24;32.77;17.61;61.04;
65 (s);9.88;4.09;52.93;263.69;318.49;2636.12;18.05;56.78;25.46;9.59;23.23;32.77;17.60;61.05;
70 (s);9.88;4.09;52.94;260.55;277.59;2636.27;18.05;56.75;25.48;9.60;23.23;32.76;17.60;60.97;
75 (s);9.88;4.09;52.93;266.64;340.10;2636.12;18.05;56.73;25.47;9.58;23.23;32.77;17.60;61.02;
80 (s);9.87;4.09;52.94;262.51;265.66;2635.95;18.06;56.72;25.47;9.60;23.22;32.77;17.60;60.92;
85 (s);9.87;4.09;52.92;263.23;298.79;2636.06;18.06;56.72;25.47;9.62;23.22;32.77;17.60;60.99;
90 (s);9.87;4.09;52.92;263.30;393.12;2636.08;18.07;56.70;25.46;9.62;23.23;32.77;17.59;60.97;
95 (s);9.87;4.09;52.94;261.91;292.13;2636.20;18.08;56.69;25.47;9.63;23.24;32.77;17.59;61.03;
100 (s);9.87;4.09;52.93;261.66;302.17;2636.05;18.08;56.68;25.46;9.62;23.24;32.77;17.59;60.99;
105 (s);9.87;4.09;52.93;262.19;279.13;2636.15;18.09;56.68;25.45;9.62;23.26;32.77;17.59;61.04;
110 (s);9.87;4.09;52.93;264.34;314.96;2636.03;18.10;56.67;25.46;9.63;23.28;32.77;17.59;61.09;
115 (s);9.87;4.09;52.95;261.99;284.21;2636.10;18.11;56.66;25.45;9.63;23.29;32.77;17.60;61.04;
120 (s);9.87;4.10;52.93;261.77;368.67;2636.11;18.12;56.65;25.46;9.66;23.30;32.77;17.61;61.07;
125 (s);9.87;4.10;52.93;262.40;301.83;2636.08;18.13;56.64;25.45;9.65;23.30;32.77;17.62;61.03;
130 (s);9.87;4.10;52.94;262.22;348.78;2635.93;18.15;56.62;25.45;9.67;23.30;32.78;17.62;60.99;
135 (s);9.87;4.10;52.93;264.51;334.81;2636.09;18.16;56.61;25.45;9.67;23.29;32.78;17.62;61.09;
140 (s);9.87;4.10;52.95;265.16;296.82;2636.10;18.17;56.60;25.44;9.71;23.29;32.78;17.63;61.07;
145 (s);9.87;4.10;53.18;263.97;301.89;2636.16;18.18;56.59;25.43;9.70;23.30;32.78;17.63;61.07;
150 (s);9.87;4.10;53.17;262.40;336.21;2635.98;18.19;56.60;25.44;9.68;23.31;32.78;17.63;61.02;
155 (s);9.87;4.11;52.94;262.96;276.04;2636.05;18.20;56.60;25.42;9.71;23.30;32.78;17.64;60.96;
160 (s);9.87;4.11;52.93;263.59;342.31;2636.02;18.21;56.58;25.42;9.72;23.30;32.79;17.64;61.04;
165 (s);9.87;4.11;52.92;264.60;349.26;2636.09;18.21;56.57;25.42;9.75;23.30;32.79;17.63;61.02;
170 (s);9.86;4.11;52.93;263.12;275.54;2636.13;18.21;56.56;25.43;9.71;23.29;32.80;17.63;61.09;
175 (s);9.87;4.11;53.17;262.13;344.91;2636.04;18.20;56.55;25.42;9.72;23.29;32.80;17.64;61.09;
180 (s);9.87;4.11;53.47;262.59;315.38;2636.17;18.19;56.53;25.42;9.72;23.30;32.80;17.63;61.01;
