Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.24;3.92;60.44;262.93;325.33;3726.29;16.50;59.68;26.08;8.33;22.87;34.14;16.18;84.86;
10 (s);10.25;3.92;60.43;264.34;398.10;3726.34;16.50;59.69;26.07;8.32;22.86;34.15;16.18;84.77;
15 (s);10.25;3.92;60.43;261.91;340.32;3726.35;16.51;59.70;26.08;8.34;22.86;34.16;16.19;84.72;
20 (s);10.25;3.92;60.43;265.21;310.05;3726.48;16.52;59.70;26.08;8.33;22.85;34.16;16.19;84.71;
25 (s);10.25;3.92;60.45;260.67;371.12;3726.25;16.53;59.69;26.08;8.31;22.84;34.17;16.19;84.79;
30 (s);10.25;3.92;60.43;262.09;374.33;3726.22;16.54;59.70;26.09;8.35;22.82;34.17;16.20;84.88;
35 (s);10.25;3.92;60.43;264.90;337.78;3726.54;16.55;59.69;26.09;8.35;22.82;34.17;16.19;85.03;
40 (s);10.25;3.92;60.43;262.44;299.93;3726.38;16.55;59.70;26.09;8.33;22.81;34.18;16.19;84.80;
45 (s);10.25;3.92;60.67;263.06;287.88;3726.62;16.55;59.70;26.07;8.35;22.80;34.18;16.19;84.82;
50 (s);10.25;3.92;60.47;262.26;337.65;3726.59;16.55;59.70;26.07;8.35;22.82;34.17;16.18;84.98;
55 (s);10.25;3.92;60.42;264.16;297.18;3726.01;16.55;59.72;26.08;8.35;22.83;34.17;16.18;84.78;
60 (s);10.25;3.92;60.44;262.15;276.83;3726.65;16.56;59.73;26.09;8.34;22.82;34.17;16.18;85.02;
65 (s);10.25;3.92;60.44;263.23;330.38;3726.71;16.56;59.74;26.08;8.34;22.81;34.17;16.18;84.99;
70 (s);10.25;3.92;60.43;260.04;383.06;3725.89;16.56;59.75;26.09;8.32;22.81;34.18;16.18;84.77;
75 (s);10.25;3.92;60.42;263.80;409.23;3726.77;16.55;59.75;26.10;8.34;22.81;34.17;16.19;84.91;
80 (s);10.25;3.92;60.42;262.97;361.48;3726.00;16.55;59.75;26.11;8.33;22.82;34.18;16.19;84.92;
85 (s);10.25;3.92;60.45;262.25;291.44;3726.62;16.55;59.74;26.12;8.38;22.83;34.17;16.18;84.96;
90 (s);10.25;3.92;60.67;263.81;286.56;3726.03;16.55;59.74;26.12;8.35;22.84;34.18;16.18;84.92;
95 (s);10.25;3.92;60.67;263.57;354.01;3726.18;16.55;59.73;26.10;8.32;22.85;34.18;16.18;84.80;
100 (s);10.26;3.92;60.66;262.84;286.68;3727.00;16.55;59.74;26.11;8.34;22.85;34.18;16.19;84.84;
105 (s);10.25;3.92;60.67;262.75;347.94;3726.09;16.55;59.75;26.10;8.32;22.86;34.19;16.19;84.86;
110 (s);10.25;3.92;60.69;264.76;306.94;3726.17;16.55;59.75;26.11;8.33;22.86;34.18;16.20;84.84;
115 (s);10.26;3.92;60.43;264.97;329.72;3726.55;16.56;59.75;26.11;8.35;22.85;34.18;16.21;84.90;
120 (s);10.25;3.92;60.69;263.18;275.16;3726.33;16.57;59.77;26.11;8.35;22.85;34.19;16.21;84.68;
125 (s);10.26;3.92;60.67;263.59;268.40;3726.60;16.56;59.76;26.11;8.34;22.84;34.19;16.20;84.86;
130 (s);10.26;3.92;60.67;263.81;332.02;3726.54;16.56;59.76;26.11;8.33;22.85;34.20;16.21;84.75;
135 (s);10.26;3.92;60.45;265.24;337.55;3726.51;16.56;59.75;26.12;8.35;22.85;34.20;16.20;84.97;
140 (s);10.26;3.92;60.43;265.50;279.94;3726.52;16.56;59.75;26.12;8.34;22.84;34.20;16.19;84.83;
145 (s);10.26;3.92;60.68;262.98;301.36;3726.32;16.56;59.75;26.10;8.34;22.84;34.20;16.19;84.80;
150 (s);10.26;3.92;60.66;264.43;329.45;3726.26;16.55;59.75;26.11;8.35;22.85;34.20;16.20;84.92;
155 (s);10.25;3.92;60.42;264.68;308.99;3726.20;16.55;59.77;26.11;8.34;22.86;34.20;16.20;85.02;
161 (s);10.26;3.92;60.68;261.90;327.26;3726.27;16.54;59.77;26.12;8.37;22.87;34.20;16.21;84.99;
166 (s);10.26;3.92;60.68;264.94;342.71;3726.07;16.53;59.77;26.13;8.37;22.88;34.20;16.21;85.02;
171 (s);10.26;3.92;60.69;263.71;320.11;3726.02;16.53;59.78;26.14;8.35;22.89;34.20;16.21;84.78;
176 (s);10.27;3.92;60.67;262.25;317.31;3726.07;16.52;59.78;26.13;8.34;22.89;34.20;16.22;84.76;
181 (s);10.27;3.92;60.67;262.80;314.92;3726.79;16.52;59.79;26.14;8.36;22.90;34.21;16.22;84.49;
186 (s);10.27;3.92;60.43;262.97;316.58;3726.46;16.52;59.78;26.14;8.36;22.92;34.22;16.23;84.74;
191 (s);10.27;3.92;60.45;259.67;274.64;3726.19;16.53;59.78;26.13;8.37;22.93;34.22;16.23;84.70;
196 (s);10.27;3.92;60.68;262.18;337.21;3726.81;16.54;59.79;26.13;8.37;22.94;34.23;16.23;84.80;
201 (s);10.27;3.92;60.67;262.20;371.97;3726.26;16.55;59.81;26.13;8.36;22.94;34.23;16.24;84.71;
206 (s);10.27;3.92;60.68;261.87;287.00;3726.58;16.56;59.82;26.14;8.35;22.95;34.23;16.24;84.84;
211 (s);10.28;3.92;60.69;262.11;325.94;3726.65;16.57;59.82;26.14;8.37;22.95;34.24;16.24;84.70;
