Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.59;4.41;68.96;253.64;403.59;3740.59;19.46;61.43;28.96;11.89;26.41;38.80;20.93;94.26;
10 (s);11.59;4.42;68.94;253.75;404.06;3740.59;19.47;61.45;28.97;11.92;26.39;38.81;20.93;94.23;
15 (s);11.60;4.41;68.96;255.42;404.75;3741.03;19.47;61.47;29.00;11.90;26.36;38.82;20.92;94.15;
20 (s);11.60;4.42;68.96;252.56;403.32;3740.94;19.48;61.50;29.01;11.90;26.31;38.83;20.92;94.18;
25 (s);11.60;4.41;68.96;253.71;405.00;3740.74;19.48;61.51;29.04;11.89;26.28;38.84;20.91;94.30;
30 (s);11.60;4.41;68.96;252.56;404.89;3740.48;19.48;61.52;29.04;11.88;26.27;38.85;20.89;94.17;
35 (s);11.60;4.41;68.95;257.16;403.04;3740.22;19.48;61.55;29.06;11.89;26.27;38.85;20.87;94.19;
40 (s);11.60;4.42;68.95;252.23;405.27;3740.73;19.47;61.58;29.08;11.91;26.27;38.86;20.86;94.19;
45 (s);11.61;4.42;68.96;254.66;403.58;3740.79;19.47;61.60;29.10;11.90;26.26;38.86;20.86;94.13;
50 (s);11.61;4.41;68.95;249.75;402.98;3740.48;19.47;61.62;29.13;11.87;26.25;38.87;20.84;94.38;
55 (s);11.61;4.41;68.95;252.87;403.57;3740.71;19.47;61.62;29.14;11.87;26.24;38.87;20.84;94.16;
60 (s);11.61;4.42;68.95;253.52;404.75;3740.59;19.47;61.64;29.17;11.90;26.19;38.88;20.83;94.21;
65 (s);11.61;4.41;68.96;253.96;403.86;3740.83;19.47;61.65;29.18;11.89;26.16;38.89;20.82;94.19;
70 (s);11.61;4.41;68.96;253.88;401.51;3740.65;19.48;61.67;29.19;11.88;26.14;38.89;20.81;94.06;
75 (s);11.61;4.41;68.96;252.49;401.95;3740.58;19.48;61.70;29.21;11.89;26.13;38.90;20.79;94.09;
80 (s);11.61;4.41;69.20;254.27;407.00;3741.28;19.47;61.73;29.22;11.85;26.16;38.90;20.77;94.21;
85 (s);11.61;4.41;68.96;252.36;401.32;3740.80;19.47;61.75;29.24;11.86;26.19;38.90;20.78;94.36;
90 (s);11.61;4.41;68.96;255.71;404.87;3741.03;19.46;61.76;29.25;11.86;26.22;38.90;20.77;94.17;
95 (s);11.61;4.41;68.96;254.96;405.12;3740.90;19.46;61.77;29.28;11.86;26.24;38.89;20.79;94.44;
100 (s);11.61;4.41;68.96;254.93;403.24;3740.92;19.46;61.77;29.29;11.85;26.23;38.90;20.80;94.46;
105 (s);11.61;4.41;68.98;254.84;402.01;3740.95;19.46;61.78;29.30;11.88;26.22;38.90;20.80;94.27;
110 (s);11.62;4.41;68.96;253.82;404.57;3740.41;19.45;61.79;29.31;11.88;26.19;38.90;20.80;94.44;
115 (s);11.62;4.41;68.94;254.43;403.98;3741.24;19.45;61.79;29.33;11.85;26.18;38.91;20.80;94.27;
120 (s);11.62;4.41;68.96;252.73;404.48;3740.81;19.46;61.81;29.34;11.84;26.18;38.91;20.80;94.14;
125 (s);11.62;4.41;68.94;256.16;405.98;3740.69;19.46;61.80;29.36;11.84;26.19;38.92;20.80;94.04;
130 (s);11.62;4.41;68.96;251.32;401.38;3741.11;19.46;61.83;29.38;11.85;26.20;38.92;20.80;94.21;
135 (s);11.62;4.41;68.94;250.29;403.89;3741.25;19.46;61.84;29.38;11.85;26.19;38.92;20.80;94.16;
140 (s);11.62;4.41;68.97;253.40;402.41;3741.05;19.47;61.86;29.39;11.85;26.19;38.92;20.80;94.18;
145 (s);11.62;4.41;68.97;252.85;401.98;3741.12;19.47;61.86;29.41;11.85;26.20;38.92;20.80;94.16;
150 (s);11.62;4.41;68.97;256.69;402.80;3741.08;19.47;61.88;29.42;11.86;26.23;38.93;20.80;94.29;
155 (s);11.62;4.41;68.96;257.27;404.09;3741.17;19.47;61.90;29.44;11.84;26.25;38.93;20.80;94.30;
160 (s);11.62;4.41;68.97;252.62;403.48;3740.66;19.48;61.91;29.45;11.86;26.25;38.93;20.81;94.24;
165 (s);11.63;4.41;68.96;254.29;403.30;3740.36;19.48;61.93;29.45;11.88;26.24;38.93;20.81;94.25;
170 (s);11.63;4.41;68.95;253.49;401.84;3740.92;19.48;61.96;29.46;11.86;26.23;38.93;20.82;94.31;
175 (s);11.63;4.41;68.96;256.18;404.94;3740.31;19.48;61.98;29.47;11.88;26.21;38.93;20.82;94.22;
180 (s);11.63;4.41;69.21;253.48;406.30;3740.47;19.48;61.98;29.48;11.86;26.18;38.94;20.82;94.14;
185 (s);11.63;4.41;68.96;252.88;403.57;3741.21;19.49;61.99;29.50;11.86;26.18;38.94;20.81;94.09;
190 (s);11.63;4.41;68.97;254.21;403.42;3741.14;19.49;62.02;29.50;11.87;26.19;38.94;20.80;94.33;
195 (s);11.63;4.41;68.98;254.14;402.94;3741.27;19.49;62.04;29.51;11.84;26.18;38.95;20.79;94.23;
