Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.76;4.37;57.75;454.20;398.50;2635.61;19.91;54.41;25.37;11.58;25.60;31.18;21.01;61.13;
10 (s);9.76;4.37;57.75;456.77;398.80;2635.45;19.91;54.42;25.39;11.58;25.62;31.21;21.01;61.29;
15 (s);9.76;4.37;57.76;454.70;398.75;2635.47;19.92;54.43;25.40;11.59;25.64;31.23;21.02;61.25;
20 (s);9.77;4.37;57.77;457.28;402.30;2635.38;19.92;54.43;25.40;11.60;25.64;31.26;21.03;61.18;
25 (s);9.77;4.37;57.87;453.96;397.53;2635.44;19.92;54.44;25.41;11.62;25.63;31.29;21.04;61.40;
30 (s);9.77;4.38;58.01;454.98;398.12;2635.47;19.93;54.43;25.42;11.63;25.63;31.31;21.04;61.30;
35 (s);9.78;4.38;57.78;453.81;398.92;2635.60;19.93;54.43;25.43;11.64;25.65;31.33;21.04;61.20;
40 (s);9.78;4.38;57.77;452.70;399.97;2635.60;19.93;54.44;25.44;11.67;25.68;31.35;21.04;61.37;
45 (s);9.79;4.38;58.01;450.22;395.66;2635.50;19.93;54.45;25.45;11.67;25.68;31.37;21.04;61.35;
50 (s);9.79;4.38;57.99;453.63;400.03;2635.57;19.94;54.44;25.45;11.65;25.69;31.39;21.05;61.27;
55 (s);9.79;4.38;58.01;454.33;401.42;2635.63;19.94;54.43;25.46;11.68;25.68;31.41;21.07;61.30;
60 (s);9.80;4.38;58.01;455.03;400.12;2635.42;19.95;54.43;25.48;11.69;25.67;31.43;21.07;61.32;
65 (s);9.80;4.39;58.01;452.28;398.48;2635.45;19.96;54.42;25.49;11.69;25.67;31.45;21.07;61.30;
70 (s);9.80;4.39;57.78;455.50;400.87;2635.46;19.96;54.43;25.50;11.70;25.68;31.46;21.08;61.48;
75 (s);9.80;4.39;58.00;458.44;402.50;2635.46;19.96;54.43;25.50;11.71;25.69;31.47;21.08;61.30;
80 (s);9.80;4.39;58.02;450.13;399.14;2635.68;19.97;54.44;25.51;11.74;25.70;31.48;21.09;61.50;
85 (s);9.81;4.39;57.77;453.77;400.71;2635.67;19.98;54.45;25.53;11.75;25.70;31.49;21.08;61.30;
90 (s);9.81;4.39;57.77;454.06;399.65;2635.58;19.98;54.45;25.53;11.75;25.69;31.51;21.08;61.20;
95 (s);9.81;4.40;58.00;452.14;402.49;2635.49;19.98;54.44;25.55;11.78;25.70;31.52;21.08;61.39;
100 (s);9.81;4.40;58.01;453.85;401.86;2635.62;19.98;54.45;25.56;11.77;25.72;31.53;21.08;61.44;
105 (s);9.81;4.40;58.02;454.61;397.77;2635.46;19.99;54.45;25.56;11.80;25.73;31.54;21.09;61.45;
110 (s);9.82;4.40;58.00;453.73;397.16;2635.51;19.99;54.45;25.57;11.80;25.72;31.56;21.10;61.30;
115 (s);9.82;4.40;58.03;455.58;397.26;2635.61;20.00;54.46;25.58;11.80;25.71;31.57;21.10;61.30;
120 (s);9.82;4.40;57.99;455.19;399.50;2635.54;20.01;54.47;25.60;11.82;25.69;31.59;21.11;61.36;
125 (s);9.82;4.40;58.00;452.79;398.16;2635.73;20.02;54.47;25.61;11.82;25.69;31.59;21.10;61.45;
130 (s);9.82;4.40;58.00;451.79;399.93;2635.66;20.02;54.48;25.61;11.81;25.68;31.59;21.09;61.47;
135 (s);9.82;4.40;57.77;454.32;399.08;2635.63;20.02;54.49;25.62;11.82;25.68;31.59;21.09;61.51;
140 (s);9.82;4.40;57.76;452.47;398.56;2635.58;20.03;54.49;25.63;11.82;25.68;31.59;21.09;61.39;
145 (s);9.82;4.41;57.99;453.19;398.84;2635.79;20.03;54.49;25.65;11.84;25.68;31.59;21.09;61.32;
150 (s);9.82;4.41;58.01;455.05;400.15;2635.45;20.03;54.48;25.65;11.84;25.68;31.60;21.08;61.57;
155 (s);9.82;4.41;57.84;454.45;399.31;2635.64;20.04;54.48;25.67;11.86;25.69;31.60;21.08;61.50;
160 (s);9.82;4.41;57.77;451.42;395.75;2635.52;20.04;54.49;25.66;11.88;25.71;31.61;21.08;61.35;
165 (s);9.82;4.41;58.00;455.72;398.49;2635.58;20.04;54.50;25.67;11.87;25.71;31.62;21.08;61.52;
170 (s);9.83;4.41;58.00;452.97;399.25;2635.65;20.05;54.50;25.69;11.88;25.73;31.63;21.09;61.50;
175 (s);9.83;4.41;58.02;455.58;400.57;2635.40;20.05;54.50;25.69;11.87;25.75;31.64;21.09;61.36;
180 (s);9.83;4.42;57.77;453.28;400.17;2635.64;20.06;54.51;25.70;11.90;25.76;31.65;21.11;61.59;
