Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.98;3.83;59.69;253.84;359.92;3724.96;15.82;57.94;25.72;7.68;21.84;33.28;15.34;83.62;
10 (s);9.98;3.83;59.67;252.80;369.30;3725.27;15.82;57.95;25.73;7.69;21.85;33.28;15.35;83.17;
15 (s);9.98;3.83;59.68;254.51;282.43;3725.31;15.83;57.96;25.73;7.70;21.85;33.29;15.34;83.13;
20 (s);9.98;3.84;59.70;256.31;276.78;3724.64;15.83;57.96;25.73;7.71;21.84;33.29;15.34;83.42;
25 (s);9.98;3.84;59.69;254.99;425.35;3724.71;15.83;57.97;25.72;7.71;21.84;33.30;15.35;83.01;
30 (s);9.98;3.84;59.70;254.90;315.14;3725.33;15.84;57.98;25.72;7.71;21.84;33.31;15.36;83.64;
35 (s);9.98;3.83;59.70;256.42;393.04;3724.98;15.84;57.99;25.71;7.69;21.85;33.31;15.36;83.58;
40 (s);9.98;3.84;59.94;256.77;314.10;3725.50;15.84;57.99;25.72;7.70;21.86;33.31;15.37;83.56;
45 (s);9.99;3.83;59.94;254.11;308.16;3724.77;15.85;58.00;25.73;7.69;21.87;33.31;15.37;83.77;
50 (s);9.99;3.84;59.95;255.15;277.32;3724.98;15.85;58.00;25.74;7.73;21.87;33.32;15.37;83.21;
55 (s);9.99;3.84;59.86;253.84;311.37;3725.24;15.85;58.01;25.71;7.73;21.88;33.32;15.37;83.17;
60 (s);9.99;3.84;59.95;254.98;290.42;3725.26;15.85;58.02;25.72;7.70;21.88;33.33;15.37;83.72;
65 (s);9.99;3.84;59.94;256.56;264.17;3725.37;15.85;58.03;25.72;7.70;21.89;33.33;15.37;83.57;
70 (s);9.99;3.84;59.83;253.66;326.15;3725.26;15.84;58.04;25.72;7.73;21.90;33.34;15.37;83.79;
75 (s);9.99;3.84;59.94;255.14;275.94;3725.15;15.84;58.04;25.72;7.74;21.91;33.34;15.38;83.57;
80 (s);9.99;3.84;59.89;254.72;381.26;3725.06;15.84;58.04;25.70;7.75;21.93;33.35;15.39;83.76;
85 (s);10.00;3.84;59.73;253.20;265.52;3725.64;15.85;58.05;25.72;7.75;21.94;33.36;15.40;83.63;
90 (s);10.00;3.84;59.96;253.29;294.97;3724.85;15.86;58.07;25.73;7.76;21.95;33.37;15.40;83.71;
95 (s);10.00;3.84;59.87;254.85;438.49;3725.05;15.87;58.08;25.71;7.76;21.94;33.37;15.41;83.71;
100 (s);10.00;3.84;59.94;254.09;344.23;3725.53;15.88;58.09;25.71;7.75;21.94;33.38;15.42;83.86;
105 (s);10.00;3.84;59.88;256.40;336.46;3725.13;15.88;58.08;25.71;7.76;21.95;33.39;15.44;83.81;
110 (s);10.00;3.84;59.74;254.71;352.40;3725.45;15.88;58.07;25.71;7.75;21.96;33.40;15.44;83.77;
115 (s);10.00;3.85;59.70;255.91;368.99;3725.16;15.87;58.05;25.72;7.78;21.96;33.40;15.45;83.82;
120 (s);10.00;3.84;59.72;255.20;303.61;3724.98;15.87;58.06;25.73;7.75;21.96;33.41;15.45;83.72;
125 (s);10.01;3.85;59.76;254.64;316.70;3725.52;15.87;58.07;25.71;7.78;21.95;33.41;15.46;83.98;
130 (s);10.01;3.84;59.74;255.49;287.83;3724.96;15.87;58.09;25.71;7.76;21.94;33.41;15.46;83.68;
