Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);7.33;3.34;40.32;595.44;397.22;3441.16;12.98;28.89;18.74;3.68;16.81;21.98;12.56;65.43;
20 (s);7.33;3.33;40.32;598.16;394.37;3441.08;12.97;28.94;18.75;3.64;16.82;21.97;12.56;66.11;
30 (s);7.34;3.33;40.32;595.28;393.54;3441.57;12.95;29.01;18.72;3.61;16.86;21.96;12.54;66.46;
40 (s);7.34;3.33;40.32;590.83;391.70;3441.00;12.93;29.07;18.68;3.57;16.85;21.97;12.55;65.84;
50 (s);7.34;3.32;40.33;664.38;392.68;3441.73;12.91;29.13;18.65;3.52;16.86;21.93;12.55;66.58;
60 (s);7.31;3.31;40.33;795.00;389.33;3441.61;12.90;29.17;18.63;3.45;16.86;21.68;12.54;67.15;
70 (s);7.28;3.31;40.33;794.19;389.72;3441.60;12.89;29.17;18.57;3.40;16.86;21.40;12.53;67.08;
80 (s);7.28;3.30;40.32;712.75;389.88;3719.13;12.87;29.20;18.55;3.31;16.88;21.25;12.52;69.97;
90 (s);7.28;3.29;40.33;710.94;436.54;3719.15;12.84;29.26;18.52;3.27;16.87;21.18;12.50;70.38;
100 (s);7.28;3.28;40.32;715.75;392.68;3718.72;12.81;29.32;18.49;3.21;16.85;21.13;12.48;69.77;
110 (s);7.28;3.27;40.82;710.06;390.01;3718.85;12.79;29.39;18.49;3.13;16.87;21.09;12.47;69.73;
120 (s);7.28;3.27;41.80;712.25;389.30;3719.07;12.76;29.48;18.43;3.06;16.85;21.06;12.45;69.87;
130 (s);7.28;3.26;42.52;698.29;388.09;3719.16;12.74;29.56;18.42;3.03;16.86;21.03;12.45;69.03;
140 (s);7.28;3.26;43.04;695.83;388.85;3723.94;12.73;29.63;18.40;3.00;16.86;21.01;12.45;70.51;
150 (s);7.28;3.25;43.51;692.76;386.60;3722.71;12.72;29.71;18.37;2.95;16.83;20.99;12.45;70.05;
160 (s);7.28;3.25;44.23;696.35;389.27;3739.63;12.70;29.81;18.34;2.90;16.78;20.96;12.42;70.65;
170 (s);7.28;3.24;45.22;697.02;389.42;3735.91;12.69;29.89;18.33;2.86;16.82;20.93;12.41;70.71;
180 (s);7.28;3.24;46.89;696.13;388.68;3730.14;12.67;29.98;18.33;2.82;16.83;20.93;12.41;71.00;
191 (s);7.28;3.24;47.62;699.17;390.42;3728.73;12.66;30.08;18.30;2.82;16.92;20.93;12.42;70.92;
201 (s);7.29;3.25;47.64;693.63;386.97;3730.18;12.66;30.17;18.29;2.88;17.00;20.96;12.46;71.08;
211 (s);7.30;3.24;47.63;694.90;391.02;3720.58;12.66;30.27;18.26;2.81;16.95;20.98;12.51;71.41;
221 (s);7.30;3.23;47.64;698.88;393.07;3631.39;12.64;30.37;18.24;2.78;16.93;20.98;12.49;71.56;
231 (s);7.30;3.23;47.62;698.64;389.74;3674.06;12.65;30.48;18.21;2.76;16.93;20.97;12.49;71.74;
241 (s);7.30;3.23;47.62;695.21;388.40;3675.54;12.64;30.58;18.17;2.78;16.91;20.96;12.47;71.91;
251 (s);7.30;3.23;47.62;696.35;387.92;3670.11;12.63;30.66;18.13;2.74;16.92;20.96;12.44;71.81;
261 (s);7.30;3.23;47.62;697.91;425.55;3682.66;12.61;30.76;18.08;2.70;16.88;20.95;12.43;71.95;
271 (s);7.30;3.23;48.11;698.45;392.30;3673.00;12.59;30.87;18.06;2.71;16.84;20.93;12.41;72.16;
281 (s);7.30;3.22;48.60;694.07;388.44;3673.59;12.57;30.95;18.05;2.65;16.89;20.92;12.39;72.08;
291 (s);7.31;3.22;48.76;698.17;389.66;3673.19;12.55;31.04;18.02;2.62;16.95;20.94;12.39;72.20;
301 (s);7.31;3.22;49.31;698.05;392.52;3671.16;12.54;31.13;17.99;2.62;16.93;20.95;12.41;72.22;
311 (s);7.31;3.22;49.32;702.74;391.70;3674.98;12.52;31.23;17.97;2.61;16.89;20.95;12.40;72.63;
321 (s);7.31;3.21;49.32;696.31;389.29;3671.14;12.51;31.35;17.94;2.59;16.88;20.94;12.38;72.57;
331 (s);7.31;3.21;49.31;694.68;390.18;3671.02;12.50;31.44;17.93;2.57;16.87;20.93;12.37;72.53;
341 (s);7.31;3.21;49.32;700.76;392.47;3690.09;12.48;31.52;17.88;2.57;16.83;20.92;12.36;72.59;
351 (s);7.31;3.21;49.32;697.48;390.36;3684.28;12.47;31.62;17.84;2.53;16.86;20.90;12.34;72.80;
361 (s);7.31;3.20;49.99;695.61;389.15;3674.30;12.46;31.71;17.83;2.52;16.90;20.91;12.34;73.32;
371 (s);7.32;3.21;50.04;696.04;388.52;3670.69;12.45;31.81;17.83;2.52;16.93;20.93;12.35;72.93;
381 (s);7.32;3.20;50.05;696.91;391.09;3671.07;12.44;31.91;17.77;2.49;16.98;20.94;12.36;73.23;
391 (s);7.33;3.21;50.24;695.68;391.39;3671.50;12.43;32.01;17.76;2.56;17.07;20.97;12.38;73.35;
401 (s);7.33;3.21;50.27;694.76;389.78;3675.52;12.42;32.13;17.71;2.55;17.10;21.01;12.42;73.33;
411 (s);7.34;3.21;50.28;698.20;392.48;3676.77;12.42;32.22;17.70;2.56;17.10;21.04;12.44;73.65;
421 (s);7.34;3.21;50.30;701.20;389.54;3677.41;12.42;32.30;17.69;2.56;17.10;21.05;12.45;73.14;
431 (s);7.35;3.21;50.53;700.67;391.07;3677.15;12.42;32.42;17.65;2.57;17.03;21.05;12.44;73.40;
442 (s);7.35;3.21;50.53;698.33;388.79;3677.71;12.42;32.51;17.65;2.57;17.03;21.04;12.43;73.12;
452 (s);7.35;3.21;50.29;699.62;390.11;3680.17;12.41;32.61;17.62;2.55;17.08;21.04;12.42;73.32;
462 (s);7.35;3.21;50.54;700.70;394.11;3679.05;12.40;32.74;17.59;2.55;17.10;21.07;12.44;73.35;
472 (s);7.36;3.21;50.30;701.27;392.76;3680.96;12.40;32.84;17.58;2.54;17.07;21.08;12.45;73.41;
482 (s);7.36;3.21;50.54;693.29;386.41;3682.58;12.38;32.93;17.56;2.56;17.08;21.08;12.43;73.09;
492 (s);7.36;3.21;50.29;695.63;388.88;3681.38;12.37;33.03;17.52;2.53;17.08;21.08;12.43;72.47;
502 (s);7.36;3.21;50.52;697.08;387.41;3680.19;12.35;33.15;17.50;2.55;17.07;21.09;12.42;72.86;
512 (s);7.36;3.21;50.30;700.86;391.72;3677.48;12.35;33.28;17.47;2.53;17.04;21.09;12.43;73.07;
522 (s);7.37;3.21;50.30;697.94;387.86;3677.74;12.36;33.35;17.47;2.52;17.04;21.07;12.42;73.00;
532 (s);7.37;3.20;50.54;697.53;387.43;3679.17;12.36;33.49;17.45;2.52;17.02;21.07;12.40;72.99;
542 (s);7.36;3.21;50.54;695.56;390.13;3680.85;12.35;33.61;17.43;2.55;16.98;21.06;12.38;72.92;
552 (s);7.37;3.21;50.53;692.68;386.99;3683.94;12.34;33.72;17.43;2.54;16.98;21.05;12.36;72.86;
562 (s);7.37;3.21;50.54;693.44;388.51;3683.06;12.33;33.82;17.42;2.53;16.96;21.04;12.35;72.96;
