Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.80;3.84;62.38;261.44;298.09;3478.18;16.28;44.96;28.08;7.73;21.76;32.75;15.77;81.36;
2 (s);9.80;3.84;62.38;261.03;280.79;3478.46;16.28;44.97;28.07;7.72;21.76;32.74;15.78;81.37;
3 (s);9.80;3.84;62.38;263.10;320.12;3478.35;16.28;44.98;28.06;7.73;21.76;32.74;15.77;81.36;
4 (s);9.80;3.84;62.39;264.75;279.77;3478.45;16.28;44.98;28.05;7.73;21.76;32.73;15.77;81.33;
5 (s);9.80;3.84;62.39;261.91;363.36;3478.13;16.28;44.98;28.05;7.73;21.76;32.73;15.77;81.35;
6 (s);9.80;3.84;62.38;260.50;339.94;3478.34;16.28;44.98;28.04;7.73;21.76;32.73;15.78;81.14;
7 (s);9.80;3.84;62.39;263.86;435.87;3478.25;16.28;44.98;28.03;7.74;21.76;32.72;15.78;81.53;
8 (s);9.80;3.84;62.37;263.40;401.32;3478.23;16.28;44.98;28.02;7.74;21.76;32.72;15.78;81.65;
9 (s);9.80;3.84;62.39;260.93;369.32;3478.08;16.28;44.97;28.01;7.73;21.76;32.71;15.77;81.19;
10 (s);9.80;3.84;62.37;259.99;410.48;3478.24;16.28;44.97;28.00;7.74;21.76;32.71;15.77;81.17;
11 (s);9.79;3.84;62.38;263.36;342.03;3478.27;16.28;44.97;28.00;7.72;21.76;32.70;15.77;81.17;
12 (s);9.79;3.84;62.38;263.13;379.47;3478.16;16.28;44.97;27.99;7.72;21.76;32.70;15.77;81.05;
13 (s);9.79;3.84;62.40;262.61;337.69;3478.03;16.28;44.96;27.97;7.71;21.76;32.70;15.76;80.96;
14 (s);9.79;3.84;62.39;263.22;293.29;3478.42;16.28;44.96;27.96;7.73;21.75;32.70;15.76;80.79;
15 (s);9.79;3.84;62.38;262.64;271.21;3478.16;16.27;44.96;27.94;7.74;21.75;32.69;15.75;81.13;
16 (s);9.79;3.84;62.38;262.61;264.21;3478.17;16.27;44.97;27.93;7.72;21.75;32.69;15.75;80.76;
17 (s);9.79;3.84;62.39;261.18;267.16;3478.14;16.27;44.98;27.92;7.72;21.75;32.69;15.75;81.03;
18 (s);9.79;3.84;62.39;262.09;281.26;3478.35;16.27;44.99;27.91;7.72;21.75;32.68;15.75;81.03;
19 (s);9.79;3.84;62.39;260.47;279.76;3478.21;16.28;45.00;27.91;7.71;21.75;32.68;15.74;81.18;
20 (s);9.79;3.84;62.39;263.63;267.37;3478.44;16.27;45.02;27.90;7.71;21.75;32.68;15.74;81.03;
21 (s);9.79;3.84;62.39;262.90;278.09;3478.56;16.27;45.03;27.89;7.72;21.75;32.67;15.74;81.49;
22 (s);9.78;3.84;62.38;263.03;273.26;3478.10;16.27;45.05;27.88;7.71;21.75;32.67;15.74;81.57;
23 (s);9.79;3.84;62.38;261.89;287.01;3478.20;16.27;45.04;27.87;7.71;21.75;32.67;15.74;81.20;
24 (s);9.79;3.84;62.39;261.78;272.85;3478.54;16.27;45.04;27.87;7.71;21.75;32.67;15.73;81.49;
25 (s);9.78;3.84;62.40;260.91;299.16;3478.39;16.27;45.03;27.86;7.70;21.75;32.67;15.73;81.45;
26 (s);9.79;3.84;62.37;258.95;299.76;3478.21;16.27;45.04;27.85;7.70;21.75;32.66;15.73;81.29;
27 (s);9.78;3.84;62.38;260.84;307.32;3478.15;16.27;45.06;27.84;7.70;21.75;32.66;15.73;81.03;
28 (s);9.78;3.84;62.38;264.41;323.54;3478.45;16.27;45.08;27.83;7.72;21.75;32.66;15.73;81.48;
29 (s);9.78;3.84;62.39;261.12;386.15;3478.47;16.27;45.10;27.82;7.72;21.75;32.65;15.73;81.48;
30 (s);9.78;3.84;62.38;262.24;342.40;3478.48;16.27;45.10;27.82;7.72;21.75;32.65;15.73;81.32;
31 (s);9.78;3.84;62.37;260.38;364.53;3478.25;16.27;45.12;27.81;7.72;21.75;32.65;15.73;81.06;
32 (s);9.78;3.84;62.38;259.52;404.95;3478.30;16.27;45.13;27.80;7.73;21.75;32.64;15.73;81.08;
33 (s);9.78;3.84;62.38;262.63;462.22;3478.03;16.27;45.15;27.80;7.73;21.75;32.64;15.73;80.93;
34 (s);9.78;3.84;62.38;263.54;374.25;3478.10;16.27;45.16;27.79;7.72;21.75;32.64;15.72;80.92;
35 (s);9.77;3.84;62.39;262.01;386.29;3478.48;16.27;45.18;27.78;7.70;21.75;32.63;15.72;81.33;
36 (s);9.77;3.84;62.40;261.99;332.20;3478.23;16.27;45.18;27.78;7.71;21.75;32.63;15.72;81.40;
37 (s);9.77;3.84;62.39;260.97;268.66;3478.26;16.27;45.19;27.77;7.72;21.75;32.63;15.71;81.18;
38 (s);9.77;3.84;62.38;261.75;272.65;3478.48;16.27;45.20;27.76;7.71;21.75;32.63;15.71;81.47;
39 (s);9.77;3.84;62.39;260.38;266.57;3478.15;16.27;45.22;27.75;7.71;21.75;32.62;15.71;81.50;
40 (s);9.77;3.84;62.40;263.25;313.35;3478.25;16.27;45.23;27.74;7.72;21.74;32.62;15.71;81.45;
41 (s);9.77;3.84;62.38;262.65;317.05;3478.43;16.27;45.24;27.73;7.71;21.74;32.62;15.71;81.32;
42 (s);9.77;3.84;62.38;262.30;265.46;3477.88;16.27;45.24;27.73;7.72;21.74;32.62;15.71;81.19;
43 (s);9.77;3.84;62.40;263.76;316.22;3478.66;16.27;45.25;27.73;7.72;21.74;32.61;15.71;80.92;
44 (s);9.77;3.84;62.40;263.00;280.98;3478.49;16.27;45.24;27.72;7.72;21.74;32.61;15.71;81.34;
45 (s);9.77;3.84;62.37;259.62;271.58;3478.37;16.27;45.24;27.71;7.72;21.74;32.61;15.72;81.11;
46 (s);9.77;3.84;62.39;262.12;366.83;3478.34;16.27;45.24;27.69;7.72;21.73;32.61;15.72;81.33;
47 (s);9.77;3.84;62.38;261.10;306.49;3478.27;16.27;45.25;27.68;7.71;21.73;32.60;15.72;81.22;
48 (s);9.77;3.84;62.37;262.57;348.80;3478.47;16.27;45.25;27.68;7.72;21.73;32.60;15.72;81.20;
