Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.79;3.81;58.71;253.99;284.82;3724.47;15.63;56.46;25.89;7.52;21.45;32.82;15.10;83.05;
10 (s);9.79;3.81;58.70;253.53;417.80;3725.16;15.62;56.47;25.88;7.52;21.47;32.82;15.10;83.06;
15 (s);9.79;3.81;58.71;254.67;321.04;3724.44;15.61;56.49;25.88;7.52;21.48;32.82;15.10;82.88;
20 (s);9.80;3.81;58.74;255.53;275.55;3724.54;15.60;56.49;25.87;7.54;21.48;32.83;15.11;83.20;
25 (s);9.80;3.81;58.71;253.54;294.45;3725.20;15.60;56.50;25.88;7.52;21.47;32.83;15.12;82.99;
30 (s);9.80;3.81;58.72;257.72;322.12;3724.84;15.59;56.52;25.88;7.51;21.47;32.83;15.12;83.02;
35 (s);9.80;3.81;58.72;255.94;401.57;3724.70;15.59;56.55;25.88;7.52;21.49;32.84;15.12;83.00;
40 (s);9.80;3.81;58.72;253.82;340.87;3724.33;15.59;56.54;25.87;7.54;21.50;32.84;15.11;82.94;
45 (s);9.80;3.81;58.93;257.16;312.50;3725.24;15.60;56.55;25.87;7.51;21.51;32.84;15.11;83.09;
50 (s);9.81;3.81;58.72;254.00;276.87;3724.95;15.60;56.56;25.87;7.51;21.52;32.85;15.11;82.92;
55 (s);9.81;3.81;58.49;254.57;309.52;3724.82;15.59;56.58;25.86;7.51;21.52;32.85;15.12;83.12;
60 (s);9.81;3.81;58.70;255.07;398.95;3724.95;15.59;56.59;25.89;7.52;21.53;32.85;15.12;82.99;
65 (s);9.81;3.81;58.70;255.59;267.15;3724.58;15.59;56.60;25.88;7.53;21.53;32.87;15.13;83.12;
70 (s);9.82;3.81;58.47;254.69;362.56;3724.86;15.59;56.62;25.87;7.52;21.53;32.88;15.14;83.10;
