Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.24;4.54;42.48;9.69;18.59;2030.41;20.27;44.63;30.52;12.73;24.34;36.26;38.83;45.90;
10 (s);10.24;4.54;42.49;9.67;16.74;2030.47;20.27;44.63;30.52;12.74;24.32;36.26;38.84;45.34;
15 (s);10.24;4.54;42.49;9.73;25.01;2030.54;20.27;44.65;30.53;12.76;24.32;36.26;38.83;45.83;
20 (s);10.24;4.54;42.49;9.74;24.79;2030.39;20.27;44.65;30.54;12.71;24.32;36.27;38.81;46.44;
25 (s);10.24;4.53;42.48;9.72;24.87;2030.51;20.28;44.65;30.53;12.71;24.32;36.28;38.79;46.55;
30 (s);10.24;4.53;42.48;9.66;25.13;2030.56;20.28;44.66;30.52;12.69;24.31;36.28;38.79;46.33;
35 (s);10.24;4.54;42.46;9.51;22.00;2030.44;20.29;44.66;30.50;12.77;24.30;36.27;38.79;46.15;
40 (s);10.24;4.54;42.48;9.49;18.63;2030.28;20.29;44.68;30.51;12.72;24.30;36.27;38.80;46.21;
45 (s);10.24;4.54;42.49;9.64;16.90;2030.36;20.30;44.67;30.52;12.73;24.31;36.28;38.79;45.96;
50 (s);10.24;4.54;42.49;9.62;23.97;2030.36;20.30;44.68;30.52;12.73;24.32;36.28;38.78;46.09;
55 (s);10.25;4.54;42.46;9.75;25.10;2030.34;20.30;44.68;30.52;12.73;24.33;36.28;38.78;46.38;
60 (s);10.24;4.53;42.49;9.67;25.09;2030.35;20.30;44.69;30.51;12.70;24.35;36.28;38.79;46.20;
65 (s);10.25;4.54;41.98;9.63;25.01;2030.26;20.30;44.71;30.52;12.72;24.36;36.28;38.80;46.08;
70 (s);10.25;4.53;41.99;9.62;24.56;2030.39;20.30;44.72;30.52;12.70;24.37;36.28;38.81;46.01;
75 (s);10.25;4.54;42.00;9.60;18.66;2030.57;20.31;44.74;30.50;12.73;24.37;36.28;38.79;46.48;
80 (s);10.25;4.54;41.99;9.68;17.91;2030.46;20.31;44.75;30.50;12.74;24.35;36.28;38.81;46.64;
85 (s);10.25;4.53;41.99;9.63;18.68;2030.47;20.31;44.77;30.50;12.70;24.33;36.28;38.81;46.18;
88 (s);10.25;4.54;42.00;9.66;21.98;2030.54;20.31;44.78;30.49;12.72;24.33;36.29;38.82;46.56;
98 (s);10.25;4.54;41.99;162.39;419.78;2030.38;20.30;44.83;30.47;12.71;24.34;36.30;19.41;46.56;
103 (s);10.26;4.53;41.99;162.73;418.51;2030.42;20.30;44.85;30.46;12.70;24.34;36.30;19.40;46.34;
108 (s);10.26;4.54;42.23;161.46;412.96;2030.39;20.30;44.87;30.45;12.72;24.34;36.31;19.40;46.02;
113 (s);10.25;4.53;41.99;162.49;276.63;2030.34;20.30;44.87;30.45;12.68;24.35;36.31;19.41;45.66;
118 (s);10.26;4.54;42.00;161.27;308.87;2030.58;20.30;44.87;30.47;12.72;24.35;36.30;19.41;45.95;
123 (s);10.26;4.53;42.00;162.45;381.65;2030.43;20.30;44.89;30.46;12.67;24.35;36.30;19.40;45.60;
128 (s);10.26;4.53;41.98;161.41;415.74;2030.44;20.29;44.91;30.45;12.68;24.35;36.30;19.39;45.53;
133 (s);10.26;4.53;41.99;163.40;422.15;2030.47;20.28;44.93;30.44;12.69;24.34;36.31;19.39;45.67;
138 (s);10.26;4.54;42.17;162.79;377.40;2030.39;20.28;44.96;30.45;12.76;24.33;36.32;19.39;46.04;
143 (s);10.26;4.53;41.99;162.58;314.85;2030.40;20.28;44.98;30.41;12.70;24.31;36.32;19.39;46.42;
148 (s);10.26;4.54;41.99;161.04;311.49;2030.47;20.29;44.98;30.40;12.71;24.30;36.33;19.39;46.56;
153 (s);10.26;4.53;42.00;162.32;310.49;2030.50;20.29;44.99;30.39;12.70;24.31;36.33;19.38;46.50;
158 (s);10.27;4.53;41.98;162.54;417.53;2030.46;20.30;45.01;30.38;12.69;24.31;36.33;19.39;46.24;
163 (s);10.26;4.53;41.97;163.30;419.59;2030.33;20.30;45.03;30.36;12.68;24.32;36.33;19.39;45.59;
168 (s);10.27;4.53;41.99;161.00;416.65;2030.44;20.30;45.05;30.36;12.69;24.34;36.32;19.39;45.57;
173 (s);10.27;4.53;41.99;160.27;413.80;2030.33;20.30;45.06;30.35;12.67;24.35;36.33;19.38;45.91;
178 (s);10.27;4.53;41.99;161.32;347.93;2030.39;20.30;45.07;30.36;12.69;24.36;36.33;19.38;46.32;
183 (s);10.27;4.53;41.98;159.59;313.58;2030.59;20.31;45.09;30.37;12.70;24.37;36.34;19.39;46.63;
188 (s);10.27;4.53;42.00;160.09;311.40;2030.64;20.31;45.10;30.34;12.69;24.38;36.33;19.40;46.62;
193 (s);10.27;4.53;41.99;160.54;415.86;2030.36;20.32;45.12;30.34;12.66;24.38;36.34;19.40;46.49;
198 (s);10.27;4.54;42.01;164.42;418.33;2030.43;20.32;45.13;30.36;12.72;24.38;36.35;19.40;46.03;
203 (s);10.27;4.53;42.22;161.14;414.97;2030.43;20.33;45.15;30.33;12.69;24.38;36.35;19.40;45.67;
208 (s);10.27;4.53;42.24;160.81;351.94;2030.47;20.33;45.16;30.32;12.68;24.39;36.35;19.41;45.65;
213 (s);10.27;4.54;42.24;160.79;312.64;2030.40;20.33;45.16;30.32;12.74;24.40;36.35;19.41;46.02;
218 (s);10.27;4.53;42.00;165.33;309.87;2030.59;20.33;45.16;30.31;12.69;24.40;36.36;19.41;46.45;
223 (s);10.28;4.53;42.23;161.82;311.75;2030.44;20.33;45.18;30.31;12.70;24.40;36.36;19.40;46.78;
228 (s);10.28;4.53;41.99;161.84;416.89;2030.41;20.33;45.18;30.29;12.71;24.40;36.36;19.40;46.65;
233 (s);10.28;4.54;42.05;160.97;417.80;2030.56;20.33;45.19;30.29;12.72;24.40;36.36;19.39;46.41;
239 (s);10.28;4.53;42.16;162.70;418.24;2030.55;20.34;45.20;30.28;12.68;24.40;36.36;19.39;46.22;
244 (s);10.28;4.53;42.48;162.13;401.39;2030.41;20.33;45.22;30.28;12.69;24.39;36.37;19.40;45.74;
249 (s);10.28;4.53;42.46;161.19;311.05;2030.47;20.33;45.24;30.29;12.67;24.38;36.37;19.40;46.31;
254 (s);10.27;4.54;42.00;161.48;256.60;2030.50;20.33;45.26;30.28;12.75;24.38;36.38;19.40;46.75;
259 (s);10.27;4.53;42.48;163.47;314.91;2030.62;20.34;45.27;30.27;12.70;24.38;36.38;19.40;46.62;
264 (s);10.27;4.53;41.99;160.56;415.83;2030.53;20.34;45.29;30.26;12.68;24.39;36.37;19.40;45.85;
269 (s);10.26;4.53;42.48;160.73;414.27;2030.43;20.34;45.31;30.27;12.68;24.40;36.37;19.40;45.90;
274 (s);10.26;4.53;42.48;161.05;416.85;2030.44;20.34;45.34;30.24;12.65;24.41;36.37;19.40;46.86;
279 (s);10.26;4.52;42.48;163.14;418.18;2030.42;20.33;45.36;30.21;12.64;24.42;36.36;19.40;46.67;
284 (s);10.26;4.53;42.00;160.95;318.78;2030.39;20.33;45.39;30.24;12.64;24.42;36.36;19.40;46.28;
289 (s);10.27;4.52;42.48;161.74;281.83;2032.40;20.32;45.40;30.22;12.64;24.41;36.36;19.40;45.84;
294 (s);10.27;4.52;41.98;160.19;276.44;2032.52;20.32;45.42;30.21;12.64;24.40;36.36;19.40;45.82;
299 (s);10.27;4.52;42.48;161.41;313.55;2032.46;20.33;45.42;30.20;12.63;24.40;36.36;19.40;46.52;
304 (s);10.27;4.52;42.24;163.36;417.59;2032.46;20.33;45.43;30.20;12.62;24.39;36.35;19.40;46.85;
309 (s);10.27;4.52;42.22;160.53;419.10;2032.32;20.33;45.44;30.17;12.64;24.39;36.35;19.39;46.68;
314 (s);10.27;4.52;42.22;159.69;418.59;2032.26;20.33;45.45;30.17;12.63;24.39;36.34;19.39;46.05;
