Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);7.78;3.90;42.32;509.18;506.90;2012.20;15.28;36.48;23.07;8.22;20.49;27.08;13.92;36.96;
20 (s);7.77;3.91;40.87;509.93;505.25;2012.14;15.34;36.30;22.95;8.28;20.51;26.98;13.99;37.19;
30 (s);7.76;3.92;40.61;507.96;505.65;2012.07;15.39;36.36;22.87;8.33;20.53;26.92;14.05;36.72;
40 (s);7.75;3.92;40.13;510.88;506.41;2012.06;15.43;36.67;22.81;8.36;20.52;26.86;14.09;36.48;
50 (s);7.75;3.93;40.13;509.98;505.56;2012.17;15.47;37.05;22.76;8.40;20.52;26.83;14.12;36.65;
60 (s);7.75;3.93;39.43;510.26;509.04;2012.13;15.50;37.22;22.74;8.43;20.53;26.80;14.16;36.65;
70 (s);7.75;3.94;39.43;510.58;507.83;2012.13;15.53;37.29;22.72;8.46;20.53;26.78;14.19;36.63;
80 (s);7.75;3.94;39.43;514.84;506.99;2011.98;15.56;37.32;22.71;8.48;20.53;26.76;14.22;36.69;
90 (s);7.75;3.94;39.42;508.78;508.21;2012.02;15.58;37.33;22.68;8.50;20.54;26.74;14.24;36.68;
100 (s);7.75;3.94;39.43;512.75;509.12;2011.97;15.61;37.34;22.68;8.51;20.55;26.75;14.27;36.66;
110 (s);7.75;3.94;39.42;509.87;507.13;2012.03;15.63;37.36;22.66;8.51;20.55;26.74;14.29;36.69;
120 (s);7.75;3.94;39.43;512.53;507.73;2012.02;15.65;37.38;22.64;8.52;20.56;26.74;14.31;37.00;
130 (s);7.75;3.94;39.43;509.89;506.90;2012.03;15.67;37.40;22.61;8.53;20.55;26.74;14.33;36.76;
140 (s);7.75;3.95;39.42;510.48;506.88;2012.11;15.68;37.42;22.61;8.54;20.55;26.74;14.34;36.74;
150 (s);7.75;3.95;39.42;510.18;508.71;2011.99;15.71;37.44;22.60;8.54;20.55;26.73;14.34;37.00;
160 (s);7.75;3.95;39.42;512.48;506.95;2012.05;15.73;37.46;22.58;8.55;20.55;26.74;14.35;36.52;
170 (s);7.75;3.95;39.41;510.85;510.09;2012.21;15.75;37.49;22.57;8.54;20.56;26.73;14.37;37.13;
180 (s);7.75;3.95;39.43;510.29;506.81;2012.00;15.77;37.51;22.57;8.56;20.57;26.73;14.38;36.72;
190 (s);7.75;3.95;39.41;511.54;507.51;2012.03;15.79;37.54;22.54;8.56;20.57;26.73;14.39;36.99;
200 (s);7.76;3.95;39.43;511.81;508.31;2012.09;15.81;37.57;22.52;8.56;20.58;26.73;14.41;36.81;
210 (s);7.76;3.95;39.42;511.02;512.17;2012.02;15.82;37.60;22.51;8.55;20.58;26.72;14.42;37.01;
220 (s);7.76;3.95;39.41;511.21;508.96;2012.02;15.83;37.62;22.49;8.56;20.58;26.72;14.44;36.71;
230 (s);7.76;3.95;39.42;510.80;510.16;2012.00;15.85;37.65;22.48;8.57;20.57;26.72;14.44;37.09;
240 (s);7.76;3.95;39.41;508.70;506.65;2011.97;15.86;37.67;22.46;8.56;20.57;26.72;14.45;36.59;
250 (s);7.76;3.95;39.42;510.93;511.02;2012.07;15.87;37.69;22.43;8.56;20.58;26.71;14.46;37.11;
261 (s);7.76;3.95;39.41;512.63;510.23;2012.05;15.89;37.72;22.42;8.54;20.58;26.72;14.47;36.63;
271 (s);7.77;3.95;39.42;509.58;510.70;2012.01;15.90;37.75;22.40;8.54;20.58;26.71;14.48;36.92;
281 (s);7.77;3.95;39.44;510.52;508.58;2012.01;15.92;37.79;22.37;8.53;20.59;26.72;14.49;37.13;
291 (s);7.77;3.94;39.41;508.52;507.62;2011.95;15.93;37.81;22.36;8.52;20.59;26.71;14.50;36.62;
301 (s);7.77;3.94;39.39;510.64;509.61;2012.14;15.95;37.84;22.34;8.53;20.59;26.72;14.49;36.72;
311 (s);7.77;3.94;39.42;511.91;507.19;2012.02;15.97;37.87;22.31;8.51;20.59;26.71;14.50;37.11;
321 (s);7.78;3.94;39.43;509.08;508.52;2012.04;15.98;37.90;22.30;8.51;20.60;26.72;14.50;36.90;
331 (s);7.78;3.94;39.42;511.16;508.03;2012.08;16.00;37.92;22.29;8.50;20.61;26.72;14.50;36.70;
