Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);12.99;4.33;47.79;169.89;636.44;2700.42;19.47;59.27;24.49;11.32;23.05;39.96;18.13;70.94;
20 (s);12.98;4.33;47.31;167.65;636.42;2700.34;19.50;59.21;24.48;11.33;23.06;39.90;18.16;70.90;
30 (s);12.97;4.33;47.33;169.55;634.38;2700.36;19.52;59.14;24.46;11.33;23.06;39.85;18.18;70.86;
40 (s);12.96;4.33;47.28;171.70;635.95;2700.29;19.54;59.15;24.44;11.34;23.07;39.79;18.20;70.87;
50 (s);12.96;4.34;47.24;168.23;637.58;2700.07;19.56;59.07;24.44;11.35;23.08;39.73;18.21;70.80;
60 (s);12.96;4.33;47.30;169.13;637.06;2700.28;19.57;58.98;24.45;11.34;23.08;39.69;18.23;70.73;
70 (s);12.96;4.33;47.22;168.66;633.53;2700.17;19.60;59.00;24.43;11.34;23.08;39.63;18.25;70.90;
80 (s);12.96;4.33;47.09;169.60;636.33;2700.02;19.62;59.01;24.45;11.33;23.08;39.57;18.26;70.83;
90 (s);12.96;4.33;47.13;170.07;635.31;2700.16;19.63;59.00;24.43;11.33;23.09;39.52;18.27;70.77;
100 (s);12.96;4.33;47.07;170.71;635.19;2700.27;19.64;58.91;24.44;11.32;23.10;39.47;18.28;70.81;
110 (s);12.96;4.33;47.08;167.74;633.73;2700.29;19.65;58.96;24.45;11.31;23.10;39.43;18.30;70.92;
121 (s);12.97;4.33;47.29;170.41;635.12;2700.09;19.68;58.90;24.43;11.31;23.10;39.37;18.31;70.75;
131 (s);12.97;4.33;47.08;168.07;632.76;2700.29;19.70;58.88;24.44;11.30;23.11;39.31;18.31;70.80;
141 (s);12.97;4.33;47.27;168.79;636.68;2700.23;19.71;58.94;24.44;11.29;23.11;39.26;18.33;70.78;
151 (s);12.98;4.33;47.07;170.11;634.56;2700.20;19.72;58.90;24.43;11.27;23.11;39.22;18.34;70.81;
161 (s);12.98;4.32;46.91;169.50;637.00;2700.41;19.73;58.89;24.44;11.26;23.11;39.21;18.35;70.89;
171 (s);12.98;4.32;47.08;170.81;636.27;2700.41;19.75;58.89;24.44;11.24;23.12;39.19;18.36;70.67;
181 (s);12.99;4.32;47.31;166.45;638.65;2700.30;19.76;58.81;24.44;11.24;23.13;39.17;18.37;70.85;
191 (s);12.99;4.32;47.81;168.96;636.41;2700.50;19.78;58.76;24.42;11.23;23.13;39.15;18.38;70.87;
201 (s);12.99;4.32;47.97;167.60;636.77;2700.60;19.79;58.74;24.43;11.22;23.14;39.11;18.39;70.79;
211 (s);12.99;4.32;48.54;168.71;634.80;2700.55;19.80;58.72;24.43;11.21;23.14;39.07;18.41;71.29;
221 (s);13.00;4.32;49.99;171.22;635.31;2700.88;19.81;58.70;24.45;11.23;23.15;39.04;18.41;71.12;
231 (s);13.00;4.32;51.19;170.60;640.02;2701.00;19.82;58.72;24.46;11.22;23.14;39.02;18.42;70.97;
241 (s);13.00;4.32;51.19;167.62;635.42;2701.52;19.83;58.73;24.45;11.22;23.14;39.01;18.43;70.87;
251 (s);12.99;4.32;52.19;168.59;633.67;2701.30;19.83;58.77;24.47;11.23;23.15;38.99;18.43;70.91;
261 (s);12.99;4.32;52.65;167.49;632.31;2701.27;19.84;58.77;24.49;11.23;23.16;38.99;18.44;70.88;
271 (s);12.99;4.32;53.23;167.66;635.52;2701.13;19.86;58.78;24.48;11.24;23.16;38.97;18.44;70.86;
282 (s);12.99;4.32;53.32;167.16;637.67;2701.09;19.87;58.77;24.48;11.26;23.17;38.94;18.45;70.81;
292 (s);12.98;4.32;53.20;167.09;640.03;2700.86;19.88;58.75;24.48;11.27;23.17;38.91;18.45;70.79;
302 (s);12.98;4.33;53.48;168.48;637.40;2700.99;19.88;58.71;24.48;11.27;23.18;38.91;18.46;70.89;
312 (s);12.97;4.33;53.34;171.77;639.34;2701.01;19.89;58.70;24.47;11.28;23.18;38.91;18.46;70.70;
322 (s);12.97;4.33;53.88;170.13;638.48;2700.96;19.90;58.79;24.47;11.28;23.19;38.91;18.47;70.89;
332 (s);12.97;4.33;53.88;166.54;634.64;2700.75;19.91;58.87;24.51;11.29;23.20;38.91;18.48;70.66;
342 (s);12.97;4.33;53.84;170.66;635.46;2700.97;19.91;58.92;24.48;11.30;23.21;38.91;18.48;70.80;
352 (s);12.97;4.33;53.87;171.31;640.55;2701.13;19.91;58.89;24.50;11.31;23.21;38.90;18.49;70.66;
362 (s);12.96;4.33;53.70;168.22;635.44;2700.98;19.92;58.88;24.49;11.32;23.21;38.91;18.49;70.92;
372 (s);12.96;4.33;53.87;169.87;637.35;2700.75;19.94;58.89;24.48;11.33;23.22;38.91;18.49;70.66;
382 (s);12.95;4.33;53.87;168.75;633.59;2701.08;19.95;58.90;24.48;11.34;23.23;38.91;18.50;70.82;
392 (s);12.95;4.33;53.88;167.38;634.60;2700.96;19.95;58.82;24.49;11.34;23.24;38.92;18.51;70.69;
402 (s);12.95;4.34;53.88;169.51;639.17;2700.90;19.95;58.78;24.47;11.36;23.24;38.94;18.51;70.71;
412 (s);12.95;4.34;53.88;169.16;638.17;2700.86;19.95;58.69;24.50;11.36;23.24;38.95;18.52;70.67;
422 (s);12.94;4.34;53.89;169.75;641.33;2701.04;19.95;58.67;24.49;11.37;23.25;38.96;18.52;70.68;
432 (s);12.95;4.34;53.88;169.49;635.40;2700.93;19.97;58.64;24.48;11.37;23.26;38.98;18.52;70.71;
443 (s);12.94;4.34;54.36;169.27;634.55;2700.91;19.98;58.65;24.49;11.38;23.26;38.97;18.53;70.80;
453 (s);12.93;4.34;54.60;172.63;641.27;2700.99;19.99;58.57;24.50;11.39;23.27;38.96;18.53;70.76;
463 (s);12.94;4.34;54.60;170.68;633.06;2700.84;20.00;58.54;24.50;11.40;23.27;38.97;18.53;70.85;
473 (s);12.94;4.35;54.60;169.04;639.18;2700.96;20.00;58.59;24.49;11.42;23.28;38.96;18.54;70.62;
