Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.73;3.34;49.37;202.38;208.81;3041.77;12.53;43.08;22.72;3.69;20.07;33.89;8.58;64.87;
10 (s);9.73;3.34;49.19;200.64;206.36;3041.91;12.53;43.09;22.75;3.70;20.06;33.87;8.59;65.09;
15 (s);9.73;3.34;49.30;202.08;207.46;3041.62;12.53;43.12;22.76;3.69;20.06;33.86;8.58;65.06;
20 (s);9.73;3.34;49.31;202.51;208.98;3041.53;12.53;43.13;22.76;3.69;20.06;33.87;8.58;64.98;
25 (s);9.73;3.34;49.33;202.75;210.15;3041.63;12.53;43.13;22.72;3.71;20.06;33.87;8.58;64.98;
30 (s);9.72;3.34;49.43;201.72;207.93;3041.71;12.53;43.16;22.74;3.70;20.05;33.86;8.58;65.01;
35 (s);9.73;3.34;49.27;201.53;208.08;3041.65;12.53;43.21;22.75;3.71;20.06;33.85;8.59;65.09;
40 (s);9.72;3.34;49.26;203.04;207.11;3041.77;12.54;43.24;22.75;3.70;20.07;33.88;8.59;65.28;
45 (s);9.72;3.34;49.49;201.39;207.43;3041.63;12.53;43.26;22.73;3.69;20.07;33.88;8.59;64.98;
50 (s);9.72;3.34;49.44;201.62;208.41;3041.78;12.53;43.28;22.75;3.69;20.07;33.86;8.58;64.99;
55 (s);9.72;3.34;49.26;201.70;208.24;3041.75;12.53;43.28;22.75;3.70;20.07;33.85;8.59;65.07;
60 (s);9.72;3.34;49.26;201.55;208.95;3041.87;12.53;43.30;22.76;3.70;20.08;33.84;8.59;64.93;
65 (s);9.72;3.34;49.40;202.05;210.25;3041.69;12.53;43.29;22.75;3.71;20.07;33.83;8.60;65.01;
70 (s);9.72;3.34;49.27;204.15;208.22;3041.63;12.53;43.27;22.73;3.71;20.07;33.82;8.60;65.07;
75 (s);9.72;3.34;49.34;202.50;209.92;3041.80;12.53;43.32;22.76;3.72;20.07;33.81;8.60;64.97;
80 (s);9.72;3.34;49.48;202.58;208.68;3041.70;12.53;43.33;22.77;3.71;20.07;33.81;8.61;65.06;
85 (s);9.72;3.34;49.49;202.40;209.47;3041.80;12.53;43.36;22.77;3.72;20.08;33.81;8.60;64.88;
90 (s);9.72;3.34;49.48;203.15;211.75;3041.74;12.53;43.38;22.79;3.73;20.08;33.82;8.60;65.17;
95 (s);9.72;3.34;49.30;202.01;209.37;3041.81;12.53;43.41;22.77;3.73;20.07;33.82;8.61;64.90;
100 (s);9.72;3.34;49.29;201.50;207.82;3041.89;12.53;43.40;22.74;3.72;20.08;33.82;8.62;64.95;
105 (s);9.72;3.34;49.48;201.91;210.30;3041.85;12.52;43.39;22.76;3.72;20.08;33.82;8.62;65.12;
110 (s);9.72;3.34;49.28;201.21;206.09;3041.93;12.52;43.40;22.75;3.73;20.08;33.81;8.62;65.16;
115 (s);9.73;3.34;49.26;202.25;209.10;3041.68;12.53;43.44;22.74;3.71;20.07;33.82;8.62;65.17;
120 (s);9.73;3.34;49.51;202.42;208.25;3041.72;12.53;43.48;22.73;3.72;20.08;33.83;8.63;65.06;
125 (s);9.73;3.34;49.52;201.97;207.09;3041.80;12.53;43.49;22.75;3.73;20.08;33.83;8.63;64.87;
130 (s);9.73;3.34;49.38;201.43;206.07;3041.88;12.53;43.50;22.74;3.72;20.07;33.81;8.63;65.03;
135 (s);9.73;3.34;49.28;200.40;206.29;3041.63;12.53;43.52;22.74;3.73;20.07;33.82;8.62;64.92;
140 (s);9.73;3.34;49.27;202.46;208.09;3041.80;12.53;43.51;22.72;3.72;20.07;33.83;8.62;65.05;
145 (s);9.73;3.34;49.32;200.87;208.07;3041.95;12.53;43.52;22.74;3.72;20.08;33.83;8.62;65.17;
150 (s);9.73;3.34;49.28;201.39;207.60;3041.81;12.53;43.53;22.76;3.71;20.08;33.84;8.62;64.94;
155 (s);9.73;3.34;49.52;201.10;208.97;3041.84;12.53;43.55;22.75;3.71;20.07;33.85;8.61;65.04;
160 (s);9.73;3.35;49.42;201.37;206.46;3041.87;12.53;43.56;22.76;3.74;20.08;33.85;8.61;65.05;
165 (s);9.73;3.35;49.50;202.59;208.70;3041.89;12.53;43.54;22.76;3.75;20.08;33.83;8.61;65.17;
170 (s);9.73;3.34;49.26;201.37;209.55;3041.80;12.53;43.55;22.77;3.73;20.08;33.82;8.62;65.18;
175 (s);9.73;3.34;49.26;202.11;207.44;3041.82;12.53;43.57;22.79;3.73;20.08;33.83;8.62;65.19;
