Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.29;3.52;91.21;199.98;202.77;3042.55;14.62;48.00;22.27;5.24;20.23;35.15;10.23;67.03;
10 (s);10.27;3.53;91.41;201.08;202.85;3042.42;14.61;48.02;22.28;5.26;20.22;35.16;10.19;67.05;
15 (s);10.25;3.53;91.22;203.42;206.19;3042.49;14.59;48.01;22.29;5.27;20.22;35.14;10.16;67.01;
20 (s);10.23;3.53;91.21;201.85;206.47;3042.49;14.57;48.04;22.30;5.28;20.23;35.13;10.13;66.97;
25 (s);10.21;3.53;91.21;201.97;203.60;3042.57;14.55;48.05;22.30;5.29;20.24;35.11;10.11;66.86;
30 (s);10.20;3.53;91.22;201.95;205.42;3042.39;14.53;48.06;22.32;5.30;20.24;35.11;10.10;66.97;
35 (s);10.18;3.53;91.36;202.79;206.79;3042.34;14.52;48.09;22.33;5.31;20.23;35.12;10.08;66.99;
40 (s);10.17;3.53;91.28;202.01;205.31;3042.53;14.50;48.12;22.34;5.32;20.23;35.11;10.06;66.81;
45 (s);10.15;3.54;91.21;201.33;205.52;3042.48;14.48;48.17;22.36;5.34;20.25;35.08;10.04;66.92;
50 (s);10.14;3.54;91.21;202.56;204.84;3042.44;14.46;48.17;22.38;5.34;20.25;35.07;10.01;66.81;
55 (s);10.13;3.54;91.21;202.09;205.56;3042.36;14.44;48.20;22.39;5.35;20.25;35.06;9.99;66.73;
60 (s);10.11;3.54;91.22;202.70;205.67;3042.58;14.42;48.20;22.41;5.37;20.27;35.06;9.98;66.78;
65 (s);10.10;3.54;91.21;201.76;206.40;3042.59;14.41;48.22;22.42;5.36;20.28;35.04;9.96;66.65;
70 (s);10.09;3.54;91.20;203.06;205.71;3042.46;14.38;48.26;22.44;5.37;20.28;35.03;9.94;66.80;
75 (s);10.08;3.54;91.20;202.08;204.27;3042.43;14.36;48.31;22.46;5.38;20.29;35.03;9.92;66.78;
80 (s);10.07;3.54;91.21;201.24;206.26;3042.54;14.34;48.35;22.49;5.39;20.28;35.01;9.90;66.53;
85 (s);10.06;3.55;91.20;202.84;206.95;3042.51;14.31;48.36;22.50;5.41;20.28;35.01;9.89;66.56;
90 (s);10.04;3.55;91.20;202.27;205.94;3042.54;14.29;48.40;22.52;5.43;20.29;35.01;9.87;66.60;
95 (s);10.03;3.55;91.20;202.04;206.55;3042.38;14.27;48.41;22.54;5.43;20.28;35.00;9.86;66.66;
100 (s);10.02;3.55;91.21;201.83;205.49;3042.52;14.24;48.41;22.56;5.45;20.26;34.97;9.84;66.50;
105 (s);10.02;3.55;91.21;201.20;203.02;3042.59;14.21;48.41;22.59;5.46;20.26;34.95;9.83;66.52;
110 (s);10.01;3.55;89.99;201.65;205.76;3042.32;14.19;48.40;22.61;5.47;20.26;34.95;9.81;66.69;
115 (s);10.00;3.56;89.74;203.83;205.66;3042.61;14.17;48.42;22.63;5.49;20.27;34.95;9.79;66.57;
120 (s);9.99;3.56;89.74;202.39;205.37;3042.56;14.14;48.43;22.65;5.50;20.27;34.93;9.78;66.60;
125 (s);9.98;3.56;89.74;202.14;203.32;3042.37;14.12;48.44;22.67;5.51;20.27;34.93;9.77;66.47;
130 (s);9.97;3.56;89.02;202.66;205.46;3042.45;14.08;48.47;22.69;5.54;20.29;34.94;9.75;66.45;
135 (s);9.96;3.56;88.04;202.73;206.82;3042.62;14.06;48.46;22.72;5.55;20.29;34.94;9.73;66.54;
140 (s);9.95;3.56;86.61;201.20;204.03;3042.60;14.03;48.47;22.74;5.56;20.28;34.94;9.72;66.60;
145 (s);9.95;3.57;85.64;201.04;205.47;3042.57;14.00;48.48;22.76;5.58;20.28;34.92;9.70;66.54;
150 (s);9.94;3.57;84.90;201.78;204.95;3042.59;13.96;48.49;22.78;5.57;20.27;34.92;9.67;66.53;
155 (s);9.93;3.56;84.89;202.46;208.24;3042.52;13.92;48.49;22.81;5.57;20.27;34.90;9.62;66.53;
160 (s);9.93;3.57;82.47;201.18;205.45;3042.59;13.88;48.48;22.83;5.58;20.26;34.89;9.59;66.39;
165 (s);9.92;3.56;81.76;202.39;205.48;3042.63;13.85;48.51;22.84;5.56;20.26;34.89;9.56;66.28;
170 (s);9.91;3.56;80.71;202.90;206.48;3042.53;13.81;48.50;22.86;5.57;20.25;34.90;9.54;66.41;
175 (s);9.91;3.56;79.54;201.64;207.12;3042.58;13.78;48.48;22.88;5.56;20.25;34.89;9.51;66.43;
180 (s);9.90;3.56;78.59;202.35;204.57;3042.57;13.74;48.49;22.89;5.56;20.26;34.87;9.50;66.34;
