Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.77;4.17;18.65;163.75;330.85;2600.97;17.93;42.34;24.04;10.17;24.58;36.00;17.00;57.35;
20 (s);10.79;4.18;18.44;164.41;331.41;2601.21;17.99;42.44;24.00;10.26;24.58;36.05;17.02;58.29;
30 (s);10.81;4.18;18.59;162.12;331.61;2601.10;18.03;42.52;23.97;10.26;24.58;36.10;17.05;58.48;
40 (s);10.84;4.20;18.53;165.74;330.97;2601.15;18.07;42.61;23.93;10.39;24.58;36.15;17.07;58.34;
50 (s);10.86;4.18;18.65;164.06;330.41;2601.17;18.11;42.68;23.90;10.23;24.58;36.19;17.09;58.25;
60 (s);10.88;4.16;18.48;166.93;333.60;2601.12;18.14;42.76;23.87;10.12;24.57;36.23;17.09;58.38;
70 (s);10.90;4.15;18.73;164.64;329.89;2601.24;18.17;42.84;23.84;10.07;24.57;36.26;17.09;58.51;
80 (s);10.93;4.18;18.70;162.71;330.77;2601.26;18.22;42.92;23.82;10.24;24.58;36.29;17.11;58.41;
90 (s);10.95;4.20;18.69;164.77;330.77;2601.09;18.26;43.00;23.80;10.38;24.58;36.31;17.12;58.54;
101 (s);10.97;4.17;18.68;164.38;330.29;2601.22;18.31;43.08;23.81;10.17;24.58;36.33;17.15;58.52;
111 (s);10.99;4.16;18.69;166.77;330.25;2601.18;18.35;43.15;23.79;10.14;24.58;36.35;17.17;58.63;
121 (s);11.02;4.15;18.69;162.54;330.28;2601.16;18.40;43.23;23.79;10.06;24.58;36.37;17.19;58.55;
131 (s);11.04;4.14;18.65;164.62;330.89;2601.31;18.45;43.30;23.79;9.97;24.58;36.39;17.21;58.66;
141 (s);11.06;4.14;18.69;163.97;331.07;2601.38;18.49;43.37;23.83;9.99;24.58;36.40;17.22;58.64;
151 (s);11.08;4.15;18.62;163.78;331.44;2601.23;18.53;43.44;23.91;10.03;24.58;36.41;17.24;58.77;
161 (s);11.09;4.15;21.46;164.63;330.07;2601.34;18.57;43.51;24.47;10.03;24.59;36.42;17.27;58.74;
171 (s);11.11;4.15;22.58;165.38;330.82;2601.27;18.61;43.56;25.34;10.03;24.59;36.43;17.29;58.94;
181 (s);11.13;4.13;22.80;164.30;331.69;2601.25;18.66;43.61;25.72;9.89;24.58;36.44;17.32;58.93;
191 (s);11.15;4.13;28.03;162.37;331.18;2601.25;18.69;43.66;25.93;9.90;24.58;36.46;17.36;59.05;
201 (s);11.16;4.16;28.63;163.40;330.03;2601.39;18.73;43.71;26.58;10.13;24.58;36.47;17.39;59.00;
211 (s);11.17;4.14;30.86;164.80;332.26;2601.30;18.78;43.76;26.96;9.95;24.57;36.50;17.45;59.12;
221 (s);11.18;4.18;33.75;165.17;332.42;2601.47;18.80;43.80;27.11;10.25;24.57;36.52;17.47;59.16;
231 (s);11.20;4.15;35.69;162.64;330.07;2601.31;18.85;43.83;27.25;10.03;24.56;36.54;17.51;59.24;
241 (s);11.21;4.14;36.69;163.67;329.48;2601.40;18.88;43.86;27.36;9.96;24.56;36.56;17.55;59.28;
251 (s);11.21;4.16;38.34;161.39;331.75;2601.35;18.93;43.89;27.47;10.10;24.55;36.59;17.57;59.43;
262 (s);11.22;4.16;39.06;163.85;332.95;2601.42;18.98;43.91;27.59;10.08;24.55;36.61;17.60;59.33;
272 (s);11.22;4.17;42.17;163.23;332.28;2601.36;19.02;43.94;27.70;10.17;24.55;36.64;17.62;59.41;
