Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);12.38;4.60;29.85;505.31;497.32;2702.61;21.38;57.07;26.30;13.11;28.17;33.76;20.44;70.21;
20 (s);12.45;4.59;31.26;502.88;497.47;2702.53;21.43;57.05;26.31;13.05;28.17;33.77;20.51;70.35;
30 (s);12.51;4.58;35.25;505.93;494.42;2702.58;21.49;57.09;26.32;13.02;28.18;33.76;20.60;70.57;
40 (s);12.57;4.58;40.20;505.61;495.32;2702.70;21.55;57.10;26.54;13.01;28.18;33.76;20.67;70.54;
50 (s);12.61;4.58;43.69;505.91;493.01;2702.62;21.60;57.08;26.68;13.02;28.21;33.75;20.73;70.79;
60 (s);12.65;4.59;45.20;503.47;496.40;2702.75;21.65;57.09;26.76;13.05;28.25;33.76;20.79;71.02;
70 (s);12.69;4.59;46.09;505.04;496.17;2702.49;21.69;57.09;26.80;13.07;28.28;33.79;20.81;71.03;
80 (s);12.72;4.59;46.81;506.87;495.01;2702.55;21.73;57.04;26.83;13.09;28.31;33.83;20.85;71.11;
90 (s);12.75;4.59;48.46;504.55;494.42;2702.45;21.77;57.00;26.86;13.09;28.32;33.86;20.92;71.03;
100 (s);12.79;4.60;50.30;504.68;495.14;2702.45;21.81;57.00;26.92;13.11;28.33;33.88;20.96;71.08;
110 (s);12.81;4.60;52.66;505.07;500.88;2702.63;21.86;56.98;26.96;13.13;28.33;33.91;21.02;71.26;
121 (s);12.84;4.60;54.61;506.15;495.13;2702.56;21.89;57.02;27.00;13.15;28.33;33.93;21.05;71.26;
131 (s);12.85;4.60;55.83;503.37;495.12;2702.61;21.91;56.97;27.03;13.17;28.33;33.95;21.08;71.20;
141 (s);12.87;4.61;57.25;501.26;496.45;2702.71;21.95;57.01;27.07;13.19;28.35;33.98;21.10;71.54;
151 (s);12.88;4.61;59.07;505.85;496.28;2702.77;21.98;57.08;27.11;13.22;28.36;34.00;21.13;71.56;
161 (s);12.89;4.62;60.36;502.54;493.15;2702.71;22.02;57.01;27.12;13.25;28.37;34.04;21.15;71.47;
171 (s);12.90;4.62;61.36;507.46;496.84;2702.82;22.05;56.92;27.17;13.29;28.38;34.07;21.17;71.57;
181 (s);12.90;4.62;62.33;504.12;493.40;2702.80;22.08;56.80;27.21;13.30;28.39;34.10;21.19;71.64;
191 (s);12.91;4.63;63.09;504.99;495.00;2702.71;22.11;57.02;27.22;13.34;28.38;34.13;21.21;71.78;
201 (s);12.90;4.63;64.27;504.29;493.79;2702.69;22.13;57.00;27.24;13.37;28.38;34.14;21.22;71.58;
211 (s);12.90;4.64;64.28;501.69;492.90;2702.68;22.16;56.95;27.27;13.39;28.38;34.16;21.22;71.54;
221 (s);12.90;4.64;65.01;507.32;498.78;2702.74;22.19;57.15;27.28;13.42;28.37;34.19;21.22;71.80;
231 (s);12.90;4.64;65.99;502.12;493.82;2702.80;22.21;57.25;27.32;13.44;28.38;34.21;21.23;71.67;
241 (s);12.89;4.65;66.72;503.48;493.83;2702.75;22.22;57.13;27.35;13.48;28.39;34.25;21.23;71.47;
251 (s);12.89;4.66;66.97;502.87;496.14;2702.89;22.24;57.12;27.38;13.52;28.39;34.28;21.23;71.72;
261 (s);12.88;4.66;67.94;504.60;493.60;2702.91;22.26;57.36;27.40;13.55;28.38;34.31;21.24;71.73;
271 (s);12.87;4.66;67.94;502.97;494.44;2702.66;22.27;57.47;27.41;13.57;28.38;34.34;21.24;71.62;
282 (s);12.86;4.67;67.95;502.99;495.34;2702.74;22.29;57.47;27.44;13.61;28.39;34.36;21.23;71.62;
292 (s);12.85;4.67;68.30;505.28;495.57;2702.72;22.31;57.55;27.46;13.64;28.40;34.39;21.22;71.79;
302 (s);12.84;4.68;67.94;508.12;495.27;2702.87;22.33;57.65;27.48;13.67;28.40;34.40;21.22;71.73;
312 (s);12.83;4.68;67.93;504.96;497.00;2702.61;22.35;57.76;27.50;13.70;28.40;34.41;21.22;71.66;
322 (s);12.83;4.68;68.14;505.93;493.30;2702.80;22.36;57.77;27.52;13.70;28.39;34.43;21.22;71.56;
332 (s);12.82;4.69;68.19;505.02;494.11;2702.89;22.37;57.76;27.51;13.73;28.38;34.45;21.22;71.49;
342 (s);12.81;4.69;68.19;503.00;492.54;2702.64;22.38;57.84;27.55;13.75;28.38;34.48;21.21;71.51;
352 (s);12.80;4.69;68.18;504.52;497.28;2702.78;22.39;57.84;27.55;13.76;28.38;34.49;21.21;71.59;
362 (s);12.79;4.70;68.19;502.74;495.65;2702.65;22.41;57.87;27.56;13.79;28.39;34.49;21.20;71.51;
372 (s);12.78;4.70;68.07;503.67;493.75;2702.92;22.43;57.90;27.58;13.80;28.39;34.49;21.20;71.55;
382 (s);12.78;4.70;67.94;505.11;494.98;2702.86;22.44;57.93;27.59;13.82;28.39;34.49;21.20;71.59;
392 (s);12.76;4.70;68.17;503.23;495.26;2702.91;22.44;57.99;27.60;13.83;28.38;34.51;21.20;71.63;
402 (s);12.75;4.71;68.18;507.48;495.51;2702.65;22.44;58.00;27.61;13.84;28.38;34.54;21.20;71.69;
412 (s);12.74;4.71;67.94;503.36;492.97;2702.69;22.45;58.05;27.63;13.86;28.39;34.55;21.19;71.48;
422 (s);12.73;4.71;67.94;502.75;492.80;2702.54;22.46;58.07;27.64;13.87;28.40;34.57;21.19;71.64;
432 (s);12.72;4.71;68.00;507.25;497.43;2702.72;22.47;58.11;27.65;13.89;28.40;34.59;21.19;71.49;
443 (s);12.72;4.72;67.94;505.47;494.99;2702.84;22.48;58.11;27.67;13.91;28.40;34.61;21.18;71.66;
453 (s);12.71;4.72;67.96;504.15;494.75;2703.01;22.49;58.15;27.67;13.92;28.40;34.62;21.19;71.51;
463 (s);12.70;4.72;68.14;507.02;496.67;2702.65;22.50;58.14;27.69;13.94;28.40;34.64;21.18;71.38;
473 (s);12.68;4.72;68.10;503.67;493.65;2702.83;22.51;58.12;27.70;13.96;28.40;34.66;21.18;71.28;
483 (s);12.68;4.72;68.18;503.46;494.77;2702.82;22.52;58.13;27.70;13.96;28.40;34.68;21.17;71.49;
493 (s);12.67;4.73;67.95;505.84;496.00;2702.88;22.52;58.17;27.71;13.98;28.39;34.68;21.17;71.39;
503 (s);12.66;4.73;68.19;503.53;493.78;2702.78;22.52;58.18;27.72;13.99;28.40;34.68;21.17;71.36;
513 (s);12.65;4.73;68.18;504.29;494.36;2702.70;22.53;58.22;27.73;14.00;28.40;34.69;21.16;71.49;
523 (s);12.64;4.73;67.94;502.38;493.07;2702.69;22.54;58.25;27.74;14.01;28.40;34.69;21.16;71.27;
533 (s);12.63;4.74;67.68;504.42;493.41;2702.64;22.54;58.26;27.75;14.03;28.40;34.70;21.15;71.42;
543 (s);12.62;4.74;67.70;506.36;497.75;2702.87;22.55;58.30;27.76;14.05;28.41;34.72;21.14;71.45;
553 (s);12.62;4.74;67.69;506.88;494.64;2702.52;22.56;58.33;27.76;14.07;28.42;34.73;21.14;71.62;
563 (s);12.61;4.74;67.18;506.28;496.21;2702.69;22.57;58.35;27.77;14.08;28.42;34.75;21.14;71.34;
573 (s);12.60;4.74;66.97;503.61;490.04;2703.00;22.57;58.36;27.78;14.09;28.41;34.76;21.14;71.44;
583 (s);12.60;4.75;67.22;503.25;494.19;2702.80;22.58;58.38;27.79;14.11;28.41;34.77;21.13;71.31;
593 (s);12.59;4.75;67.18;506.14;495.48;2702.74;22.58;58.42;27.79;14.12;28.41;34.78;21.13;71.44;
604 (s);12.58;4.75;67.20;506.65;497.83;2702.77;22.58;58.37;27.80;14.13;28.41;34.78;21.13;71.14;
614 (s);12.58;4.75;66.97;504.07;493.50;2702.74;22.58;58.38;27.81;14.14;28.40;34.79;21.13;71.42;
624 (s);12.57;4.75;67.21;508.27;494.71;2702.79;22.58;58.43;27.81;14.15;28.41;34.81;21.12;71.38;
634 (s);12.56;4.76;67.17;503.04;493.05;2702.82;22.58;58.46;27.82;14.16;28.41;34.83;21.12;71.25;
644 (s);12.56;4.76;66.95;505.20;494.59;2702.65;22.58;58.47;27.83;14.17;28.41;34.84;21.11;71.42;
654 (s);12.55;4.76;66.96;506.61;495.93;2702.68;22.58;58.48;27.84;14.17;28.41;34.85;21.11;71.40;
664 (s);12.55;4.76;67.13;504.53;495.33;2702.63;22.58;58.51;27.85;14.20;28.41;34.85;21.11;71.24;
674 (s);12.54;4.76;66.96;506.39;496.13;2702.65;22.59;58.49;27.86;14.20;28.40;34.86;21.11;71.17;
684 (s);12.53;4.76;67.10;503.94;492.57;2702.61;22.59;58.46;27.85;14.20;28.40;34.87;21.10;71.25;
694 (s);12.53;4.76;67.17;503.57;494.42;2702.77;22.59;58.54;27.86;14.21;28.40;34.88;21.10;71.25;
704 (s);12.52;4.76;66.98;501.95;495.02;2702.92;22.59;58.57;27.86;14.21;28.39;34.88;21.09;71.15;
714 (s);12.51;4.76;66.96;504.23;494.52;2702.76;22.60;58.60;27.87;14.22;28.39;34.86;21.09;71.17;
724 (s);12.51;4.77;66.73;501.89;494.82;2702.84;22.60;58.56;27.88;14.23;28.40;34.85;21.09;71.23;
734 (s);12.50;4.77;66.22;504.46;496.01;2702.73;22.60;58.55;27.88;14.25;28.41;34.86;21.08;71.25;
744 (s);12.50;4.77;66.22;501.61;494.56;2702.72;22.59;58.58;27.90;14.25;28.41;34.88;21.08;71.30;
754 (s);12.50;4.77;66.23;504.49;494.57;2702.64;22.59;58.57;27.90;14.25;28.41;34.90;21.09;71.31;
765 (s);12.49;4.77;66.03;502.55;493.31;2702.72;22.59;58.58;27.90;14.27;28.41;34.91;21.08;71.21;
775 (s);12.49;4.77;66.21;506.65;498.08;2702.82;22.59;58.55;27.91;14.27;28.40;34.91;21.08;71.28;
785 (s);12.48;4.77;65.98;506.91;494.46;2702.61;22.60;58.57;27.93;14.28;28.40;34.91;21.08;71.36;
795 (s);12.48;4.77;66.05;505.84;494.74;2702.89;22.61;58.60;27.93;14.28;28.40;34.90;21.08;71.26;
805 (s);12.47;4.78;66.25;506.52;496.43;2702.81;22.61;58.54;27.93;14.29;28.40;34.91;21.08;71.08;
815 (s);12.47;4.78;65.98;507.08;494.24;2702.69;22.62;58.56;27.93;14.30;28.40;34.91;21.07;71.37;
825 (s);12.46;4.78;66.19;504.07;493.78;2702.50;22.62;58.61;27.94;14.31;28.39;34.91;21.07;71.19;
835 (s);12.46;4.78;66.15;505.03;495.34;2702.80;22.62;58.63;27.95;14.31;28.39;34.92;21.06;71.11;
845 (s);12.46;4.78;66.22;506.59;497.15;2702.83;22.63;58.67;27.94;14.32;28.39;34.91;21.06;71.30;
855 (s);12.46;4.78;66.22;503.20;493.70;2702.62;22.63;58.66;27.94;14.33;28.40;34.89;21.06;71.13;
865 (s);12.45;4.78;66.22;506.58;496.96;2702.65;22.63;58.70;27.95;14.33;28.41;34.90;21.06;71.36;
875 (s);12.45;4.78;66.23;502.99;493.58;2702.75;22.63;58.75;27.95;14.34;28.42;34.90;21.06;71.14;
885 (s);12.44;4.78;66.24;504.16;494.14;2702.61;22.63;58.73;27.97;14.35;28.42;34.90;21.06;71.30;
895 (s);12.44;4.79;66.22;510.41;495.20;2702.61;22.64;58.71;27.97;14.36;28.43;34.90;21.06;71.01;
905 (s);12.44;4.79;66.23;503.42;493.19;2702.90;22.64;58.77;27.99;14.37;28.43;34.91;21.07;71.15;
915 (s);12.44;4.79;66.23;504.13;496.35;2702.66;22.65;58.80;27.98;14.37;28.43;34.92;21.07;71.22;
