Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);5.96;5.94;12.30;709.46;662.40;17594.53;21.95;22.02;21.93;21.27;20.70;21.93;21.24;0.01;
2 (s);5.96;5.94;11.93;702.92;660.64;17594.62;21.95;22.02;21.93;21.25;20.70;21.91;21.21;0.01;
3 (s);5.96;5.94;12.40;707.11;659.07;17598.17;21.95;22.02;21.93;21.24;20.70;21.87;21.17;0.01;
4 (s);5.96;5.94;12.42;700.42;658.20;17597.38;21.94;22.01;21.93;21.23;20.69;21.84;21.14;0.01;
5 (s);5.96;5.93;11.94;710.19;662.58;17597.16;21.94;22.01;21.93;21.21;20.69;21.81;21.10;0.01;
6 (s);5.95;5.93;12.15;715.12;656.11;17583.41;21.94;22.01;21.93;21.20;20.69;21.78;21.07;0.01;
7 (s);5.95;5.93;12.41;709.99;654.47;17578.50;21.94;22.00;21.93;21.19;20.69;21.77;21.06;0.01;
8 (s);5.95;5.93;12.16;713.88;660.44;17595.53;21.94;22.00;21.93;21.19;20.69;21.75;21.05;0.01;
9 (s);5.95;5.93;12.42;710.80;658.63;17594.12;21.94;22.00;21.93;21.18;20.69;21.73;21.03;0.01;
10 (s);5.95;5.93;12.41;711.38;654.46;17595.30;21.94;22.00;21.93;21.18;20.69;21.70;21.00;0.01;
11 (s);5.95;5.93;12.24;717.99;659.70;17595.26;21.94;21.99;21.93;21.17;20.69;21.67;20.99;0.02;
12 (s);5.95;5.93;11.92;710.51;656.26;17584.28;21.94;21.99;21.93;21.16;20.69;21.65;20.97;0.01;
13 (s);5.95;5.93;12.42;709.56;654.20;17591.70;21.94;21.99;21.93;21.16;20.69;21.63;20.96;0.02;
14 (s);5.95;5.92;12.36;717.64;656.01;17586.10;21.94;21.99;21.93;21.15;20.69;21.62;20.95;0.01;
15 (s);5.95;5.92;11.93;718.00;653.95;17593.71;21.94;21.99;21.93;21.15;20.69;21.60;20.94;0.01;
16 (s);5.95;5.92;12.16;715.43;656.12;17591.25;21.94;21.98;21.93;21.14;20.69;21.58;20.93;0.01;
17 (s);5.95;5.92;12.09;713.62;657.51;17594.00;21.95;21.98;21.93;21.14;20.69;21.56;20.92;0.01;
18 (s);5.94;5.92;12.41;720.93;660.33;17588.36;21.95;21.98;21.93;21.13;20.69;21.53;20.91;0.01;
19 (s);5.94;5.92;12.38;714.28;655.22;17590.00;21.95;21.98;21.93;21.13;20.69;21.51;20.90;0.01;
20 (s);5.94;5.92;12.06;718.42;655.49;17592.23;21.95;21.98;21.93;21.13;20.69;21.51;20.90;0.02;
21 (s);5.94;5.92;12.24;716.86;652.51;17596.71;21.95;21.98;21.93;21.12;20.69;21.50;20.89;0.01;
22 (s);5.94;5.92;12.07;716.61;655.71;17588.24;21.95;21.97;21.93;21.12;20.70;21.48;20.89;0.01;
23 (s);5.94;5.92;12.41;715.22;657.54;17580.57;21.95;21.97;21.93;21.12;20.70;21.46;20.88;0.01;
24 (s);5.94;5.92;12.41;719.94;660.38;17579.99;21.95;21.97;21.93;21.12;20.70;21.44;20.88;0.01;
25 (s);5.94;5.92;12.39;718.24;654.92;17591.54;21.96;21.97;21.93;21.11;20.70;21.43;20.87;0.01;
26 (s);5.94;5.92;12.25;719.71;653.52;17591.25;21.96;21.97;21.93;21.11;20.70;21.42;20.87;0.01;
27 (s);5.94;5.91;11.99;713.11;652.26;17595.62;21.95;21.97;21.93;21.10;20.71;21.41;20.87;0.02;
28 (s);5.94;5.91;11.92;715.43;653.48;17590.90;21.96;21.96;21.93;21.10;20.70;21.40;20.86;0.01;
29 (s);5.94;5.91;12.28;719.90;658.87;17582.45;21.96;21.96;21.93;21.10;20.71;21.38;20.86;0.01;
30 (s);5.94;5.91;12.40;713.85;657.05;17588.02;21.96;21.96;21.93;21.10;20.71;21.37;20.85;0.02;
31 (s);5.94;5.91;11.97;718.93;653.26;17588.49;21.96;21.96;21.93;21.10;20.71;21.36;20.85;0.01;
32 (s);5.94;5.91;11.99;720.45;656.17;17591.43;21.96;21.95;21.93;21.09;20.71;21.35;20.85;0.01;
33 (s);5.94;5.91;11.92;722.42;657.45;17593.46;21.96;21.95;21.93;21.09;20.71;21.34;20.85;0.01;
