Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.97;3.47;83.43;205.38;200.33;3517.91;14.04;49.77;22.53;4.82;20.75;33.74;9.57;75.40;
2 (s);9.97;3.47;83.43;206.92;200.09;3517.86;14.04;49.77;22.53;4.82;20.75;33.74;9.56;75.79;
3 (s);9.97;3.47;83.92;207.49;200.17;3517.94;14.02;49.80;22.53;4.81;20.75;33.77;9.54;75.47;
4 (s);9.98;3.47;83.92;207.21;201.43;3517.71;14.01;49.83;22.53;4.80;20.75;33.80;9.53;75.44;
5 (s);9.98;3.47;84.17;206.74;199.44;3517.81;13.99;49.87;22.54;4.81;20.75;33.83;9.51;75.52;
6 (s);9.98;3.47;84.17;206.26;201.33;3517.93;13.98;49.91;22.55;4.80;20.74;33.86;9.49;75.67;
7 (s);9.98;3.47;84.32;207.71;202.69;3518.06;13.97;49.94;22.55;4.80;20.74;33.89;9.47;75.23;
8 (s);9.99;3.47;84.35;207.32;202.31;3518.11;13.96;49.95;22.55;4.79;20.74;33.89;9.47;75.61;
9 (s);9.99;3.47;84.42;206.52;200.97;3518.04;13.95;49.97;22.55;4.78;20.74;33.92;9.45;75.58;
10 (s);9.99;3.47;84.41;206.66;201.21;3517.90;13.94;50.00;22.56;4.77;20.74;33.94;9.44;75.47;
11 (s);9.99;3.47;84.29;206.41;200.24;3518.05;13.93;50.03;22.56;4.78;20.74;33.97;9.42;75.64;
12 (s);10.00;3.47;84.41;207.01;201.52;3517.89;13.91;50.06;22.57;4.77;20.74;34.00;9.40;75.61;
13 (s);10.00;3.47;84.91;207.85;201.15;3517.94;13.90;50.09;22.57;4.77;20.74;34.02;9.39;75.58;
14 (s);10.00;3.47;84.92;206.85;201.69;3518.09;13.90;50.10;22.57;4.77;20.74;34.03;9.39;75.58;
15 (s);10.00;3.47;84.91;206.99;201.68;3517.88;13.89;50.12;22.57;4.76;20.74;34.05;9.38;75.58;
16 (s);10.01;3.47;84.90;206.44;200.35;3517.89;13.88;50.14;22.58;4.76;20.74;34.07;9.36;75.52;
17 (s);10.01;3.47;84.91;206.80;199.87;3517.98;13.87;50.16;22.58;4.76;20.75;34.09;9.35;75.40;
18 (s);10.01;3.47;84.90;207.09;201.80;3517.96;13.86;50.18;22.58;4.75;20.75;34.12;9.34;75.63;
19 (s);10.01;3.47;84.90;206.65;201.95;3517.93;13.85;50.20;22.59;4.75;20.75;34.14;9.32;75.53;
20 (s);10.01;3.46;84.91;207.36;201.54;3517.77;13.84;50.20;22.59;4.75;20.75;34.15;9.32;75.30;
21 (s);10.01;3.46;84.90;207.57;200.21;3517.97;13.83;50.22;22.59;4.74;20.75;34.17;9.31;75.47;
22 (s);10.02;3.46;84.90;206.29;200.71;3517.69;13.82;50.23;22.59;4.74;20.75;34.18;9.30;75.65;
23 (s);10.02;3.46;84.91;206.44;198.84;3518.05;13.82;50.23;22.59;4.74;20.75;34.20;9.29;75.50;
24 (s);10.02;3.46;84.90;205.88;200.88;3517.73;13.81;50.24;22.59;4.74;20.74;34.21;9.28;75.74;
25 (s);10.02;3.46;84.91;206.50;199.82;3517.99;13.80;50.23;22.59;4.74;20.75;34.23;9.27;75.78;
26 (s);10.02;3.46;84.90;205.54;202.55;3517.90;13.79;50.24;22.60;4.74;20.75;34.24;9.26;75.89;
27 (s);10.02;3.46;84.90;205.94;199.49;3517.84;13.79;50.24;22.60;4.74;20.75;34.24;9.26;75.49;
28 (s);10.02;3.46;84.90;206.61;199.12;3517.99;13.78;50.24;22.60;4.74;20.75;34.26;9.25;75.73;
29 (s);10.03;3.46;84.90;207.84;201.28;3517.96;13.77;50.24;22.60;4.72;20.75;34.28;9.24;76.06;
30 (s);10.03;3.46;84.90;207.60;200.39;3517.94;13.76;50.24;22.60;4.73;20.75;34.30;9.23;75.81;
31 (s);10.03;3.46;84.90;207.05;202.95;3517.85;13.75;50.25;22.60;4.73;20.75;34.32;9.22;75.66;
32 (s);10.03;3.46;84.91;207.57;200.41;3517.80;13.75;50.25;22.60;4.73;20.75;34.33;9.21;75.68;
33 (s);10.03;3.46;84.90;207.65;201.20;3517.89;13.74;50.25;22.60;4.73;20.75;34.34;9.21;75.89;
34 (s);10.03;3.46;84.90;207.72;201.53;3518.01;13.73;50.25;22.61;4.73;20.75;34.36;9.20;75.74;
35 (s);10.03;3.46;84.89;206.51;200.69;3517.82;13.73;50.26;22.61;4.73;20.75;34.37;9.20;75.52;
36 (s);10.03;3.46;84.91;207.46;202.46;3518.13;13.72;50.27;22.61;4.73;20.75;34.39;9.19;75.69;
37 (s);10.03;3.46;85.03;208.14;202.56;3518.09;13.71;50.27;22.61;4.73;20.74;34.40;9.19;75.91;
38 (s);10.03;3.46;84.94;207.59;201.19;3518.07;13.70;50.27;22.62;4.72;20.74;34.41;9.18;75.61;
39 (s);10.03;3.46;85.15;208.17;200.72;3518.03;13.70;50.28;22.62;4.73;20.74;34.42;9.18;75.53;
40 (s);10.03;3.46;85.64;208.40;202.97;3517.91;13.69;50.28;22.62;4.74;20.74;34.43;9.18;75.66;
41 (s);10.04;3.46;85.88;208.59;201.73;3517.80;13.68;50.28;22.62;4.73;20.74;34.45;9.17;75.55;
42 (s);10.04;3.46;85.88;207.46;200.40;3517.98;13.68;50.28;22.62;4.73;20.73;34.46;9.17;75.75;
43 (s);10.04;3.46;85.88;207.51;202.19;3518.20;13.67;50.28;22.63;4.73;20.73;34.47;9.16;75.86;
44 (s);10.04;3.46;85.88;206.81;201.86;3518.06;13.66;50.28;22.63;4.73;20.73;34.47;9.16;75.67;
45 (s);10.04;3.46;85.88;207.83;201.18;3518.14;13.66;50.28;22.63;4.73;20.73;34.47;9.16;75.27;
46 (s);10.04;3.46;85.88;208.87;201.85;3517.87;13.65;50.29;22.63;4.72;20.73;34.48;9.15;75.31;
47 (s);10.04;3.46;85.87;207.15;200.02;3518.16;13.65;50.29;22.63;4.72;20.73;34.49;9.15;75.94;
48 (s);10.04;3.46;85.90;207.40;201.47;3517.88;13.64;50.29;22.63;4.72;20.73;34.51;9.14;75.65;
49 (s);10.04;3.46;85.88;207.86;202.32;3517.89;13.63;50.30;22.63;4.73;20.73;34.53;9.14;75.64;
