Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.22;3.35;42.78;349.36;201.85;3042.18;12.37;48.55;22.90;3.80;20.44;30.37;8.29;64.21;
10 (s);9.22;3.35;42.72;349.64;200.21;3042.10;12.37;48.53;22.87;3.77;20.44;30.31;8.29;64.06;
15 (s);9.21;3.35;42.83;347.79;198.67;3042.10;12.38;48.51;22.86;3.76;20.45;30.27;8.29;64.42;
20 (s);9.21;3.35;42.73;347.09;197.98;3042.15;12.38;48.52;22.88;3.75;20.45;30.24;8.29;63.96;
25 (s);9.21;3.35;42.72;349.13;200.43;3042.17;12.39;48.51;22.86;3.74;20.46;30.22;8.28;64.28;
30 (s);9.20;3.34;42.72;346.91;201.25;3042.20;12.40;48.52;22.84;3.73;20.45;30.19;8.28;64.10;
35 (s);9.20;3.34;42.73;348.33;200.95;3042.13;12.40;48.54;22.84;3.73;20.45;30.16;8.29;64.09;
40 (s);9.20;3.34;42.70;346.59;200.92;3042.25;12.40;48.54;22.82;3.72;20.46;30.14;8.30;64.22;
45 (s);9.20;3.34;42.71;347.10;199.44;3042.21;12.40;48.56;22.84;3.70;20.48;30.13;8.31;64.26;
50 (s);9.20;3.34;42.71;346.28;198.55;3042.16;12.41;48.60;22.82;3.70;20.48;30.13;8.30;64.01;
55 (s);9.20;3.34;42.71;347.62;200.00;3042.21;12.41;48.64;22.81;3.69;20.50;30.11;8.28;63.98;
60 (s);9.20;3.34;42.72;346.05;199.30;3042.21;12.42;48.64;22.79;3.68;20.49;30.08;8.27;64.06;
65 (s);9.19;3.34;42.71;349.55;201.96;3042.16;12.43;48.66;22.79;3.68;20.49;30.07;8.27;63.95;
70 (s);9.19;3.34;42.72;348.95;200.16;3042.10;12.43;48.69;22.78;3.67;20.48;30.05;8.27;64.16;
75 (s);9.18;3.34;42.72;350.02;202.56;3042.01;12.44;48.69;22.77;3.66;20.49;30.02;8.28;63.93;
80 (s);9.17;3.33;42.72;349.33;200.78;3042.22;12.44;48.70;22.76;3.63;20.49;29.98;8.28;64.09;
85 (s);9.17;3.33;42.72;347.51;202.46;3042.29;12.44;48.70;22.77;3.60;20.49;29.95;8.28;63.98;
90 (s);9.17;3.33;42.72;348.95;201.85;3042.13;12.43;48.67;22.78;3.58;20.51;29.92;8.27;64.09;
95 (s);9.17;3.33;42.71;347.26;199.69;3042.20;12.43;48.67;22.77;3.57;20.52;29.91;8.26;63.99;
100 (s);9.17;3.32;42.71;345.80;200.24;3042.16;12.42;48.71;22.75;3.54;20.52;29.89;8.25;63.89;
105 (s);9.17;3.32;42.71;348.18;202.57;3042.20;12.42;48.71;22.75;3.51;20.50;29.89;8.24;63.99;
110 (s);9.17;3.32;42.71;348.52;200.76;3042.11;12.41;48.72;22.74;3.50;20.51;29.88;8.22;63.94;
115 (s);9.17;3.32;42.72;348.74;199.44;3042.07;12.41;48.73;22.71;3.49;20.51;29.86;8.21;63.82;
120 (s);9.17;3.31;42.71;347.67;203.13;3042.14;12.41;48.72;22.72;3.48;20.52;29.86;8.21;63.97;
125 (s);9.17;3.31;42.71;349.51;200.77;3042.15;12.41;48.71;22.70;3.47;20.53;29.85;8.20;63.93;
130 (s);9.18;3.31;42.70;349.10;201.92;3042.19;12.41;48.70;22.68;3.47;20.54;29.84;8.20;63.96;
135 (s);9.17;3.31;42.73;348.77;200.56;3042.01;12.42;48.70;22.71;3.47;20.53;29.85;8.19;63.96;
140 (s);9.18;3.31;42.72;347.18;200.49;3042.37;12.42;48.67;22.65;3.46;20.53;29.85;8.20;64.21;
145 (s);9.18;3.31;42.72;347.71;202.88;3042.07;12.43;48.67;22.66;3.46;20.52;29.85;8.21;63.98;
150 (s);9.18;3.31;42.71;348.84;200.62;3042.34;12.44;48.68;22.67;3.46;20.51;29.84;8.21;64.44;
155 (s);9.18;3.31;42.72;348.12;200.97;3042.38;12.44;48.66;22.64;3.44;20.51;29.83;8.21;64.52;
160 (s);9.18;3.31;42.72;346.80;200.84;3042.35;12.44;48.63;22.66;3.44;20.52;29.83;8.21;64.28;
165 (s);9.18;3.31;42.64;348.11;202.61;3042.10;12.44;48.60;22.67;3.43;20.53;29.83;8.21;64.33;
170 (s);9.19;3.31;42.71;347.87;199.53;3042.22;12.45;48.63;22.66;3.43;20.55;29.82;8.21;64.40;
175 (s);9.18;3.31;42.72;349.15;200.90;3042.21;12.45;48.62;22.62;3.42;20.55;29.80;8.21;64.11;
180 (s);9.19;3.31;42.71;348.54;203.78;3042.26;12.45;48.61;22.62;3.41;20.55;29.80;8.22;64.27;
