Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.33;3.45;41.00;196.36;348.44;3042.36;13.71;46.25;22.18;4.66;20.17;34.36;11.64;66.85;
10 (s);10.33;3.46;41.02;197.10;347.76;3042.51;13.72;46.31;22.18;4.67;20.17;34.38;11.66;66.87;
15 (s);10.34;3.46;40.93;198.02;349.43;3042.35;13.73;46.34;22.19;4.70;20.18;34.38;11.69;66.93;
20 (s);10.35;3.46;41.01;197.33;346.89;3042.45;13.75;46.40;22.19;4.71;20.17;34.38;11.71;66.99;
25 (s);10.36;3.46;41.02;198.61;350.39;3042.55;13.77;46.44;22.16;4.72;20.16;34.38;11.74;67.02;
30 (s);10.36;3.46;41.00;196.76;347.06;3042.59;13.79;46.46;22.17;4.73;20.16;34.39;11.76;66.96;
35 (s);10.37;3.46;41.01;197.89;347.77;3042.50;13.81;46.51;22.17;4.73;20.16;34.40;11.78;67.00;
40 (s);10.38;3.46;41.25;195.56;346.39;3042.47;13.82;46.51;22.15;4.74;20.16;34.41;11.79;67.12;
45 (s);10.38;3.46;41.37;198.29;349.40;3042.43;13.84;46.49;22.15;4.74;20.15;34.42;11.81;67.22;
50 (s);10.39;3.47;41.35;197.76;345.20;3042.54;13.85;46.52;22.17;4.75;20.15;34.42;11.83;67.16;
55 (s);10.40;3.47;41.08;197.41;347.53;3042.56;13.87;46.56;22.15;4.75;20.14;34.40;11.84;67.24;
60 (s);10.40;3.46;41.39;198.10;350.22;3042.67;13.89;46.58;22.15;4.74;20.13;34.40;11.86;67.08;
65 (s);10.41;3.47;41.24;196.53;348.82;3042.58;13.90;46.58;22.13;4.75;20.14;34.41;11.87;67.12;
70 (s);10.41;3.46;41.40;196.50;346.44;3042.57;13.92;46.55;22.15;4.74;20.16;34.40;11.88;67.29;
75 (s);10.42;3.46;41.43;196.48;349.35;3042.46;13.94;46.57;22.16;4.72;20.16;34.42;11.89;67.22;
80 (s);10.43;3.46;41.48;196.46;347.07;3042.43;13.96;46.59;22.17;4.74;20.16;34.42;11.91;67.29;
85 (s);10.43;3.47;41.73;197.53;348.62;3042.60;13.98;46.62;22.14;4.76;20.15;34.43;11.92;67.22;
90 (s);10.44;3.47;42.21;197.78;348.16;3042.44;13.99;46.64;22.13;4.77;20.16;34.41;11.94;67.34;
95 (s);10.44;3.47;42.69;198.75;345.76;3042.52;14.00;46.66;22.14;4.76;20.15;34.42;11.95;67.25;
100 (s);10.45;3.47;43.44;196.61;348.11;3042.54;14.02;46.64;22.13;4.77;20.15;34.43;11.96;67.34;
105 (s);10.45;3.47;44.21;197.02;349.67;3042.46;14.03;46.65;22.13;4.79;20.15;34.43;11.97;67.37;
110 (s);10.46;3.47;44.91;197.56;349.46;3042.61;14.05;46.67;22.15;4.80;20.15;34.43;11.98;67.18;
115 (s);10.46;3.47;45.15;196.22;347.52;3042.53;14.07;46.68;22.14;4.81;20.15;34.43;11.99;67.22;
120 (s);10.47;3.47;45.16;196.31;349.19;3042.71;14.09;46.72;22.15;4.82;20.16;34.43;12.01;67.38;
125 (s);10.47;3.48;46.57;196.54;345.51;3042.78;14.10;46.77;22.14;4.84;20.16;34.45;12.01;67.37;
130 (s);10.48;3.48;46.82;196.60;346.63;3042.71;14.12;46.79;22.13;4.86;20.17;34.45;12.02;67.30;
135 (s);10.48;3.48;47.30;197.42;348.35;3042.64;14.13;46.78;22.13;4.86;20.16;34.47;12.03;67.44;
140 (s);10.48;3.48;47.07;198.60;347.98;3042.65;14.15;46.77;22.12;4.89;20.15;34.48;12.04;67.42;
145 (s);10.48;3.48;47.30;197.77;348.05;3042.49;14.16;46.80;22.14;4.89;20.15;34.48;12.06;67.48;
150 (s);10.49;3.48;47.72;197.38;349.98;3042.70;14.18;46.79;22.14;4.90;20.15;34.49;12.07;67.46;
155 (s);10.49;3.48;48.53;198.31;350.55;3042.64;14.20;46.80;22.18;4.90;20.15;34.50;12.08;67.45;
160 (s);10.49;3.49;48.54;196.75;350.43;3042.59;14.21;46.84;22.17;4.92;20.15;34.51;12.08;67.44;
165 (s);10.49;3.49;48.98;197.59;348.70;3042.59;14.22;46.89;22.15;4.93;20.16;34.51;12.09;67.48;
170 (s);10.50;3.49;49.70;198.15;350.00;3042.47;14.24;46.90;22.14;4.95;20.15;34.52;12.10;67.52;
175 (s);10.50;3.49;49.51;198.11;349.88;3042.54;14.25;46.89;22.15;4.95;20.16;34.54;12.10;67.55;
180 (s);10.50;3.49;49.99;198.12;348.88;3042.66;14.26;46.92;22.15;4.96;20.16;34.54;12.10;67.67;
