Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);11.93;3.73;87.31;106.90;204.79;3180.35;16.05;57.89;24.20;6.87;21.99;39.54;11.76;75.95;
2 (s);11.93;3.73;87.33;109.06;205.09;3180.19;16.05;57.88;24.20;6.87;22.00;39.56;11.75;75.87;
3 (s);11.92;3.73;87.32;108.67;206.17;3180.12;16.04;57.88;24.20;6.87;22.00;39.59;11.75;75.71;
4 (s);11.92;3.73;87.32;107.87;204.09;3180.31;16.04;57.88;24.20;6.88;22.00;39.59;11.75;75.67;
5 (s);11.92;3.73;87.33;109.08;204.94;3180.09;16.04;57.88;24.21;6.88;22.00;39.61;11.74;75.52;
6 (s);11.92;3.73;87.31;109.05;204.41;3180.22;16.04;57.88;24.21;6.88;22.00;39.63;11.73;75.45;
7 (s);11.92;3.73;87.11;107.79;208.02;3180.26;16.03;57.89;24.21;6.88;22.00;39.66;11.72;75.68;
8 (s);11.92;3.73;87.32;107.75;206.47;3180.09;16.03;57.89;24.22;6.89;22.00;39.68;11.71;75.74;
9 (s);11.91;3.73;87.22;109.23;205.44;3180.37;16.02;57.88;24.22;6.89;22.00;39.70;11.70;75.87;
10 (s);11.91;3.73;87.33;108.23;204.84;3180.31;16.02;57.88;24.22;6.89;22.00;39.71;11.70;75.82;
11 (s);11.91;3.73;87.20;108.98;205.78;3180.29;16.02;57.87;24.22;6.89;22.00;39.72;11.70;75.77;
12 (s);11.91;3.73;87.25;109.66;207.87;3179.96;16.02;57.86;24.23;6.89;22.00;39.74;11.69;75.67;
13 (s);11.91;3.73;87.33;107.66;207.03;3180.06;16.01;57.85;24.23;6.90;22.00;39.77;11.68;75.66;
14 (s);11.91;3.73;87.32;110.39;205.47;3180.17;16.01;57.84;24.23;6.89;22.00;39.79;11.67;75.50;
15 (s);11.91;3.73;87.32;108.25;205.07;3180.24;16.00;57.83;24.23;6.89;22.00;39.81;11.67;75.43;
16 (s);11.91;3.73;87.32;110.02;206.65;3180.04;16.00;57.82;24.24;6.89;22.00;39.82;11.67;75.39;
17 (s);11.91;3.73;87.32;109.14;201.72;3180.45;16.00;57.82;24.24;6.89;22.00;39.83;11.66;75.38;
18 (s);11.91;3.73;87.17;107.94;190.91;3180.37;15.99;57.81;24.25;6.89;22.00;39.85;11.66;75.53;
19 (s);11.91;3.73;87.32;107.47;202.12;3180.27;15.99;57.80;24.25;6.89;22.00;39.87;11.65;75.59;
20 (s);11.90;3.73;87.32;108.67;206.86;3180.25;15.98;57.80;24.26;6.90;22.00;39.89;11.64;75.70;
21 (s);11.90;3.73;87.32;108.11;204.83;3180.00;15.98;57.80;24.26;6.90;22.00;39.91;11.63;75.74;
22 (s);11.90;3.73;87.32;109.75;206.48;3180.19;15.97;57.80;24.26;6.90;22.00;39.92;11.62;75.79;
23 (s);11.90;3.73;87.09;108.05;204.45;3180.09;15.97;57.80;24.27;6.91;22.00;39.93;11.62;75.69;
24 (s);11.90;3.73;87.32;108.47;202.59;3180.05;15.97;57.79;24.27;6.91;22.00;39.95;11.61;75.62;
25 (s);11.90;3.73;87.32;108.20;205.88;3180.29;15.96;57.78;24.27;6.92;22.00;39.97;11.60;75.49;
26 (s);11.90;3.73;87.30;109.32;205.49;3180.13;15.96;57.78;24.27;6.91;22.00;39.99;11.59;75.46;
27 (s);11.90;3.73;87.30;109.19;204.26;3180.12;15.95;57.79;24.28;6.92;22.00;40.01;11.58;75.41;
28 (s);11.90;3.73;87.33;109.12;208.29;3180.14;15.95;57.79;24.28;6.92;22.00;40.03;11.58;75.40;
29 (s);11.90;3.73;87.33;108.45;203.86;3180.08;15.95;57.79;24.28;6.92;22.00;40.03;11.58;75.45;
30 (s);11.90;3.74;87.32;109.36;203.21;3180.08;15.94;57.79;24.29;6.93;22.00;40.05;11.57;75.48;
31 (s);11.90;3.74;87.26;109.94;204.47;3180.16;15.94;57.79;24.30;6.94;22.00;40.07;11.56;75.63;
32 (s);11.89;3.74;87.28;108.66;205.06;3180.13;15.93;57.80;24.30;6.93;22.00;40.10;11.56;75.68;
33 (s);11.89;3.74;87.31;109.45;206.46;3180.39;15.93;57.80;24.31;6.94;21.99;40.12;11.55;75.71;
34 (s);11.90;3.74;87.31;108.00;206.84;3180.21;15.92;57.80;24.31;6.93;21.99;40.13;11.55;75.69;
35 (s);11.89;3.74;87.33;109.90;205.80;3180.26;15.92;57.80;24.31;6.94;21.99;40.14;11.54;75.73;
36 (s);11.89;3.74;87.13;109.12;203.97;3180.18;15.92;57.81;24.32;6.95;21.99;40.15;11.54;75.62;
37 (s);11.89;3.74;87.19;108.98;206.39;3180.30;15.91;57.81;24.32;6.95;21.99;40.17;11.54;75.58;
38 (s);11.89;3.74;87.16;108.21;208.95;3180.09;15.91;57.81;24.33;6.94;21.99;40.19;11.53;75.52;
39 (s);11.89;3.74;87.31;107.55;205.08;3180.01;15.91;57.81;24.34;6.95;21.99;40.21;11.53;75.45;
40 (s);11.89;3.74;87.31;109.18;204.97;3180.09;15.90;57.82;24.34;6.96;21.98;40.22;11.52;75.31;
41 (s);11.89;3.74;87.32;107.77;205.39;3180.10;15.90;57.82;24.35;6.97;21.98;40.23;11.52;75.33;
42 (s);11.89;3.74;87.32;108.82;205.77;3180.29;15.90;57.83;24.35;6.97;21.98;40.24;11.52;75.42;
43 (s);11.89;3.74;87.11;109.92;205.14;3180.28;15.90;57.83;24.35;6.97;21.98;40.26;11.51;75.46;
44 (s);11.89;3.74;87.32;110.37;206.75;3180.37;15.89;57.84;24.36;6.98;21.98;40.28;11.51;75.45;
45 (s);11.89;3.74;87.33;109.18;205.71;3180.25;15.89;57.83;24.36;6.98;21.98;40.29;11.50;75.64;
46 (s);11.88;3.74;87.22;108.88;203.17;3180.38;15.89;57.83;24.37;6.98;21.98;40.31;11.49;75.64;
