Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.96;3.83;58.23;159.24;328.09;3576.25;15.84;52.08;27.96;7.64;23.27;40.73;13.87;85.65;
10 (s);11.97;3.83;58.03;160.68;330.21;3575.90;15.84;52.12;27.95;7.63;23.27;40.73;13.86;85.36;
15 (s);11.97;3.82;57.50;160.16;325.57;3575.95;15.84;52.17;27.96;7.62;23.26;40.73;13.85;85.37;
20 (s);11.97;3.82;57.50;159.90;324.46;3576.18;15.84;52.19;27.97;7.62;23.26;40.73;13.85;85.48;
25 (s);11.97;3.82;57.49;157.30;329.62;3575.96;15.83;52.20;27.99;7.62;23.25;40.74;13.85;85.44;
30 (s);11.97;3.82;57.75;158.18;327.69;3576.23;15.82;52.22;28.01;7.61;23.25;40.75;13.85;85.58;
35 (s);11.97;3.82;57.49;158.22;327.57;3576.03;15.82;52.27;28.01;7.60;23.25;40.76;13.85;85.28;
40 (s);11.98;3.82;57.50;159.58;329.61;3576.06;15.82;52.31;28.00;7.60;23.25;40.76;13.84;85.68;
45 (s);11.98;3.82;57.50;158.00;327.43;3576.24;15.82;52.34;28.01;7.60;23.25;40.77;13.83;85.25;
50 (s);11.98;3.82;57.27;158.40;327.44;3576.49;15.81;52.36;28.03;7.59;23.24;40.77;13.83;85.61;
55 (s);11.98;3.82;57.43;161.95;329.85;3575.88;15.80;52.41;28.02;7.58;23.25;40.78;13.83;85.32;
60 (s);11.98;3.82;56.99;158.11;325.74;3576.47;15.80;52.45;28.04;7.59;23.25;40.78;13.82;85.65;
65 (s);11.98;3.82;56.58;158.68;326.99;3576.40;15.79;52.48;28.03;7.58;23.25;40.79;13.82;85.41;
70 (s);11.98;3.82;56.76;157.10;326.46;3576.26;15.79;52.50;28.03;7.57;23.25;40.80;13.82;85.72;
75 (s);11.99;3.82;56.40;160.18;326.85;3576.31;15.79;52.54;28.05;7.57;23.25;40.81;13.82;85.40;
80 (s);11.99;3.82;56.91;159.42;328.06;3576.33;15.78;52.57;28.08;7.56;23.25;40.80;13.82;85.53;
85 (s);11.99;3.82;56.77;161.82;328.96;3576.23;15.78;52.62;28.09;7.57;23.24;40.81;13.82;85.63;
90 (s);11.99;3.82;56.50;161.29;324.86;3576.43;15.77;52.66;28.09;7.56;23.23;40.81;13.81;85.37;
95 (s);11.99;3.82;56.26;158.07;326.64;3576.26;15.77;52.69;28.10;7.55;23.23;40.81;13.81;85.54;
100 (s);12.00;3.82;56.29;158.67;326.47;3576.33;15.77;52.69;28.09;7.56;23.22;40.80;13.81;85.79;
105 (s);12.00;3.81;56.47;157.87;326.18;3576.42;15.77;52.72;28.10;7.54;23.22;40.80;13.80;85.45;
110 (s);11.99;3.81;56.52;160.16;329.39;3576.28;15.76;52.78;28.10;7.54;23.21;40.81;13.79;85.47;
115 (s);12.00;3.81;56.35;160.29;325.78;3576.51;15.75;52.81;28.10;7.53;23.21;40.82;13.79;85.65;
120 (s);12.00;3.81;56.54;159.22;326.21;3576.43;15.75;52.84;28.11;7.52;23.21;40.84;13.79;85.68;
125 (s);12.00;3.81;56.66;159.98;326.78;3576.33;15.74;52.89;28.10;7.53;23.20;40.84;13.78;85.42;
130 (s);12.00;3.81;56.51;157.34;326.46;3576.34;15.74;52.91;28.11;7.52;23.20;40.84;13.78;85.52;
135 (s);12.01;3.81;56.44;159.04;328.14;3576.23;15.74;52.91;28.09;7.52;23.20;40.84;13.78;85.67;
140 (s);12.01;3.81;56.29;156.83;324.84;3575.83;15.73;52.98;28.11;7.51;23.20;40.84;13.77;85.66;
145 (s);12.01;3.81;56.28;160.12;325.39;3575.72;15.73;53.02;28.10;7.50;23.20;40.84;13.78;85.49;
150 (s);12.02;3.81;56.27;157.54;330.28;3575.77;15.73;53.06;28.11;7.50;23.20;40.84;13.78;85.45;
156 (s);12.02;3.81;56.27;160.57;326.60;3575.38;15.73;53.09;28.14;7.49;23.20;40.85;13.78;85.56;
161 (s);12.02;3.81;56.27;157.51;326.93;3575.85;15.72;53.12;28.15;7.49;23.20;40.86;13.77;85.77;
166 (s);12.02;3.81;56.28;160.26;328.58;3575.43;15.72;53.13;28.12;7.49;23.20;40.86;13.77;85.69;
171 (s);12.02;3.81;56.28;160.43;326.89;3575.29;15.71;53.16;28.13;7.48;23.20;40.87;13.77;85.77;
176 (s);12.02;3.81;56.24;159.80;326.11;3575.38;15.71;53.20;28.14;7.47;23.20;40.87;13.77;85.71;
181 (s);12.02;3.80;56.26;159.27;325.10;3575.49;15.71;53.23;28.15;7.47;23.20;40.88;13.77;85.68;
186 (s);12.02;3.80;56.28;157.30;329.25;3575.23;15.70;53.24;28.16;7.47;23.19;40.89;13.77;85.71;
191 (s);12.02;3.80;56.28;160.00;327.54;3575.56;15.69;53.27;28.15;7.45;23.19;40.90;13.77;85.74;
196 (s);12.03;3.80;56.02;160.58;328.09;3575.15;15.68;53.31;28.16;7.47;23.18;40.91;13.77;85.79;
201 (s);12.03;3.80;56.00;159.94;327.68;3575.17;15.67;53.36;28.16;7.46;23.17;40.92;13.77;85.78;
206 (s);12.03;3.80;56.07;157.59;326.00;3575.24;15.67;53.38;28.15;7.45;23.17;40.92;13.76;85.72;
211 (s);12.03;3.80;56.05;157.87;327.92;3574.99;15.68;53.41;28.16;7.45;23.17;40.92;13.76;85.61;
216 (s);12.03;3.80;56.07;160.11;327.49;3574.74;15.68;53.43;28.16;7.45;23.17;40.92;13.76;85.58;
221 (s);12.03;3.80;55.81;159.27;325.37;3574.91;15.68;53.48;28.16;7.44;23.17;40.92;13.75;85.59;
226 (s);12.04;3.80;56.06;157.76;325.45;3574.91;15.68;53.51;28.17;7.44;23.16;40.93;13.75;85.40;
231 (s);12.03;3.80;55.79;157.87;327.32;3574.77;15.68;53.53;28.17;7.43;23.15;40.93;13.75;85.50;
236 (s);12.04;3.80;55.84;159.80;327.98;3575.03;15.68;53.55;28.19;7.43;23.15;40.93;13.75;85.54;
241 (s);12.04;3.80;56.02;156.16;325.32;3574.91;15.68;53.57;28.19;7.41;23.14;40.93;13.75;85.75;
246 (s);12.04;3.80;56.02;155.87;326.95;3574.95;15.68;53.56;28.18;7.40;23.14;40.94;13.75;85.79;
251 (s);12.05;3.80;56.03;156.04;328.57;3574.88;15.68;53.58;28.17;7.41;23.15;40.94;13.74;85.73;
256 (s);12.05;3.80;55.95;156.37;325.03;3575.08;15.68;53.63;28.17;7.40;23.15;40.95;13.74;85.50;
261 (s);12.05;3.80;56.03;158.81;327.41;3574.81;15.67;53.68;28.17;7.40;23.15;40.95;13.74;85.43;
266 (s);12.05;3.80;56.02;157.65;324.89;3574.90;15.67;53.72;28.15;7.39;23.16;40.96;13.73;85.75;
271 (s);12.06;3.80;55.92;156.55;328.04;3575.01;15.68;53.74;28.15;7.39;23.16;40.96;13.74;85.70;
276 (s);12.05;3.79;56.04;157.81;322.47;3575.26;15.67;53.80;28.16;7.39;23.17;40.96;13.74;85.60;
281 (s);12.06;3.80;55.96;156.74;328.49;3575.07;15.67;53.83;28.16;7.39;23.17;40.97;13.74;85.46;
286 (s);12.06;3.79;56.03;155.77;326.20;3575.03;15.67;53.84;28.16;7.37;23.17;40.97;13.73;85.80;
