Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.88;3.39;51.67;207.44;199.97;3042.76;12.74;49.50;22.24;4.11;20.62;34.08;8.53;65.74;
2 (s);9.88;3.39;51.67;207.45;200.59;3042.78;12.74;49.49;22.23;4.11;20.62;34.08;8.53;65.83;
3 (s);9.88;3.39;51.68;208.15;199.77;3042.89;12.74;49.49;22.22;4.11;20.62;34.08;8.53;65.86;
4 (s);9.88;3.39;51.67;206.99;199.76;3042.93;12.74;49.49;22.22;4.11;20.63;34.08;8.53;65.89;
5 (s);9.88;3.39;51.67;207.42;200.64;3042.72;12.74;49.49;22.23;4.11;20.62;34.08;8.53;65.92;
6 (s);9.88;3.39;51.67;205.14;199.49;3042.87;12.74;49.49;22.23;4.12;20.62;34.08;8.53;65.83;
7 (s);9.88;3.39;51.66;205.75;199.57;3042.59;12.74;49.50;22.22;4.11;20.62;34.08;8.53;65.96;
8 (s);9.88;3.39;51.67;205.57;199.50;3042.59;12.74;49.50;22.21;4.12;20.62;34.09;8.53;65.91;
9 (s);9.88;3.39;51.66;206.37;199.40;3042.74;12.74;49.50;22.23;4.10;20.61;34.09;8.53;65.84;
10 (s);9.88;3.39;51.66;205.50;199.08;3042.81;12.74;49.51;22.23;4.12;20.61;34.09;8.53;65.80;
11 (s);9.88;3.39;51.67;206.77;198.37;3042.73;12.74;49.51;22.23;4.12;20.62;34.09;8.53;65.86;
12 (s);9.88;3.39;51.67;206.14;198.56;3042.91;12.74;49.51;22.23;4.11;20.62;34.09;8.53;65.87;
13 (s);9.88;3.39;51.68;206.53;199.58;3042.70;12.74;49.52;22.23;4.11;20.62;34.09;8.53;65.77;
14 (s);9.88;3.39;51.66;205.58;199.12;3042.68;12.74;49.52;22.23;4.11;20.62;34.09;8.53;65.80;
15 (s);9.88;3.39;51.67;204.98;200.17;3042.58;12.74;49.52;22.24;4.11;20.62;34.09;8.53;65.88;
16 (s);9.88;3.39;51.66;205.91;199.66;3043.01;12.74;49.53;22.25;4.12;20.62;34.10;8.52;65.84;
17 (s);9.88;3.39;51.67;205.43;200.55;3042.86;12.74;49.53;22.26;4.12;20.62;34.09;8.52;65.95;
18 (s);9.88;3.39;51.66;205.43;199.02;3042.73;12.74;49.53;22.26;4.12;20.62;34.09;8.52;65.98;
19 (s);9.88;3.39;51.67;204.45;199.15;3042.83;12.74;49.54;22.27;4.11;20.62;34.10;8.52;65.93;
20 (s);9.88;3.39;51.67;205.08;198.38;3042.61;12.74;49.55;22.26;4.12;20.62;34.10;8.52;65.88;
21 (s);9.89;3.39;51.68;204.86;197.43;3042.75;12.74;49.55;22.26;4.11;20.62;34.10;8.52;65.66;
22 (s);9.89;3.39;51.67;204.85;196.86;3042.56;12.74;49.55;22.25;4.11;20.62;34.10;8.52;65.72;
