Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.05;3.45;47.04;646.62;564.97;3434.91;13.55;39.49;20.14;4.62;20.43;25.99;13.62;73.76;
20 (s);9.06;3.45;46.79;644.60;564.78;3435.07;13.58;39.56;20.16;4.62;20.44;25.97;13.65;73.41;
30 (s);9.07;3.45;46.81;644.45;565.25;3435.03;13.62;39.63;20.16;4.65;20.46;25.96;13.66;73.83;
40 (s);9.08;3.45;46.80;645.31;565.62;3435.08;13.64;39.80;20.14;4.65;20.47;25.96;13.69;73.37;
50 (s);9.09;3.45;46.79;646.98;568.15;3435.04;13.66;39.70;20.14;4.65;20.48;25.96;13.71;73.98;
60 (s);9.11;3.45;46.79;648.60;566.84;3435.02;13.67;40.00;20.14;4.65;20.47;25.97;13.73;73.72;
70 (s);9.11;3.45;46.82;643.71;566.82;3435.16;13.68;40.00;20.14;4.63;20.45;25.97;13.75;73.41;
80 (s);9.12;3.45;46.81;643.86;568.38;3435.13;13.70;40.06;20.14;4.63;20.45;25.97;13.77;73.36;
90 (s);9.14;3.45;47.06;645.53;567.58;3435.10;13.72;40.06;20.12;4.63;20.46;25.97;13.78;73.40;
100 (s);9.15;3.45;46.79;651.34;570.02;3434.99;13.75;40.15;20.11;4.60;20.47;25.97;13.78;73.42;
110 (s);9.16;3.45;47.39;643.30;567.17;3435.03;13.76;40.13;20.13;4.61;20.49;25.96;13.80;73.51;
120 (s);9.17;3.45;47.32;645.55;566.90;3435.07;13.78;40.30;20.12;4.60;20.50;25.96;13.82;73.79;
130 (s);9.18;3.44;47.79;647.14;568.01;3435.27;13.81;40.36;20.13;4.56;20.50;25.95;13.84;74.10;
140 (s);9.19;3.44;48.00;647.97;571.34;3435.19;13.85;40.63;20.13;4.55;20.49;25.96;13.87;74.16;
150 (s);9.20;3.44;48.02;648.21;567.93;3435.46;13.89;40.75;20.11;4.53;20.49;25.96;13.89;74.03;
160 (s);9.21;3.44;48.03;645.77;567.11;3435.39;13.92;40.72;20.13;4.53;20.49;25.96;13.91;73.62;
170 (s);9.22;3.44;49.49;645.01;568.20;3435.25;13.95;40.79;20.14;4.52;20.50;25.97;13.92;73.84;
180 (s);9.23;3.44;49.48;649.93;572.41;3435.09;13.97;40.52;20.14;4.53;20.50;25.97;13.93;73.94;
190 (s);9.24;3.44;50.45;648.11;568.76;3435.29;13.99;40.66;20.16;4.53;20.50;25.98;13.94;73.99;
200 (s);9.24;3.44;51.65;645.71;566.39;3435.24;14.01;40.93;20.18;4.55;20.50;25.99;13.96;73.97;
210 (s);9.25;3.44;52.26;646.33;572.44;3435.30;14.03;40.89;20.21;4.55;20.48;26.00;13.95;74.24;
221 (s);9.25;3.44;53.44;650.31;573.11;3435.54;14.04;41.05;20.20;4.55;20.52;26.00;13.96;73.89;
231 (s);9.26;3.44;54.58;643.69;569.22;3435.53;14.06;41.13;20.23;4.57;20.51;26.01;13.97;74.39;
241 (s);9.26;3.45;55.52;648.18;572.37;3435.34;14.08;41.33;20.23;4.59;20.51;26.02;13.98;74.23;
251 (s);9.26;3.45;56.56;650.30;573.98;3435.24;14.10;41.34;20.26;4.62;20.52;26.03;13.97;73.98;
261 (s);9.27;3.45;56.76;651.09;573.73;3435.46;14.11;41.34;20.28;4.65;20.52;26.04;13.98;74.31;
271 (s);9.27;3.46;56.78;649.88;575.74;3435.46;14.14;41.54;20.27;4.69;20.54;26.05;13.98;74.58;
281 (s);9.27;3.46;57.24;646.27;573.08;3435.66;14.16;41.71;20.27;4.71;20.55;26.06;13.98;74.64;
291 (s);9.28;3.46;57.23;647.16;574.30;3435.42;14.17;41.58;20.29;4.72;20.59;26.07;13.99;74.51;
301 (s);9.28;3.47;57.25;652.39;573.97;3435.19;14.18;41.63;20.28;4.75;20.62;26.09;14.00;74.25;
311 (s);9.28;3.47;57.49;653.50;574.62;3435.48;14.19;41.91;20.31;4.76;20.61;26.12;14.01;74.38;
321 (s);9.29;3.47;57.71;648.54;573.37;3435.79;14.20;41.97;20.30;4.79;20.62;26.14;14.02;74.50;
331 (s);9.29;3.47;58.18;648.97;571.06;3435.50;14.22;42.05;20.31;4.82;20.63;26.16;14.03;74.39;
341 (s);9.29;3.47;58.22;651.62;574.22;3435.57;14.22;42.15;20.33;4.82;20.64;26.18;14.03;74.52;
