Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.72;3.99;64.99;658.81;546.13;2973.43;17.14;57.68;24.15;8.83;24.44;31.03;16.24;70.92;
20 (s);10.65;4.01;65.01;659.96;542.95;2976.66;17.23;57.44;24.14;9.03;24.47;31.01;16.41;70.90;
30 (s);10.63;4.03;61.39;658.56;542.32;2975.98;17.30;57.20;24.11;9.13;24.48;30.95;16.55;70.89;
40 (s);10.62;4.03;59.06;661.46;545.45;2976.24;17.36;57.15;24.08;9.19;24.52;30.91;16.62;70.80;
50 (s);10.62;4.04;58.73;659.09;544.77;2975.43;17.39;57.07;24.06;9.22;24.55;30.88;16.68;71.39;
60 (s);10.62;4.04;57.98;656.63;544.26;2976.18;17.43;56.99;24.06;9.27;24.55;30.86;16.72;71.34;
70 (s);10.62;4.05;57.11;656.46;543.91;2976.20;17.46;56.95;24.02;9.30;24.55;30.84;16.76;71.24;
80 (s);10.62;4.05;56.98;657.16;545.40;2976.26;17.49;56.91;24.02;9.31;24.56;30.82;16.79;71.26;
90 (s);10.63;4.05;56.82;656.94;541.48;2975.61;17.50;56.84;24.01;9.33;24.56;30.80;16.81;71.09;
100 (s);10.63;4.05;57.01;660.73;545.15;2975.76;17.52;56.80;24.00;9.34;24.56;30.78;16.83;71.03;
110 (s);10.63;4.06;57.00;658.09;541.42;2975.90;17.54;56.78;24.00;9.37;24.56;30.77;16.85;71.07;
120 (s);10.64;4.06;57.01;658.53;543.98;2975.87;17.56;56.73;24.00;9.37;24.54;30.76;16.86;71.10;
130 (s);10.64;4.06;56.85;659.88;547.23;2975.83;17.58;56.67;24.00;9.37;24.51;30.74;16.87;71.01;
140 (s);10.63;4.06;57.01;654.79;544.72;2975.73;17.60;56.65;23.99;9.37;24.48;30.72;16.87;71.09;
150 (s);10.64;4.06;57.01;658.55;546.60;2975.97;17.62;56.61;23.99;9.36;24.48;30.69;16.87;71.06;
160 (s);10.64;4.06;57.01;656.41;541.92;2975.96;17.64;56.58;23.99;9.36;24.47;30.67;16.88;70.98;
170 (s);10.64;4.06;56.97;659.82;541.76;2976.12;17.66;56.52;23.99;9.36;24.49;30.65;16.88;70.84;
180 (s);10.64;4.06;57.07;658.46;542.34;2976.05;17.66;56.46;24.01;9.36;24.53;30.63;16.88;70.98;
190 (s);10.64;4.06;56.96;656.73;542.24;2975.86;17.67;56.45;23.98;9.37;24.57;30.62;16.90;71.01;
200 (s);10.65;4.06;57.03;653.06;539.17;2975.29;17.69;56.45;23.98;9.37;24.58;30.62;16.93;70.91;
210 (s);10.66;4.06;57.02;661.21;546.92;2974.74;17.70;56.39;23.98;9.39;24.59;30.62;16.94;70.99;
220 (s);10.66;4.06;57.24;658.43;545.82;2974.70;17.71;56.38;23.98;9.38;24.58;30.62;16.95;71.07;
230 (s);10.66;4.06;57.08;662.13;547.20;2974.49;17.72;56.33;23.98;9.37;24.57;30.63;16.97;70.91;
240 (s);10.67;4.06;57.00;657.35;543.97;2974.81;17.72;56.36;23.98;9.37;24.60;30.62;16.96;71.02;
250 (s);10.67;4.06;56.94;662.05;546.65;2974.78;17.74;56.37;23.97;9.40;24.60;30.62;16.99;71.06;
260 (s);10.68;4.06;57.01;660.67;546.35;2974.73;17.76;56.31;23.96;9.37;24.57;30.62;17.01;70.94;
270 (s);10.68;4.06;57.00;662.43;548.09;2974.84;17.77;56.29;23.97;9.37;24.57;30.62;17.01;71.02;
280 (s);10.69;4.06;57.11;661.98;546.02;2974.59;17.77;56.31;23.97;9.37;24.57;30.61;17.01;71.00;
290 (s);10.69;4.06;57.01;655.56;541.06;2974.55;17.78;56.27;23.97;9.36;24.56;30.60;17.02;71.05;
301 (s);10.69;4.06;56.93;662.80;544.21;2974.29;17.79;56.25;23.96;9.35;24.58;30.59;17.02;71.17;
311 (s);10.69;4.06;57.00;661.84;547.67;2974.41;17.80;56.22;23.96;9.36;24.60;30.59;17.03;71.11;
321 (s);10.70;4.06;57.01;660.12;541.52;2974.26;17.81;56.17;23.98;9.37;24.66;30.59;17.04;71.13;
331 (s);10.71;4.06;57.01;661.47;544.11;2974.26;17.82;56.20;23.97;9.36;24.66;30.59;17.06;71.07;
341 (s);10.71;4.06;57.00;660.61;545.55;2973.89;17.83;56.19;23.97;9.38;24.65;30.60;17.08;71.19;
351 (s);10.72;4.06;56.94;658.81;543.80;2974.05;17.84;56.19;23.96;9.36;24.66;30.60;17.09;71.12;
361 (s);10.72;4.05;57.25;658.70;543.56;2974.06;17.85;56.16;23.97;9.34;24.68;30.60;17.09;71.04;
371 (s);10.72;4.06;58.13;657.51;543.63;2974.22;17.86;56.15;23.96;9.39;24.69;30.61;17.10;71.11;
381 (s);10.73;4.06;58.23;659.05;542.78;2974.28;17.87;56.15;23.95;9.37;24.69;30.62;17.12;71.22;
391 (s);10.74;4.06;57.98;660.06;544.28;2974.53;17.87;56.13;23.95;9.38;24.73;30.62;17.13;71.29;
401 (s);10.74;4.06;57.97;663.34;547.58;2974.55;17.89;56.11;23.96;9.40;24.74;30.63;17.15;71.19;
411 (s);10.75;4.06;58.23;659.25;546.11;2974.65;17.90;56.11;23.96;9.38;24.74;30.64;17.16;71.22;
421 (s);10.75;4.06;58.77;655.41;543.10;2975.07;17.91;56.09;23.98;9.37;24.71;30.64;17.17;71.29;
431 (s);10.75;4.06;58.96;658.75;545.95;2975.18;17.93;56.09;23.97;9.39;24.72;30.64;17.18;71.27;
441 (s);10.75;4.06;59.20;658.73;547.24;2975.34;17.94;56.10;23.98;9.38;24.71;30.65;17.18;71.22;
451 (s);10.75;4.06;59.89;657.00;541.92;2975.04;17.94;56.06;23.98;9.40;24.71;30.65;17.17;71.16;
461 (s);10.75;4.06;59.90;658.31;544.02;2975.30;17.96;56.05;23.99;9.41;24.67;30.65;17.18;71.32;
471 (s);10.75;4.06;59.91;657.47;543.79;2975.50;17.96;56.04;23.99;9.40;24.67;30.65;17.18;71.22;
481 (s);10.74;4.06;59.94;660.82;549.08;2975.30;17.97;56.04;23.99;9.40;24.67;30.64;17.17;71.15;
491 (s);10.74;4.07;60.75;661.31;545.57;2975.34;17.98;56.05;24.00;9.44;24.67;30.64;17.16;71.28;
501 (s);10.74;4.07;60.88;659.41;543.83;2975.19;17.98;56.00;24.01;9.43;24.66;30.64;17.16;71.13;
511 (s);10.74;4.07;60.79;663.61;545.68;2975.16;17.99;55.97;24.03;9.42;24.67;30.64;17.16;71.32;
521 (s);10.74;4.07;60.88;661.85;545.47;2975.26;17.99;55.94;24.02;9.42;24.73;30.64;17.15;71.15;
531 (s);10.74;4.07;61.82;656.42;543.20;2974.97;18.00;55.96;24.04;9.47;24.79;30.65;17.16;71.30;
541 (s);10.74;4.08;61.61;661.70;546.57;2975.02;18.01;55.95;24.04;9.49;24.78;30.66;17.20;71.23;
551 (s);10.74;4.08;61.61;660.71;546.92;2974.85;18.01;55.94;24.04;9.51;24.80;30.68;17.21;71.43;
561 (s);10.74;4.08;61.61;659.63;546.14;2974.98;18.01;55.92;24.05;9.50;24.82;30.69;17.22;71.25;
571 (s);10.74;4.08;61.62;658.38;544.91;2974.82;18.02;55.91;24.05;9.50;24.81;30.70;17.23;71.26;
581 (s);10.75;4.08;61.60;658.81;545.71;2974.60;18.02;55.90;24.06;9.55;24.83;30.72;17.22;71.30;
591 (s);10.75;4.08;61.61;661.01;547.32;2974.56;18.02;55.94;24.06;9.55;24.80;30.73;17.24;71.32;
601 (s);10.74;4.08;61.62;655.92;543.56;2974.57;18.03;55.91;24.07;9.53;24.81;30.75;17.23;71.31;
611 (s);10.74;4.09;61.66;657.92;543.26;2974.44;18.05;55.92;24.07;9.58;24.83;30.77;17.22;71.41;
621 (s);10.74;4.09;61.76;658.78;545.22;2974.39;18.06;55.90;24.08;9.59;24.87;30.78;17.24;71.34;
631 (s);10.74;4.09;61.61;654.41;541.83;2974.34;18.07;55.87;24.07;9.58;24.83;30.79;17.26;71.41;
641 (s);10.74;4.09;61.61;662.77;547.40;2974.08;18.08;55.90;24.06;9.60;24.80;30.79;17.25;71.43;
652 (s);10.74;4.09;61.75;663.11;546.11;2973.96;18.09;55.90;24.07;9.59;24.79;30.79;17.24;71.34;
662 (s);10.74;4.09;61.61;658.45;543.94;2973.84;18.09;55.90;24.07;9.58;24.78;30.79;17.22;71.19;
672 (s);10.73;4.09;61.62;661.60;547.25;2973.89;18.10;55.87;24.08;9.62;24.80;30.79;17.21;71.31;
682 (s);10.74;4.09;61.67;664.36;548.28;2973.85;18.10;55.86;24.07;9.62;24.82;30.79;17.23;71.26;
692 (s);10.74;4.09;61.61;659.28;546.46;2973.82;18.10;55.85;24.09;9.61;24.80;30.79;17.23;71.36;
702 (s);10.73;4.09;61.80;660.62;546.02;2973.71;18.09;55.84;24.11;9.60;24.82;30.79;17.23;71.40;
712 (s);10.73;4.09;61.60;663.16;547.46;2973.67;18.08;55.88;24.10;9.64;24.82;30.79;17.22;71.37;
722 (s);10.73;4.09;61.70;660.19;546.00;2973.68;18.09;55.84;24.08;9.63;24.87;30.79;17.24;71.40;
732 (s);10.73;4.10;61.86;656.22;544.64;2973.69;18.10;55.86;24.09;9.64;24.92;30.79;17.24;71.35;
742 (s);10.74;4.10;61.72;657.28;543.80;2973.60;18.11;55.86;24.12;9.68;24.93;30.80;17.26;71.39;
752 (s);10.74;4.10;61.62;659.06;546.34;2973.58;18.12;55.82;24.10;9.68;24.92;30.81;17.28;71.41;
762 (s);10.74;4.10;61.62;657.80;543.87;2973.47;18.13;55.79;24.11;9.69;24.91;30.82;17.29;71.39;
772 (s);10.74;4.10;61.61;658.61;547.46;2973.47;18.13;55.80;24.10;9.68;24.88;30.83;17.29;71.40;
782 (s);10.73;4.10;61.80;660.93;545.83;2973.58;18.13;55.78;24.12;9.70;24.80;30.84;17.28;71.35;
792 (s);10.73;4.10;61.69;663.10;545.86;2973.52;18.13;55.77;24.11;9.69;24.84;30.84;17.27;71.28;
802 (s);10.73;4.10;61.61;660.08;546.99;2973.36;18.13;55.76;24.12;9.68;24.88;30.83;17.25;71.36;
812 (s);10.73;4.11;61.65;663.10;549.52;2973.51;18.14;55.72;24.12;9.72;24.87;30.83;17.26;71.32;
822 (s);10.73;4.10;61.60;660.33;546.96;2973.48;18.15;55.73;24.13;9.70;24.93;30.83;17.27;71.30;
832 (s);10.73;4.10;61.62;661.93;543.31;2973.56;18.15;55.72;24.12;9.71;24.90;30.84;17.28;71.34;
842 (s);10.73;4.11;61.77;661.15;546.89;2973.53;18.16;55.72;24.13;9.73;24.90;30.85;17.28;71.34;
852 (s);10.73;4.11;61.61;657.00;545.82;2973.53;18.17;55.73;24.13;9.73;24.87;30.85;17.29;71.34;
862 (s);10.73;4.10;61.62;657.41;545.44;2973.56;18.17;55.73;24.13;9.70;24.87;30.85;17.27;71.32;
872 (s);10.73;4.11;61.62;658.88;546.08;2973.53;18.16;55.72;24.15;9.72;24.88;30.85;17.27;71.37;
882 (s);10.73;4.11;61.62;662.11;545.86;2973.51;18.16;55.67;24.14;9.72;24.94;30.86;17.27;71.36;
892 (s);10.73;4.11;61.85;664.00;548.26;2973.66;18.15;55.65;24.15;9.74;24.92;30.87;17.28;71.37;
902 (s);10.73;4.11;61.67;661.92;547.65;2973.84;18.16;55.68;24.16;9.76;24.87;30.88;17.30;71.46;
912 (s);10.73;4.11;61.60;664.08;547.19;2973.56;18.17;55.67;24.17;9.72;24.86;30.87;17.29;71.44;
922 (s);10.72;4.11;61.61;660.65;547.28;2973.65;18.17;55.66;24.16;9.73;24.88;30.86;17.27;71.39;
932 (s);10.73;4.11;61.63;658.49;548.15;2973.70;18.17;55.66;24.17;9.75;24.91;30.86;17.26;71.27;
943 (s);10.73;4.11;61.81;657.57;544.03;2973.79;18.18;55.65;24.17;9.76;24.94;30.86;17.28;71.33;
953 (s);10.73;4.11;61.81;658.98;546.38;2973.61;18.19;55.66;24.18;9.77;24.92;30.87;17.29;71.35;
963 (s);10.73;4.11;61.61;662.56;545.30;2973.86;18.19;55.62;24.17;9.76;24.97;30.88;17.29;71.37;
973 (s);10.73;4.11;61.61;660.70;546.38;2974.07;18.19;55.62;24.17;9.78;24.98;30.88;17.30;71.41;
983 (s);10.73;4.12;61.61;660.62;547.42;2973.99;18.20;55.62;24.18;9.81;24.99;30.89;17.31;71.40;
993 (s);10.74;4.12;61.61;661.96;549.26;2974.04;18.20;55.63;24.17;9.80;24.98;30.91;17.33;71.39;
1003 (s);10.74;4.12;61.61;661.18;545.62;2973.97;18.21;55.61;24.18;9.81;25.03;30.92;17.33;71.43;
1013 (s);10.74;4.12;61.63;661.49;548.36;2974.15;18.23;55.61;24.18;9.83;25.03;30.93;17.34;71.45;
1023 (s);10.74;4.12;61.59;662.33;546.86;2973.92;18.22;55.59;24.20;9.85;25.02;30.93;17.35;71.35;
1033 (s);10.74;4.12;61.61;663.51;547.25;2974.23;18.23;55.56;24.20;9.84;25.03;30.94;17.35;71.54;
1043 (s);10.74;4.12;61.60;662.69;546.96;2974.08;18.23;55.55;24.20;9.84;25.03;30.95;17.36;71.44;
1053 (s);10.74;4.12;61.67;660.04;546.00;2973.81;18.24;55.57;24.20;9.85;25.08;30.95;17.37;71.46;
1063 (s);10.75;4.13;61.61;662.90;547.69;2974.23;18.25;55.59;24.20;9.87;25.08;30.96;17.38;71.50;
1073 (s);10.75;4.13;61.74;656.12;542.41;2974.10;18.25;55.60;24.19;9.87;25.05;30.97;17.39;71.44;
1083 (s);10.75;4.13;61.63;657.88;543.92;2974.11;18.26;55.61;24.20;9.86;24.98;30.98;17.38;71.53;
1093 (s);10.75;4.12;61.64;661.86;544.67;2974.16;18.26;55.60;24.20;9.85;24.98;30.98;17.37;71.42;
1103 (s);10.74;4.12;61.63;661.17;545.92;2974.06;18.26;55.55;24.20;9.85;24.99;30.97;17.36;71.48;
1113 (s);10.74;4.13;61.79;661.71;545.36;2974.13;18.26;55.55;24.24;9.86;24.99;30.97;17.36;71.55;
1123 (s);10.74;4.13;61.62;659.89;543.79;2974.20;18.26;55.53;24.22;9.86;25.01;30.97;17.35;71.36;
1133 (s);10.74;4.13;61.67;661.35;546.78;2974.18;18.26;55.50;24.22;9.86;25.05;30.97;17.36;71.37;
1143 (s);10.74;4.13;61.64;663.10;546.40;2974.29;18.27;55.55;24.24;9.87;25.04;30.98;17.37;71.38;
1153 (s);10.74;4.13;61.61;660.56;544.54;2974.35;18.27;55.51;24.24;9.89;25.03;30.99;17.38;71.43;
1163 (s);10.74;4.13;61.83;662.41;544.69;2974.37;18.27;55.47;24.25;9.88;25.03;30.99;17.38;71.43;
1173 (s);10.75;4.13;61.62;665.87;548.29;2974.31;18.27;55.51;24.26;9.87;25.05;30.99;17.38;71.45;
1183 (s);10.75;4.13;61.64;660.80;545.86;2974.32;18.28;55.51;24.26;9.90;25.07;31.00;17.39;71.50;
1193 (s);10.75;4.13;61.62;661.17;547.05;2974.24;18.29;55.55;24.24;9.90;25.10;31.00;17.39;71.43;
1203 (s);10.75;4.13;61.65;657.71;542.97;2974.34;18.29;55.51;24.26;9.90;25.07;31.01;17.40;71.29;
1213 (s);10.75;4.13;61.62;661.88;545.63;2974.52;18.29;55.50;24.25;9.91;25.03;31.02;17.40;71.44;
1223 (s);10.75;4.13;61.60;662.09;545.68;2974.61;18.28;55.48;24.26;9.91;25.04;31.02;17.40;71.51;
1234 (s);10.75;4.13;61.60;661.13;545.58;2974.59;18.29;55.46;24.27;9.90;25.09;31.02;17.39;71.50;
1244 (s);10.75;4.13;61.61;662.24;547.08;2974.59;18.30;55.46;24.28;9.92;25.08;31.02;17.40;71.50;
1254 (s);10.75;4.14;61.60;660.47;546.75;2974.49;18.30;55.47;24.30;9.93;25.08;31.03;17.41;71.43;
1264 (s);10.75;4.13;61.61;662.84;546.12;2974.30;18.31;55.46;24.30;9.92;25.08;31.04;17.41;71.45;
1274 (s);10.75;4.14;61.61;664.03;550.48;2974.53;18.31;55.46;24.29;9.93;25.10;31.04;17.41;71.48;
1284 (s);10.76;4.13;61.60;664.82;549.07;2974.42;18.31;55.45;24.30;9.93;25.11;31.05;17.43;71.43;
1294 (s);10.76;4.14;61.60;660.37;546.47;2974.57;18.31;55.47;24.31;9.94;25.12;31.06;17.42;71.59;
1304 (s);10.76;4.14;61.60;664.15;547.36;2974.57;18.31;55.46;24.30;9.93;25.11;31.06;17.43;71.46;
1314 (s);10.76;4.14;61.62;658.72;544.43;2974.54;18.31;55.43;24.30;9.94;25.12;31.07;17.43;71.52;
1324 (s);10.76;4.14;61.61;662.30;544.13;2974.54;18.32;55.46;24.30;9.95;25.11;31.07;17.43;71.42;
1334 (s);10.76;4.14;61.60;656.58;542.40;2974.55;18.32;55.48;24.30;9.96;25.08;31.07;17.44;71.49;
1344 (s);10.76;4.14;61.61;660.70;546.28;2974.43;18.32;55.47;24.30;9.96;25.08;31.07;17.43;71.54;
1354 (s);10.76;4.14;61.62;661.84;547.99;2974.53;18.31;55.46;24.31;9.94;25.09;31.07;17.42;71.44;
1364 (s);10.76;4.14;61.62;659.94;547.04;2974.48;18.31;55.45;24.31;9.95;25.09;31.08;17.42;71.52;
1374 (s);10.76;4.14;61.61;661.99;547.37;2974.33;18.31;55.44;24.30;9.95;25.09;31.08;17.42;71.58;
1384 (s);10.76;4.14;61.61;660.34;544.05;2974.30;18.31;55.40;24.32;9.95;25.10;31.07;17.42;71.46;
1394 (s);10.76;4.14;61.45;665.80;548.28;2974.31;18.31;55.35;24.33;9.95;25.12;31.08;17.42;71.44;
1404 (s);10.76;4.14;61.39;663.76;549.64;2974.23;18.31;55.38;24.33;9.95;25.12;31.08;17.43;71.58;
1414 (s);10.76;4.14;61.53;662.23;545.37;2974.28;18.31;55.41;24.32;9.96;25.18;31.09;17.43;71.54;
1424 (s);10.77;4.14;61.47;663.67;547.96;2974.47;18.31;55.40;24.34;9.97;25.21;31.10;17.44;71.49;
1434 (s);10.77;4.14;61.36;664.51;548.62;2974.33;18.32;55.42;24.34;9.99;25.24;31.11;17.47;71.56;
1444 (s);10.78;4.15;61.37;661.31;549.14;2974.29;18.33;55.41;24.34;10.00;25.20;31.13;17.49;71.57;
1454 (s);10.77;4.14;61.35;660.42;548.04;2974.30;18.34;55.39;24.35;10.00;25.14;31.13;17.50;71.55;
