Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.30;3.89;63.32;222.77;545.28;3437.75;16.46;54.40;22.67;8.08;23.51;28.68;15.68;75.43;
20 (s);10.57;3.90;64.50;211.21;546.77;3438.16;16.48;54.49;22.69;8.16;23.50;29.08;15.70;77.82;
30 (s);10.71;3.90;65.14;213.04;547.52;3438.35;16.50;54.55;22.72;8.20;23.47;30.01;15.73;77.83;
40 (s);10.82;3.90;65.12;212.25;547.92;3438.32;16.51;54.56;22.73;8.21;23.45;30.81;15.74;78.64;
50 (s);10.90;3.91;64.28;214.26;548.13;3438.28;16.51;54.56;22.74;8.26;23.47;31.49;15.74;76.54;
60 (s);10.97;3.91;63.31;212.00;546.18;3438.27;16.52;54.57;22.74;8.26;23.47;32.05;15.76;77.67;
70 (s);11.03;3.91;63.33;212.83;545.85;3438.34;16.53;54.57;22.75;8.30;23.46;32.48;15.77;78.94;
80 (s);11.08;3.91;63.32;214.91;549.24;3438.31;16.55;54.62;22.76;8.30;23.45;32.90;15.78;78.54;
90 (s);11.13;3.92;63.31;212.95;543.30;3438.58;16.56;54.67;22.76;8.31;23.47;33.22;15.78;77.26;
100 (s);11.17;3.92;63.31;213.09;550.22;3438.54;16.57;54.69;22.78;8.36;23.46;33.50;15.78;77.78;
110 (s);11.20;3.92;62.09;212.75;548.09;3438.59;16.59;54.72;22.76;8.37;23.49;33.79;15.80;78.26;
120 (s);11.24;3.92;61.35;211.85;547.66;3438.45;16.60;54.75;22.78;8.37;23.52;34.03;15.81;78.63;
130 (s);11.27;3.93;61.37;213.25;545.00;3438.60;16.61;54.79;22.79;8.42;23.54;34.25;15.82;78.38;
140 (s);11.31;3.93;61.38;213.75;546.82;3438.53;16.63;54.86;22.78;8.43;23.53;34.47;15.85;78.40;
151 (s);11.33;3.93;60.89;213.86;545.84;3438.46;16.64;54.93;22.79;8.42;23.46;34.64;15.86;79.04;
161 (s);11.36;3.93;60.87;213.08;542.48;3438.67;16.65;54.95;22.80;8.41;23.45;34.82;15.85;79.49;
171 (s);11.38;3.93;60.64;214.84;545.01;3439.71;16.65;54.98;22.81;8.42;23.45;34.96;15.83;80.72;
181 (s);11.44;3.92;60.88;213.49;545.90;3439.66;16.65;55.06;22.83;8.33;23.46;35.09;15.83;82.06;
191 (s);11.47;3.91;60.62;212.67;546.28;3439.55;16.62;55.11;22.84;8.29;23.43;35.24;15.78;82.05;
201 (s);11.50;3.91;61.13;211.35;545.25;3439.86;16.61;55.19;22.86;8.27;23.42;35.37;15.76;82.34;
211 (s);11.52;3.91;61.37;215.39;546.65;3439.94;16.60;55.27;22.88;8.27;23.44;35.49;15.75;81.69;
221 (s);11.54;3.91;61.36;214.34;544.15;3439.65;16.59;55.33;22.89;8.25;23.47;35.61;15.75;82.48;
231 (s);11.56;3.91;61.37;215.16;548.96;3439.83;16.59;55.36;22.89;8.26;23.46;35.71;15.74;82.21;
241 (s);11.58;3.91;61.56;212.89;544.34;3439.82;16.59;55.41;22.92;8.28;23.47;35.81;15.75;81.86;
251 (s);11.60;3.91;61.47;214.58;545.97;3439.95;16.59;55.44;22.92;8.28;23.52;35.90;15.75;81.83;
261 (s);11.61;3.91;61.36;213.59;545.10;3440.02;16.59;55.46;22.94;8.27;23.53;35.98;15.75;81.89;
271 (s);11.63;3.92;61.60;215.99;549.80;3439.98;16.59;55.50;22.96;8.31;23.53;36.07;15.77;81.95;
281 (s);11.65;3.91;61.37;212.78;547.97;3439.88;16.61;55.57;22.97;8.30;23.53;36.14;15.79;82.01;
291 (s);11.66;3.92;61.43;214.67;546.70;3439.78;16.61;55.59;23.00;8.31;23.51;36.21;15.79;82.30;
301 (s);11.67;3.91;61.58;212.53;544.96;3439.67;16.62;55.61;23.01;8.30;23.52;36.29;15.79;82.77;
311 (s);11.68;3.92;61.48;216.95;548.70;3440.01;16.62;55.64;23.04;8.34;23.54;36.35;15.78;82.77;
321 (s);11.69;3.92;61.46;213.02;542.92;3439.84;16.62;55.69;23.05;8.34;23.56;36.42;15.80;82.46;
331 (s);11.70;3.92;61.61;212.99;545.44;3439.98;16.62;55.71;23.07;8.34;23.56;36.48;15.80;82.07;
341 (s);11.71;3.92;61.61;214.00;550.48;3439.91;16.62;55.77;23.08;8.38;23.57;36.54;15.81;82.92;
351 (s);11.72;3.92;61.61;215.75;545.48;3439.81;16.63;55.84;23.11;8.36;23.62;36.60;15.83;82.60;
361 (s);11.74;3.92;61.62;214.78;548.15;3439.78;16.63;55.87;23.13;8.38;23.65;36.63;15.84;82.34;
371 (s);11.74;3.93;61.61;214.23;549.77;3439.94;16.64;55.89;23.15;8.39;23.65;36.68;15.85;83.08;
381 (s);11.75;3.93;61.60;213.11;545.67;3439.76;16.65;55.91;23.18;8.41;23.61;36.73;15.88;82.60;
391 (s);11.76;3.93;61.60;215.19;548.07;3440.05;16.65;55.93;23.20;8.41;23.58;36.78;15.88;82.84;
401 (s);11.77;3.93;61.60;213.26;549.62;3440.12;16.65;56.01;23.22;8.40;23.51;36.83;15.86;83.28;
411 (s);11.78;3.93;61.61;216.49;549.28;3439.94;16.65;56.03;23.23;8.40;23.49;36.87;15.85;82.66;
422 (s);11.78;3.92;61.60;213.48;544.83;3440.07;16.65;56.04;23.24;8.38;23.48;36.91;15.83;82.53;
432 (s);11.78;3.93;61.62;213.40;546.13;3440.03;16.65;56.07;23.26;8.41;23.50;36.93;15.81;83.25;
442 (s);11.79;3.93;61.61;213.90;547.92;3440.11;16.66;56.13;23.30;8.40;23.51;36.96;15.82;82.97;
452 (s);11.79;3.93;61.63;213.79;547.35;3440.17;16.66;56.14;23.32;8.40;23.52;36.97;15.82;82.44;
462 (s);11.80;3.93;61.62;215.61;547.65;3439.98;16.67;56.19;23.34;8.42;23.54;36.99;15.82;83.22;
472 (s);11.80;3.93;61.61;214.72;541.66;3440.20;16.69;56.19;23.36;8.42;23.53;37.02;15.84;82.48;
482 (s);11.81;3.93;61.62;214.28;548.71;3440.13;16.70;56.27;23.41;8.40;23.53;37.05;15.83;83.10;
492 (s);11.81;3.93;61.62;213.28;548.69;3440.25;16.69;56.28;23.42;8.44;23.57;37.08;15.83;82.56;
502 (s);11.81;3.93;61.60;212.92;544.13;3440.14;16.69;56.30;23.43;8.44;23.62;37.10;15.85;82.96;
512 (s);11.82;3.93;61.68;214.42;549.32;3440.15;16.69;56.30;23.47;8.44;23.58;37.13;15.86;83.14;
522 (s);11.82;3.94;61.61;214.49;550.67;3440.32;16.68;56.32;23.50;8.46;23.59;37.16;15.86;82.45;
532 (s);11.83;3.94;61.61;216.20;547.72;3440.19;16.70;56.41;23.51;8.49;23.66;37.19;15.87;82.99;
542 (s);11.83;3.94;61.62;213.99;547.02;3440.15;16.70;56.45;23.53;8.50;23.69;37.21;15.89;83.29;
552 (s);11.84;3.94;61.84;212.96;545.32;3440.09;16.70;56.45;23.54;8.51;23.70;37.23;15.91;82.96;
562 (s);11.84;3.95;61.62;214.36;545.33;3439.80;16.70;56.50;23.57;8.53;23.67;37.26;15.92;83.33;
572 (s);11.85;3.94;61.60;216.20;551.55;3440.08;16.71;56.50;23.60;8.53;23.69;37.29;15.93;83.33;
582 (s);11.85;3.95;61.62;215.29;550.70;3440.16;16.72;56.50;23.61;8.54;23.69;37.31;15.93;83.08;
592 (s);11.86;3.95;61.61;212.78;543.40;3440.42;16.72;56.58;23.63;8.57;23.73;37.34;15.93;83.00;
602 (s);11.86;3.95;61.62;214.37;545.88;3440.38;16.74;56.61;23.65;8.57;23.72;37.36;15.96;82.70;
612 (s);11.87;3.95;62.60;210.83;547.13;3440.41;16.75;56.66;23.68;8.58;23.70;37.37;15.95;82.74;
622 (s);11.87;3.95;62.59;213.55;547.96;3440.22;16.76;56.67;23.69;8.60;23.68;37.40;15.95;83.14;
632 (s);11.88;3.95;62.61;214.82;548.10;3440.20;16.76;56.66;23.71;8.59;23.71;37.42;15.95;83.48;
642 (s);11.88;3.95;62.66;211.97;547.61;3440.12;16.76;56.68;23.74;8.59;23.76;37.44;15.95;83.54;
652 (s);11.88;3.96;62.59;213.18;545.63;3440.50;16.78;56.74;23.75;8.62;23.72;37.47;15.98;83.56;
662 (s);11.89;3.96;62.80;213.09;546.01;3440.07;16.79;56.76;23.77;8.62;23.67;37.49;15.99;83.55;
672 (s);11.89;3.96;62.59;214.61;548.97;3440.19;16.79;56.78;23.78;8.64;23.66;37.51;15.97;83.64;
682 (s);11.89;3.96;62.73;213.44;549.80;3439.98;16.80;56.82;23.81;8.63;23.67;37.53;15.96;83.55;
692 (s);11.89;3.96;62.82;214.62;547.39;3440.20;16.80;56.85;23.83;8.62;23.71;37.55;15.95;83.36;
703 (s);11.89;3.96;62.61;212.64;546.13;3440.34;16.80;56.87;23.84;8.66;23.75;37.57;15.97;83.19;
713 (s);11.90;3.96;62.59;215.13;546.06;3440.44;16.81;56.90;23.87;8.66;23.70;37.58;15.98;83.04;
723 (s);11.90;3.96;62.58;214.45;547.24;3440.05;16.81;56.94;23.88;8.67;23.65;37.60;15.98;82.98;
733 (s);11.90;3.96;62.68;213.63;545.76;3440.38;16.81;56.99;23.89;8.65;23.64;37.62;15.97;82.76;
743 (s);11.90;3.96;62.58;212.85;548.39;3440.59;16.82;57.00;23.91;8.63;23.65;37.63;15.95;82.99;
753 (s);11.90;3.96;62.58;214.25;547.43;3440.29;16.82;56.99;23.94;8.67;23.67;37.64;15.94;83.31;
763 (s);11.90;3.96;62.35;214.35;548.53;3440.23;16.83;56.97;23.95;8.66;23.67;37.64;15.96;83.55;
773 (s);11.91;3.96;62.34;214.87;547.72;3440.21;16.83;56.97;23.96;8.67;23.69;37.66;15.96;83.52;
783 (s);11.90;3.97;62.43;216.24;550.12;3440.24;16.82;56.99;23.99;8.70;23.73;37.68;15.95;83.63;
793 (s);11.91;3.97;62.35;214.53;549.08;3440.15;16.83;57.05;24.01;8.70;23.81;37.70;15.98;83.51;
803 (s);11.92;3.97;62.52;214.43;547.90;3440.35;16.83;57.09;24.02;8.71;23.79;37.71;16.00;83.60;
813 (s);11.92;3.97;62.38;213.73;547.47;3440.24;16.84;57.13;24.04;8.74;23.79;37.72;16.01;83.93;
823 (s);11.92;3.97;62.54;214.73;547.28;3439.92;16.86;57.21;24.06;8.75;23.78;37.74;16.03;83.81;
833 (s);11.93;3.97;62.58;211.44;544.62;3440.35;16.86;57.20;24.08;8.74;23.81;37.76;16.04;83.70;
843 (s);11.93;3.97;62.51;211.57;547.13;3440.49;16.87;57.19;24.10;8.75;23.79;37.77;16.04;83.49;
853 (s);11.94;3.98;62.35;213.96;551.27;3440.30;16.88;57.22;24.11;8.78;23.75;37.78;16.03;83.14;
863 (s);11.94;3.98;62.43;210.75;545.14;3440.51;16.88;57.23;24.14;8.77;23.70;37.80;16.04;83.25;
873 (s);11.94;3.97;62.59;210.37;546.89;3440.32;16.88;57.24;24.13;8.75;23.67;37.82;16.02;83.62;
883 (s);11.94;3.97;62.35;212.41;549.18;3440.40;16.88;57.28;24.16;8.75;23.70;37.84;16.01;83.81;
893 (s);11.94;3.97;62.41;211.97;547.63;3440.27;16.89;57.31;24.18;8.75;23.73;37.84;16.00;83.74;
903 (s);11.94;3.98;62.55;214.89;550.41;3440.29;16.88;57.28;24.20;8.76;23.73;37.86;16.01;83.88;
913 (s);11.94;3.97;62.34;211.57;546.72;3440.44;16.88;57.31;24.21;8.75;23.73;37.87;16.01;83.68;
923 (s);11.94;3.97;62.35;213.49;547.85;3440.36;16.88;57.35;24.21;8.75;23.71;37.87;16.01;83.35;
933 (s);11.94;3.98;62.35;212.20;547.19;3440.32;16.88;57.40;24.24;8.77;23.76;37.88;16.01;83.20;
943 (s);11.95;3.98;62.35;213.31;545.63;3440.28;16.87;57.45;24.24;8.79;23.82;37.88;16.02;83.26;
953 (s);11.95;3.98;62.18;212.17;542.94;3440.27;16.88;57.48;24.24;8.79;23.81;37.89;16.04;83.18;
963 (s);11.95;3.98;62.28;211.51;545.30;3440.48;16.88;57.45;24.27;8.81;23.84;37.90;16.05;82.99;
973 (s);11.95;3.98;62.11;210.74;547.74;3440.49;16.89;57.50;24.26;8.81;23.87;37.91;16.06;83.15;
983 (s);11.96;3.99;62.36;213.62;550.68;3440.38;16.89;57.53;24.29;8.83;23.90;37.93;16.08;83.43;
994 (s);11.96;3.99;62.55;215.39;549.56;3440.32;16.90;57.54;24.32;8.85;23.91;37.93;16.09;83.72;
1004 (s);11.97;3.99;62.09;212.36;542.71;3440.36;16.91;57.54;24.33;8.87;23.84;37.94;16.11;84.02;
1014 (s);11.97;3.99;62.11;210.88;544.12;3440.56;16.92;57.55;24.33;8.86;23.81;37.96;16.11;83.88;
1024 (s);11.97;3.99;62.35;214.34;550.66;3440.26;16.93;57.55;24.34;8.85;23.82;37.98;16.10;83.44;
1034 (s);11.97;3.99;62.11;214.49;547.07;3440.33;16.93;57.59;24.37;8.86;23.83;38.00;16.09;83.12;
1044 (s);11.97;3.99;62.35;215.22;546.16;3440.49;16.94;57.62;24.38;8.86;23.81;38.00;16.10;83.25;
1054 (s);11.98;3.99;62.59;213.45;544.14;3440.53;16.94;57.61;24.39;8.86;23.80;38.01;16.10;83.28;
1064 (s);11.98;3.99;62.35;213.84;544.79;3440.32;16.94;57.62;24.39;8.86;23.79;38.02;16.09;83.52;
1074 (s);11.97;3.99;62.36;212.86;546.65;3440.29;16.94;57.66;24.41;8.85;23.81;38.03;16.08;83.53;
1084 (s);11.98;3.99;62.60;214.13;545.61;3440.38;16.93;57.68;24.42;8.89;23.82;38.03;16.07;83.72;
1094 (s);11.97;3.99;62.44;213.79;545.28;3440.19;16.94;57.67;24.43;8.86;23.80;38.04;16.09;83.74;
1104 (s);11.98;3.99;62.33;213.15;544.64;3440.36;16.94;57.72;24.45;8.85;23.80;38.05;16.09;83.85;
1114 (s);11.98;3.99;62.59;213.76;546.39;3440.10;16.93;57.73;24.46;8.87;23.83;38.05;16.09;83.93;
1124 (s);11.98;3.99;62.42;214.61;547.51;3440.43;16.94;57.74;24.47;8.89;23.86;38.05;16.10;84.10;
1134 (s);11.98;3.99;62.57;213.45;546.45;3440.43;16.95;57.79;24.49;8.88;23.87;38.05;16.11;83.93;
1144 (s);11.98;3.99;62.34;213.78;544.57;3440.60;16.96;57.81;24.50;8.89;23.87;38.05;16.12;84.04;
1154 (s);11.98;3.99;62.35;215.52;547.90;3440.42;16.96;57.79;24.51;8.89;23.88;38.05;16.11;83.79;
1164 (s);11.98;4.00;62.44;215.15;548.76;3440.65;16.97;57.83;24.52;8.93;23.90;38.06;16.12;83.48;
