Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.07;3.73;77.97;654.99;236.04;3438.15;16.00;53.33;21.77;6.90;22.07;28.37;15.79;77.86;
20 (s);9.98;3.67;101.99;662.86;218.68;3437.97;15.95;53.32;21.89;6.41;22.04;28.36;14.12;77.34;
30 (s);9.88;3.64;109.87;663.87;221.12;3437.70;15.88;53.23;21.98;6.15;22.06;28.35;12.89;77.07;
40 (s);9.77;3.62;113.76;658.61;220.17;3437.80;15.80;53.17;22.06;6.01;22.11;28.35;12.16;76.34;
50 (s);9.66;3.61;115.11;663.17;218.09;3437.56;15.72;53.09;22.12;5.93;22.13;28.36;11.78;76.14;
60 (s);9.58;3.61;115.92;661.35;216.19;3437.87;15.64;53.03;22.16;5.90;22.17;28.38;11.50;76.09;
70 (s);9.51;3.60;115.92;660.85;216.76;3437.78;15.55;53.03;22.21;5.88;22.22;28.39;11.30;75.70;
80 (s);9.44;3.60;115.90;666.23;217.47;3437.53;15.45;53.02;22.25;5.85;22.25;28.41;11.09;75.53;
90 (s);9.39;3.60;115.92;659.28;215.44;3437.36;15.34;53.00;22.29;5.82;22.22;28.42;10.92;75.62;
100 (s);9.33;3.60;115.43;660.91;215.70;3437.62;15.24;52.98;22.33;5.84;22.20;28.43;10.81;75.35;
110 (s);9.28;3.60;115.44;662.96;214.56;3437.55;15.15;52.95;22.36;5.84;22.20;28.43;10.71;75.56;
120 (s);9.23;3.60;114.97;663.18;215.60;3437.66;15.05;52.94;22.41;5.84;22.18;28.42;10.62;75.39;
130 (s);9.19;3.60;114.97;664.95;213.71;3437.39;14.95;52.92;22.45;5.84;22.18;28.40;10.54;75.36;
140 (s);9.16;3.60;113.74;662.04;215.80;3437.51;14.86;52.84;22.50;5.84;22.17;28.39;10.47;75.20;
150 (s);9.12;3.60;113.27;661.98;213.67;3437.35;14.74;52.83;22.55;5.85;22.22;28.37;10.39;75.10;
160 (s);9.10;3.61;110.82;659.42;213.69;3437.33;14.64;52.80;22.60;5.90;22.22;28.36;10.32;75.07;
170 (s);9.07;3.61;107.43;662.15;213.04;3437.44;14.52;52.80;22.63;5.90;22.16;28.35;10.27;75.18;
180 (s);9.04;3.60;105.03;660.45;212.55;3437.40;14.38;52.75;22.67;5.88;22.17;28.34;10.15;74.95;
190 (s);9.02;3.60;103.08;663.67;215.38;3437.43;14.25;52.70;22.71;5.86;22.21;28.33;10.06;75.17;
200 (s);9.00;3.60;100.42;657.57;213.65;3437.33;14.13;52.73;22.74;5.85;22.22;28.32;9.98;75.26;
210 (s);8.98;3.60;96.50;662.92;212.55;3437.53;14.00;52.71;22.77;5.82;22.20;28.32;9.89;75.04;
220 (s);8.96;3.59;94.62;662.37;214.54;3437.42;13.88;52.71;22.79;5.77;22.25;28.31;9.83;75.03;
230 (s);8.95;3.59;90.52;664.69;213.98;3437.30;13.76;52.69;22.82;5.75;22.26;28.30;9.77;74.87;
240 (s);8.94;3.58;87.39;662.38;213.76;3437.08;13.63;52.64;22.84;5.70;22.26;28.31;9.70;74.62;
