Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.19;3.98;59.79;655.87;541.03;3667.29;17.00;57.65;24.50;8.77;23.97;36.04;16.13;85.23;
20 (s);11.09;3.96;59.76;653.87;538.90;3666.88;16.97;57.74;24.48;8.68;23.97;34.95;16.07;84.96;
30 (s);11.03;3.96;58.96;654.34;542.23;3667.31;16.94;57.81;24.50;8.61;23.98;34.25;16.02;84.73;
40 (s);11.00;3.95;58.97;654.52;541.40;3667.06;16.91;57.86;24.51;8.56;24.01;33.73;16.00;84.48;
50 (s);10.97;3.94;58.97;656.16;541.55;3666.95;16.89;57.91;24.50;8.51;23.98;33.28;15.98;84.47;
60 (s);10.95;3.94;58.97;652.52;538.51;3667.11;16.88;57.94;24.48;8.47;23.95;32.96;15.97;84.58;
70 (s);10.93;3.93;58.96;658.63;544.93;3666.99;16.87;57.93;24.50;8.44;23.94;32.69;15.96;84.37;
80 (s);10.91;3.93;59.07;656.60;542.32;3666.73;16.86;57.92;24.51;8.39;23.95;32.43;15.94;84.41;
90 (s);10.90;3.92;59.81;657.67;541.86;3666.53;16.85;57.91;24.52;8.38;24.00;32.23;15.94;84.27;
100 (s);10.89;3.92;59.70;658.48;543.91;3667.07;16.85;57.89;24.53;8.36;24.03;32.06;15.94;84.25;
110 (s);10.88;3.92;60.61;655.69;542.53;3667.07;16.85;57.90;24.53;8.35;24.02;31.92;15.95;84.28;
120 (s);10.87;3.92;60.62;655.24;537.97;3667.10;16.85;57.88;24.54;8.35;24.02;31.81;15.96;84.17;
130 (s);10.86;3.92;61.61;659.47;543.64;3666.91;16.85;57.87;24.55;8.34;24.04;31.69;15.96;84.12;
140 (s);10.86;3.92;61.61;657.01;541.06;3666.82;16.85;57.87;24.55;8.33;24.02;31.61;15.96;84.02;
150 (s);10.85;3.92;62.58;654.00;540.73;3667.18;16.86;57.89;24.53;8.33;24.02;31.54;15.97;84.28;
160 (s);10.84;3.92;62.76;655.91;540.95;3666.54;16.86;57.87;24.55;8.33;24.03;31.46;15.96;83.96;
170 (s);10.83;3.92;63.06;660.12;541.30;3666.67;16.86;57.86;24.54;8.32;24.05;31.40;15.96;84.09;
180 (s);10.82;3.92;62.88;656.40;542.85;3666.86;16.86;57.84;24.55;8.32;24.12;31.34;15.97;83.98;
190 (s);10.82;3.92;62.97;654.96;541.27;3666.94;16.87;57.79;24.53;8.34;24.17;31.30;16.00;84.24;
200 (s);10.82;3.92;63.04;657.39;544.52;3666.73;16.87;57.82;24.54;8.34;24.20;31.27;16.02;84.23;
210 (s);10.83;3.92;62.90;662.15;545.32;3666.83;16.88;57.78;24.52;8.35;24.20;31.25;16.04;84.19;
221 (s);10.82;3.92;62.99;657.19;542.02;3666.84;16.89;57.73;24.51;8.37;24.16;31.22;16.05;84.21;
231 (s);10.82;3.92;63.04;655.69;544.03;3666.71;16.90;57.73;24.50;8.35;24.14;31.19;16.06;84.05;
241 (s);10.82;3.92;63.07;651.76;541.36;3667.04;16.90;57.74;24.50;8.35;24.16;31.16;16.05;84.25;
251 (s);10.81;3.92;63.08;659.97;542.74;3666.90;16.91;57.76;24.49;8.34;24.15;31.14;16.05;84.11;
261 (s);10.81;3.92;63.00;658.16;542.81;3666.87;16.91;57.72;24.48;8.33;24.12;31.12;16.05;84.12;
271 (s);10.80;3.92;62.98;659.18;544.86;3666.85;16.90;57.71;24.46;8.33;24.11;31.09;16.05;84.07;
281 (s);10.80;3.92;63.07;657.34;541.92;3666.78;16.90;57.69;24.45;8.31;24.11;31.07;16.04;84.03;
291 (s);10.80;3.92;63.56;657.92;542.20;3666.83;16.90;57.69;24.43;8.32;24.13;31.05;16.03;84.04;
301 (s);10.80;3.92;63.81;659.06;543.69;3666.88;16.91;57.71;24.43;8.32;24.18;31.03;16.03;84.10;
311 (s);10.80;3.92;63.39;659.40;545.32;3666.87;16.92;57.72;24.43;8.32;24.17;31.02;16.05;83.92;
321 (s);10.80;3.92;63.36;656.96;540.18;3666.95;16.92;57.67;24.42;8.32;24.17;31.01;16.06;84.01;
331 (s);10.80;3.92;63.80;656.30;543.81;3667.18;16.93;57.68;24.40;8.34;24.21;31.00;16.06;84.13;
341 (s);10.80;3.92;63.80;654.90;539.52;3666.76;16.93;57.69;24.39;8.35;24.23;31.00;16.07;84.04;
351 (s);10.80;3.92;64.27;658.26;543.34;3666.77;16.94;57.69;24.38;8.35;24.26;30.99;16.08;83.98;
361 (s);10.80;3.92;64.26;654.44;538.92;3666.83;16.94;57.68;24.37;8.36;24.24;30.99;16.10;83.97;
371 (s);10.80;3.92;64.28;652.19;542.22;3667.04;16.95;57.73;24.36;8.36;24.18;31.00;16.10;84.44;
381 (s);10.80;3.92;64.99;658.96;542.78;3666.90;16.95;57.71;24.35;8.36;24.18;30.99;16.09;84.62;
391 (s);10.80;3.92;64.74;662.73;549.00;3667.02;16.95;57.67;24.34;8.34;24.22;30.98;16.08;84.32;
401 (s);10.80;3.92;64.65;658.13;543.81;3666.87;16.95;57.64;24.34;8.36;24.25;30.97;16.09;84.39;
411 (s);10.80;3.92;64.76;658.48;542.20;3666.94;16.96;57.69;24.31;8.35;24.27;30.97;16.09;84.28;
421 (s);10.80;3.92;64.76;653.24;539.88;3667.04;16.96;57.69;24.30;8.35;24.27;30.97;16.11;84.07;
431 (s);10.80;3.93;64.83;659.73;540.26;3666.92;16.96;57.72;24.29;8.39;24.26;30.97;16.11;84.12;
441 (s);10.80;3.93;64.82;658.81;544.03;3667.02;16.96;57.75;24.31;8.39;24.23;30.96;16.12;84.03;
451 (s);10.80;3.92;65.00;656.74;542.46;3666.92;16.96;57.71;24.31;8.37;24.21;30.96;16.12;83.95;
461 (s);10.79;3.92;64.98;658.88;543.98;3666.89;16.97;57.70;24.29;8.38;24.19;30.95;16.11;83.97;
471 (s);10.79;3.92;65.00;656.16;545.21;3666.85;16.98;57.69;24.28;8.37;24.23;30.94;16.10;83.99;
481 (s);10.79;3.92;64.79;660.27;544.43;3667.08;16.98;57.72;24.27;8.37;24.25;30.93;16.10;84.49;
491 (s);10.80;3.93;65.00;658.75;544.11;3667.38;16.97;57.70;24.26;8.39;24.25;30.93;16.11;84.47;
501 (s);10.80;3.93;64.99;663.60;548.48;3666.92;16.97;57.72;24.25;8.39;24.24;30.94;16.11;84.44;
511 (s);10.79;3.93;64.98;658.01;543.80;3666.89;16.97;57.74;24.25;8.40;24.22;30.94;16.11;84.06;
521 (s);10.79;3.93;64.90;657.40;541.60;3667.04;16.97;57.73;24.24;8.39;24.21;30.93;16.11;83.98;
531 (s);10.79;3.93;65.00;659.20;543.14;3666.83;16.97;57.72;24.24;8.39;24.24;30.93;16.10;84.03;
541 (s);10.79;3.93;64.77;656.28;544.07;3666.85;16.97;57.73;24.23;8.38;24.28;30.93;16.10;84.07;
551 (s);10.80;3.93;64.99;657.62;543.02;3666.77;16.97;57.75;24.22;8.40;24.35;30.93;16.10;83.97;
562 (s);10.80;3.93;65.01;657.95;544.75;3666.91;16.98;57.75;24.22;8.42;24.33;30.94;16.14;84.14;
572 (s);10.81;3.93;64.99;656.29;540.45;3666.72;16.99;57.70;24.21;8.42;24.36;30.95;16.15;83.99;
