Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.30;3.47;19.75;792.38;529.02;3436.22;12.79;51.69;21.61;4.80;22.84;27.98;11.46;72.30;
20 (s);9.36;3.50;20.26;790.71;531.73;3436.16;12.89;51.77;19.60;5.06;22.84;27.90;12.58;71.62;
30 (s);9.43;3.52;19.89;789.48;533.58;3436.41;12.98;51.86;17.87;5.24;22.87;27.79;13.08;72.70;
40 (s);9.50;3.54;20.17;788.85;538.20;3436.37;13.07;51.90;16.77;5.34;22.92;27.72;13.39;71.93;
50 (s);9.57;3.54;20.29;794.24;532.93;3436.50;13.17;51.94;15.96;5.37;22.95;27.67;13.66;72.23;
60 (s);9.64;3.54;20.18;792.12;534.86;3436.58;13.26;51.96;15.43;5.36;22.93;27.63;13.86;73.36;
70 (s);9.70;3.53;20.17;792.39;539.24;3436.55;13.36;52.02;15.04;5.29;22.94;27.59;14.05;72.22;
80 (s);9.78;3.53;20.19;794.44;536.47;3436.74;13.48;52.10;14.67;5.25;22.91;27.55;14.22;73.81;
90 (s);9.85;3.51;20.41;790.88;535.69;3436.84;13.59;52.18;14.40;5.15;22.89;27.51;14.36;73.58;
100 (s);9.93;3.50;20.16;789.56;534.30;3436.68;13.68;52.22;14.17;5.02;22.91;27.46;14.48;73.18;
110 (s);10.00;3.48;20.34;793.66;537.12;3436.87;13.79;52.30;13.95;4.90;22.89;27.41;14.65;73.79;
120 (s);10.07;3.48;20.22;790.16;536.09;3436.81;13.88;52.33;13.86;4.86;22.89;27.37;14.79;73.93;
130 (s);10.14;3.47;20.18;797.76;543.45;3436.74;13.97;52.40;14.54;4.80;22.87;27.32;14.88;73.59;
140 (s);10.20;3.48;22.83;798.94;538.94;3436.99;14.08;52.42;16.78;4.83;22.91;27.27;15.00;72.84;
150 (s);10.24;3.48;32.05;792.28;538.11;3436.72;14.18;52.47;18.44;4.85;22.89;27.25;15.14;72.80;
160 (s);10.27;3.48;38.84;793.69;538.62;3436.86;14.28;52.48;19.64;4.89;22.87;27.23;15.26;73.49;
170 (s);10.30;3.49;39.89;787.50;537.12;3436.90;14.38;52.50;20.35;4.96;22.88;27.22;15.34;74.88;
180 (s);10.32;3.50;43.30;787.32;532.18;3436.85;14.47;52.53;20.76;5.01;22.86;27.23;15.39;72.97;
190 (s);10.34;3.50;45.84;791.16;535.74;3436.84;14.55;52.62;21.19;5.07;22.89;27.23;15.40;74.98;
200 (s);10.36;3.51;46.82;796.64;538.54;3436.99;14.63;52.62;21.43;5.12;22.89;27.24;15.44;73.67;
210 (s);10.38;3.54;47.30;790.00;535.77;3437.04;14.68;52.65;21.54;5.32;22.91;27.25;15.45;73.62;
220 (s);10.40;3.54;47.13;788.52;536.88;3436.87;14.74;52.70;21.64;5.38;22.90;27.27;15.39;75.44;
230 (s);10.42;3.54;47.05;788.78;535.40;3436.92;14.79;52.69;21.70;5.38;22.90;27.29;15.39;73.49;
240 (s);10.44;3.55;47.30;790.96;535.29;3436.98;14.84;52.74;21.74;5.41;22.91;27.30;15.42;74.89;
250 (s);10.46;3.55;48.52;790.73;535.81;3437.07;14.91;52.81;21.81;5.48;22.91;27.31;15.45;73.58;
260 (s);10.48;3.56;49.50;790.83;533.48;3437.05;14.95;52.82;21.85;5.51;22.90;27.33;15.49;75.83;
270 (s);10.49;3.56;51.91;791.45;535.62;3437.15;15.01;52.86;21.91;5.54;22.92;27.35;15.51;75.31;
281 (s);10.50;3.57;53.19;793.31;534.87;3437.17;15.06;52.89;21.96;5.62;22.93;27.36;15.53;74.47;
291 (s);10.51;3.58;54.96;790.92;537.08;3437.20;15.11;52.94;21.99;5.66;22.93;27.38;15.57;73.64;
301 (s);10.51;3.58;56.27;792.45;537.55;3437.22;15.17;52.98;22.03;5.72;22.96;27.40;15.59;73.56;
311 (s);10.52;3.59;56.99;790.92;538.17;3437.03;15.22;53.02;22.05;5.77;22.94;27.42;15.60;73.61;
321 (s);10.52;3.60;57.19;787.68;532.10;3437.14;15.26;53.02;22.06;5.82;22.91;27.44;15.61;73.75;
331 (s);10.52;3.60;58.24;784.19;533.56;3437.07;15.30;53.07;22.10;5.85;22.91;27.45;15.62;73.77;
341 (s);10.52;3.60;58.96;786.77;534.36;3437.29;15.34;53.07;22.12;5.89;22.97;27.47;15.62;73.83;
351 (s);10.52;3.61;58.96;795.55;537.47;3436.96;15.38;53.13;22.13;5.94;23.01;27.49;15.64;73.90;
361 (s);10.52;3.62;59.95;789.94;534.96;3437.04;15.42;53.21;22.14;5.98;22.99;27.53;15.66;74.52;
371 (s);10.53;3.62;60.88;790.22;534.72;3437.17;15.45;53.26;22.15;6.01;23.01;27.55;15.67;75.39;
381 (s);10.52;3.63;61.37;787.61;533.45;3437.24;15.49;53.24;22.17;6.06;23.03;27.57;15.68;76.19;
391 (s);10.52;3.63;61.59;789.82;535.87;3437.09;15.52;53.33;22.18;6.12;23.02;27.60;15.69;75.12;
401 (s);10.52;3.64;61.61;791.58;534.25;3437.24;15.56;53.29;22.19;6.16;23.05;27.62;15.69;73.74;
411 (s);10.52;3.64;61.86;794.46;538.59;3437.12;15.59;53.32;22.20;6.20;23.10;27.65;15.70;75.44;
421 (s);10.52;3.65;62.83;790.62;533.92;3437.12;15.62;53.33;22.20;6.25;23.13;27.68;15.72;76.08;
