Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.48;3.65;56.27;650.56;721.13;3437.11;14.73;49.01;20.90;6.26;21.18;27.14;14.90;76.46;
20 (s);9.50;3.65;53.24;654.51;723.20;3437.08;14.75;49.08;20.85;6.28;21.16;27.15;15.01;76.50;
30 (s);9.51;3.66;52.14;646.89;717.93;3436.96;14.78;49.12;20.84;6.30;21.20;27.16;15.07;76.30;
40 (s);9.53;3.66;52.14;652.41;723.88;3436.86;14.79;49.12;20.85;6.32;21.21;27.17;15.12;76.22;
50 (s);9.54;3.66;52.16;652.45;722.09;3437.03;14.80;49.13;20.83;6.33;21.24;27.18;15.17;76.22;
60 (s);9.56;3.66;52.15;651.93;722.31;3437.06;14.81;49.14;20.83;6.32;21.26;27.18;15.21;76.29;
70 (s);9.58;3.66;52.15;650.17;720.10;3437.05;14.83;49.18;20.84;6.33;21.32;27.19;15.24;76.32;
80 (s);9.60;3.66;52.14;648.79;717.71;3436.97;14.85;49.23;20.85;6.35;21.32;27.21;15.29;76.59;
90 (s);9.61;3.66;52.15;649.65;719.36;3436.96;14.87;49.27;20.84;6.36;21.32;27.23;15.32;76.40;
100 (s);9.62;3.66;52.14;651.79;721.79;3436.96;14.89;49.29;20.86;6.36;21.35;27.24;15.34;76.43;
110 (s);9.63;3.66;52.14;649.09;719.88;3437.12;14.91;49.31;20.85;6.35;21.37;27.25;15.37;76.48;
120 (s);9.65;3.66;52.15;650.08;717.17;3436.87;14.92;49.35;20.86;6.36;21.37;27.26;15.41;76.50;
130 (s);9.66;3.66;52.15;651.57;716.08;3437.13;14.93;49.39;20.86;6.36;21.34;27.28;15.42;76.55;
140 (s);9.67;3.66;52.13;646.76;717.98;3436.93;14.94;49.46;20.87;6.34;21.32;27.29;15.43;76.51;
150 (s);9.68;3.66;52.17;653.51;719.96;3437.06;14.96;49.50;20.87;6.32;21.28;27.29;15.43;76.48;
160 (s);9.69;3.66;52.14;651.37;719.03;3437.35;14.98;49.54;20.87;6.31;21.32;27.29;15.42;76.59;
170 (s);9.70;3.65;52.15;651.56;718.63;3437.57;15.00;49.56;20.87;6.29;21.37;27.29;15.44;76.63;
180 (s);9.71;3.65;52.15;651.61;722.85;3437.33;15.02;49.59;20.89;6.28;21.40;27.29;15.48;76.66;
190 (s);9.72;3.65;52.27;649.50;719.94;3437.20;15.05;49.62;20.87;6.25;21.40;27.29;15.52;76.76;
201 (s);9.73;3.65;52.15;651.91;720.04;3437.14;15.07;49.64;20.87;6.25;21.41;27.29;15.54;76.67;
211 (s);9.75;3.65;52.64;654.61;722.36;3437.30;15.08;49.72;20.89;6.23;21.41;27.30;15.57;76.46;
221 (s);9.76;3.65;52.88;649.02;720.84;3437.10;15.09;49.81;20.90;6.23;21.44;27.30;15.58;76.61;
231 (s);9.77;3.65;53.11;651.41;722.49;3437.42;15.10;49.85;20.90;6.24;21.40;27.32;15.59;76.68;
241 (s);9.78;3.65;53.13;649.38;717.80;3437.28;15.11;49.88;20.90;6.23;21.37;27.33;15.59;76.80;
251 (s);9.78;3.64;53.36;653.40;722.10;3437.29;15.12;49.93;20.91;6.20;21.39;27.33;15.57;76.63;
261 (s);9.79;3.64;53.86;653.44;721.27;3437.23;15.13;49.95;20.93;6.20;21.38;27.33;15.57;76.59;
271 (s);9.80;3.64;54.38;650.74;721.30;3437.31;15.16;49.99;20.93;6.20;21.39;27.33;15.59;76.71;
281 (s);9.81;3.64;55.53;651.66;721.25;3437.38;15.17;50.02;20.91;6.21;21.38;27.33;15.60;76.65;
291 (s);9.81;3.65;56.75;651.94;721.94;3437.15;15.18;50.06;20.94;6.22;21.40;27.33;15.60;76.78;
301 (s);9.82;3.65;57.51;653.32;719.24;3437.56;15.18;50.08;20.97;6.25;21.41;27.34;15.61;76.91;
311 (s);9.82;3.65;57.50;648.88;719.42;3437.69;15.19;50.13;20.98;6.25;21.43;27.35;15.62;76.94;
321 (s);9.83;3.65;57.51;647.30;720.75;3437.65;15.20;50.19;20.99;6.25;21.44;27.36;15.64;76.89;
331 (s);9.84;3.65;57.81;648.78;719.25;3437.35;15.22;50.18;21.00;6.28;21.45;27.37;15.64;76.92;
341 (s);9.84;3.65;58.25;649.09;717.62;3437.40;15.24;50.24;20.99;6.28;21.46;27.38;15.65;76.88;
351 (s);9.84;3.66;58.48;651.45;722.46;3437.71;15.25;50.28;21.00;6.30;21.48;27.40;15.67;76.90;
361 (s);9.85;3.66;58.97;653.42;724.38;3437.60;15.26;50.34;21.02;6.31;21.48;27.41;15.68;76.93;
371 (s);9.85;3.66;58.97;653.34;723.10;3437.28;15.26;50.34;21.02;6.33;21.44;27.42;15.68;77.01;
381 (s);9.85;3.66;58.93;651.31;723.03;3437.24;15.27;50.39;21.02;6.33;21.42;27.43;15.66;76.87;
391 (s);9.85;3.66;58.96;649.48;721.89;3437.38;15.29;50.45;21.03;6.34;21.43;27.43;15.65;76.91;
401 (s);9.86;3.66;58.97;648.59;719.27;3437.33;15.30;50.48;21.03;6.35;21.45;27.43;15.65;77.06;
411 (s);9.86;3.66;58.97;653.92;724.68;3437.43;15.32;50.50;21.04;6.36;21.53;27.44;15.66;76.99;
421 (s);9.86;3.67;58.96;653.86;722.04;3437.40;15.34;50.53;21.06;6.40;21.58;27.45;15.69;77.07;
431 (s);9.87;3.67;58.95;652.10;726.38;3437.57;15.34;50.55;21.07;6.41;21.55;27.47;15.72;77.02;
441 (s);9.87;3.67;59.19;650.05;725.01;3437.70;15.35;50.57;21.08;6.44;21.54;27.50;15.73;76.85;
451 (s);9.88;3.67;59.73;649.59;720.83;3437.50;15.35;50.60;21.08;6.44;21.52;27.51;15.72;77.03;
461 (s);9.88;3.68;59.48;651.06;722.56;3437.65;15.36;50.62;21.08;6.46;21.48;27.52;15.71;77.15;
