Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);13.41;4.37;86.62;168.00;639.40;3556.46;20.23;59.58;25.29;11.59;24.06;40.31;18.75;92.75;
20 (s);13.43;4.37;87.56;168.50;639.87;3556.80;20.17;59.53;25.33;11.59;24.06;40.44;18.68;92.66;
30 (s);13.45;4.37;87.56;169.95;634.90;3556.37;20.12;59.63;25.36;11.60;24.06;40.58;18.62;92.38;
40 (s);12.73;4.73;20.05;166.96;638.15;18166.58;20.12;59.69;25.36;13.98;24.07;40.75;18.63;0.02;
50 (s);11.46;5.11;18.47;167.10;640.06;18151.15;20.60;58.00;24.88;16.43;24.07;40.80;19.83;0.01;
60 (s);10.74;5.34;18.48;166.71;641.16;18142.69;21.05;55.90;24.26;17.77;24.08;40.22;20.98;0.01;
70 (s);10.29;5.49;18.47;168.80;641.67;18133.95;21.34;54.40;23.84;18.69;24.08;39.30;21.62;0.01;
80 (s);9.94;5.61;18.44;167.78;645.12;18131.09;21.57;53.15;23.53;19.36;24.09;38.30;22.03;0.01;
90 (s);9.67;5.70;18.47;166.81;643.00;18112.08;21.79;48.50;23.28;19.89;24.09;37.22;22.34;0.01;
100 (s);9.44;5.78;18.47;167.29;644.37;18118.58;21.97;47.95;23.09;20.33;24.09;36.33;22.55;0.01;
110 (s);9.24;5.84;18.15;167.47;646.35;18118.24;22.17;47.98;22.92;20.68;24.09;35.40;22.72;0.01;
121 (s);9.09;5.90;18.51;165.96;639.69;18111.38;22.34;47.92;22.77;21.00;24.09;34.63;22.85;0.01;
131 (s);8.93;5.95;18.46;170.43;645.07;18097.52;22.49;48.17;22.67;21.29;24.10;33.93;22.95;0.01;
141 (s);8.78;5.99;18.44;166.43;644.46;18086.91;22.64;48.79;22.56;21.52;24.10;33.21;23.05;0.01;
151 (s);9.83;5.48;18.49;166.37;644.73;3368.84;22.67;49.28;22.50;18.63;24.11;32.60;23.11;56.21;
