Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);8.36;4.36;35.85;573.44;642.92;2010.69;18.38;33.04;29.92;11.48;21.38;30.42;17.52;35.76;
10 (s);8.34;4.36;90.70;573.88;643.30;2010.50;18.42;32.96;29.84;11.52;21.39;30.29;17.56;36.17;
15 (s);8.34;4.35;19.13;575.69;644.82;2010.69;18.45;32.90;29.75;11.44;21.39;30.18;17.58;35.87;
20 (s);8.33;4.35;73.21;572.45;638.95;2010.57;18.47;32.85;29.67;11.47;21.40;30.08;17.60;35.97;
25 (s);8.32;4.36;48.94;574.96;642.57;2010.62;18.48;32.80;29.60;11.50;21.40;30.01;17.62;35.64;
31 (s);8.32;4.35;19.27;572.92;642.28;2010.71;18.49;32.76;29.53;11.46;21.40;29.94;17.63;36.28;
36 (s);8.32;4.36;96.41;571.69;640.94;2010.77;18.50;32.75;29.46;11.53;21.41;29.88;17.64;35.82;
41 (s);8.31;4.36;45.45;572.14;640.07;2010.69;18.51;32.74;29.40;11.52;21.41;29.84;17.65;36.06;
46 (s);8.32;4.35;18.54;572.58;643.09;2010.75;18.51;32.73;29.34;11.47;21.41;29.81;17.66;36.19;
51 (s);8.31;4.35;46.60;573.24;641.91;2010.57;18.52;32.73;29.24;11.45;21.42;29.77;17.68;35.86;
56 (s);8.31;4.36;79.47;573.07;641.59;2010.70;18.52;32.72;29.17;11.49;21.42;29.75;17.68;35.67;
61 (s);8.31;4.35;29.02;571.93;642.32;2010.72;18.51;32.71;29.10;11.46;21.42;29.72;17.69;35.75;
66 (s);8.31;4.35;32.40;572.50;642.23;2010.73;18.51;32.70;29.06;11.43;21.42;29.70;17.70;36.07;
71 (s);8.30;4.36;74.66;573.91;640.15;2010.64;18.50;32.70;29.01;11.48;21.43;29.68;17.70;36.17;
76 (s);8.31;4.35;41.05;575.61;645.26;2010.88;18.50;32.69;28.97;11.46;21.43;29.66;17.71;35.88;
81 (s);8.31;4.35;20.89;573.86;643.78;2010.77;18.50;32.68;28.94;11.47;21.43;29.65;17.71;35.75;
